subject,predicate,object
u-NLX7OC9XpCSzlOBMG_lmeQ,VISIT,b-7xA6iSP0Ndn08tpBFQtUKA
u-nl5E0QN0oPLiGDGu_GbG4w,VISIT,b-CB99Ifh4OnBTnuNdRjj_fQ
u-_DaFdmq0gtXf1spn1qC_1Q,WRITE_REVIEW,r-UBaxD7M82XCn4l5ageoy6w
u-9p6B0BZhUREP4-Ua_xD4bA,VISIT,b-_PKXarw3GjlbwbXhjdpUMA
b-SxuD7iY8QO88PNbSdNmNKg,HAS_CATEGORY,Desserts
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_REVIEW,r-Qvyh1ObX431JUxKPwJBj-g
u-UoOcS8VIlswwbPsa35uAQQ,VISIT,b-De8Z9rLZOmf-icp3gDxCZA
Food,IS,Good
b-scM6rLQqoz5dEIgwz_JFsg,HAS_REVIEW,r-fivNPkcu3wEqNmw6A_xw2w
Mango_Lassi,IS,Good
Terrible,MENU_ATTR_FOR,b-MgsOZpYSntKSCzNROiWgYQ
Good,MENU_ATTR_FOR,b-kfwpXBsMQLqhUvscWB6b9g
b-tIXpNWE6R1yadAThbSefHw,HAS_REVIEW,r-j_6hDtOYkTDTTkIEQvkoqw
Vegetable_Pakora,IS,Delicious
b-sUGlSS0AF2xPYFEjvKJbSA,HAS_ASPECT,Food
u-MzAKIZCxozTibNPDjwvqig,RATE,b-0zTLMQOZhiCp9GFtegiFsw
Chutney,IS,Stale
Good,ASPECT_ATTR_FOR,b-UAXz2KC1aXpxzV-MLdXbmQ
u-S14MK30NQdqgrO7ygTCQlA,WRITE_REVIEW,r-72uWATpIU8WDu0abLJ_9sA
Service,IS,Weird
u-Rm-y6fTB_E-Qwwdz1YwHwQ,RATE,b-0Hy2VE9tqTo4QbovMz3xrQ
u-Biv-1xBbKeUXe2kAVoJGLg,ORDER,Rice
Tasty,MENU_ATTR_FOR,b-vCx6uieEF0W0mKFK4sT3Yg
Staff,IS,Polite
b-dg4EMyM1feTEWfLPSbunrg,HAS_REVIEW,r-YA14RfCFkUGl5kHb9v2uWA
Pickering-Canada,LOCATED_IN,Canada
u-oCNLIL41w0ATGJWy-hUizw,WRITE_REVIEW,r-7i2euPSeUcRDrlkWITUzdQ
Food,IS,Good
b-dg4EMyM1feTEWfLPSbunrg,HAS_ASPECT,Food
u-mZXJm66OCWR0H45VR62MUg,RATE,b-DJuQgsoj-qmU0i5iTAa4aA
u-XqfFXg1Lz6C4x8CgNexWkA,VISIT,b-SxuD7iY8QO88PNbSdNmNKg
b-xA6L2w_TlbxHubb1xeBE8w,HAS_ASPECT,Service
Samosa,IS,Bad
u-7DjD9A_D66bzJvheaw4xbw,RATE,b-j4ytRzcmtU4cLMBrhY7jMA
Tikka_Masala,IS,Good
u-GTbnKWAYHAgY4Z_62547WA,ORDER,Gin_Cocktail
u-HG_-DYGnFv3QwnFtB3GVAg,RATE,b-rYziPPEILDXJ_F5uKR--YQ
u-exVoGdv_J1KYwD5CuFO7eg,ORDER,Chicken_Tikka
u-lRdllZQJ_3Dxs62CEvxrpQ,RATE,b-h-psPOmlY0mCOflb3S3rdQ
b-gA4bnK91phT5FTzG4ki3Dw,HAS_ASPECT,Food
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Parking
b-W_9ophRRWO924hn1S-y2Hg,HAS_REVIEW,r-7qzyu_WsvrDkk26V-Eq0Ig
u-SHqmk_PNFRlPpJjeYFO0eg,VISIT,b-LZWXP-D4YPlzsFjVx6b9XA
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_REVIEW,r-tZvzHr-2UgNCmlH1g3MXVQ
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-b0BvoXdxr4X9ZS1NQ2slkw
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_ASPECT,Service
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_REVIEW,r-XLQrAr2uT5fIhgjiEGTBYg
u-WumppESSz94eIE7R0-uUrg,VISIT,b-0zTLMQOZhiCp9GFtegiFsw
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_REVIEW,r-GVJb_8T6mFJ5x4IHbrcMiw
b-TTCZkfxt0GW8YUzdVe0PrA,HAS_REVIEW,r-xDW3c36SP7S-DQlp6OKWFg
Rogan_Josh_Lamb,IS,Tasty
b-j9YFHVQqxM_qKHIc4nck-A,HAS_REVIEW,r-oHAv84K_t25Fpn89cDyM3w
Slow,ASPECT_ATTR_FOR,b-sUGlSS0AF2xPYFEjvKJbSA
u-FWDwuX8k8dwUICg8EG9dUQ,RATE,b-y4z0iQZWN4R2Fk8SiPQU5A
u-1YCJNdeLB7QjrO8eprZRtA,VISIT,b-BoiAZQB9AHRvazM055GFOw
u-0iSQF1skfJaZz0ftEmgumg,WRITE_REVIEW,r-_9TArWoZ0wrwJKEzghLnFA
u-_O6Q4ScLO4-FVieEzCibXA,WRITE_REVIEW,r-y5i1bnvKW8PutGq_Q5n3Nw
u-KyqUaCjVKuBBDj4wAllGjQ,WRITE_REVIEW,r-ToJ33ZwBf4rv2Uo4zUo4Bg
Malai_Kofta,IS,Horrible
Good,MENU_ATTR_FOR,b-TAnzFr9NixvCbvUdJMWL5Q
u-Vlssq9KlNYZEr1YxL6VFFw,WRITE_REVIEW,r-DisCkrxPi4O4kH-IWFUVcg
b-_X0M7EMx475KZSX9wAsmgg,HAS_REVIEW,r-KpIJCSVIAZCxUhNtL0oLWw
u-DUD1RNP_4wqA013SmGeQyA,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
u-ZouGEn8tmlDBSZv2_4UKOA,ORDER,Chicken_Biryani
Food,IS,Cold
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_ASPECT,Food
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_MENU,Goat
u-5KiaWFhJMTOEo7BsJSbkoQ,VISIT,b-k9PfKE7KfztoMpOSx25UpA
u-fr5efb7JrVpFBF9q303NVQ,WRITE_REVIEW,r-Ut47HbynvSPx6o4P-jhEmA
Tikka_Masala,IS,Delicious
b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-MzdTJtU3uJ7GvHKw3fU2Wg
Delicious,MENU_ATTR_FOR,b-TAnzFr9NixvCbvUdJMWL5Q
u-Yr3mDCouXKoIbDlHVd9HEQ,WRITE_REVIEW,r-FhwKMOeRxwjblKzJpvcHhQ
b-qhKNZTtTT6GLnPzQny-v9Q,HAS_ASPECT,Food
b-kfwpXBsMQLqhUvscWB6b9g,HAS_REVIEW,r-S7uTf0RM63BsM7weDWXskg
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_REVIEW,r-ERpZTNMQ2ZiZHv-DTRAN7Q
u-xz5-2fSiTyAzLybdB9tU7w,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
u-iIe1gtgyLqV0ZBbArDQkvg,VISIT,b-_PKXarw3GjlbwbXhjdpUMA
u-pn_flI3EBNugBEYFp9okxQ,RATE,b-0Hy2VE9tqTo4QbovMz3xrQ
b-LwXo16VrGPhhOWc_Wj7ifw,HAS_REVIEW,r-JmaIRCVHRZZMkpacl6J2ng
b-kG0N5urz2lkPEBDPjqFR3w,HAS_MENU,Chana_Masala
u-7ly3al1MaAOoUXUo2w9gIw,WRITE_REVIEW,r-ML-C_MX6w994T2qTTq4KnQ
Dry,MENU_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
Decor,IS,Friendly
b-h-psPOmlY0mCOflb3S3rdQ,HAS_MENU,Soup
Service,IS,Good
Food,IS,Awesome
u-qgj11QoS-qvrVBcQL7p9JA,WRITE_REVIEW,r-MhiDZEcVRFZgeFqf2CWidQ
u-_lg4iHMQyscfknijiErV0Q,WRITE_REVIEW,r-332vfr7Wud2u0TQrpTzlDw
Pappadums,IS,Weird
u-Q9mA60HnY87C1TW5kjAZ6Q,VISIT,b-8grTRpmD9JYRPWayoLxg0w
u-z6qIyc-_oIbgDWAembZ04w,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_REVIEW,r-bhF_H7ShPdqfjg5vnz9ltQ
b-AZKhBlrI5vgTBm3j9WwnbA,LOCATED_IN,Mississauga-Canada
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Chutney
u-ftH3xRtiLFBc8R4ZdPxCww,VISIT,b-MgsOZpYSntKSCzNROiWgYQ
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_REVIEW,r-NJMq-aM_cMJXnZPCloADTA
b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_REVIEW,r-Q5dXxQw5sPBjL2jVq1acsQ
u-fhH6XRdzD4gn8O51z37xgw,WRITE_REVIEW,r--r4gOTdcpDeNWzlHqT0zAw
u-Vp185uuVQc_ENlh3bdl7KQ,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
u-W9_D98atQWeuQCO_pV2apQ,WRITE_REVIEW,r-bXArXSVesvYJFR7s17hvVw
u-clbgEJ2sZAac02ALkIlgxw,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
u-B0nmSHz3XZjJ8K93ycpDyA,RATE,b-j4ytRzcmtU4cLMBrhY7jMA
u-u7xpDYTXHxEvdExb2qScfg,ORDER,Paneer
Perfect,ASPECT_ATTR_FOR,b-MgsOZpYSntKSCzNROiWgYQ
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_MENU,Rice
u-y8gXdUf_IBaLzwaS2_0K3A,RATE,b-bO_JX-lDo5D5JGZhK5Ly3A
u-Fk3Io6ZVH0ExuUHd11jUnQ,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
u-r3-LjnU8ABaDcbc7pHbj0w,WRITE_REVIEW,r-Fx5BXcZ2LsQzmgSlp-V1jg
Good,MENU_ATTR_FOR,b-XNL6PRXaQxyDO2yeBdy11w
u-HdUUsRnIaqWSQR9Mp4lDwg,WRITE_REVIEW,r-Xvs9urZWQi4jjyxdOVxtOQ
Delivery,IS,Timely
u-0UNsufPaK_K8ioCJgMhUBA,ORDER,Chicken
u-5QfGgW6hWDBLOkBnUPt0lA,VISIT,b-DJuQgsoj-qmU0i5iTAa4aA
b-BxkVct02QHybp54ATZgkUQ,HAS_MENU,Lamb_Chops
Decor,IS,Cool
u-6dech2UzcIcgofJ2HyQ1yw,WRITE_REVIEW,r-ZgCYd9RTyz_VYhvxjUxOyg
u-NLJT8SQ1f0YpxO4hFUPdrw,RATE,b-gA4bnK91phT5FTzG4ki3Dw
Food,IS,Good
b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_REVIEW,r-ysbWAODQ7-Sf4mQYNFBQ2w
Food,IS,Warm
u-JAPLYewQZ39q4oVdNhCNYw,RATE,b-xA6L2w_TlbxHubb1xeBE8w
u-TLCxxfPQkKp1y6Z5fN6NQw,RATE,b-SxuD7iY8QO88PNbSdNmNKg
u-yD5npU0MGi1Q94HHTjHcBQ,RATE,b-f7RXwcus_-EOsR0q5ctVjw
u-QGop4dOKhnBZ-LHhc5yqPA,VISIT,b-TTCZkfxt0GW8YUzdVe0PrA
b-AZKhBlrI5vgTBm3j9WwnbA,HAS_MENU,Chilli_Fish
u-03M8nAtDQGDtXg_nqrPobQ,VISIT,b-Q8uwArm4h8bhsqxw84Gd8w
u-Tcoc6k-y2Yd9KG1npX682g,RATE,b-BoiAZQB9AHRvazM055GFOw
b-rYziPPEILDXJ_F5uKR--YQ,HAS_MENU,Tikka_Masala
Fresh,ASPECT_ATTR_FOR,b-8PZGCtgG5MZKvz9i3B9gCA
Chicken_Masala,IS,Excellent
b-0cf-w9PK5gLkBkitL3bdqw,HAS_REVIEW,r-msyjYck3aEPytJEZHy11vg
Well,ASPECT_ATTR_FOR,b-tIXpNWE6R1yadAThbSefHw
Amazing,ASPECT_ATTR_FOR,b-oX6y1Jm1jYLoWifmIrtaSQ
Sauce,IS,Good
b-dg4EMyM1feTEWfLPSbunrg,HAS_REVIEW,r-wd1EQjfNqIjmS67V8Y9L_Q
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food
b-kfwpXBsMQLqhUvscWB6b9g,HAS_REVIEW,r-J20PVSF4wzWzooQxSQklIQ
Service,IS,Slow
b-3frFidAcPVYAFB2RxxkIdA,HAS_REVIEW,r-O63C6u7oZHELY5CsWFuDeg
u-vpHvuj3Q_KsRS_qZGEnEQg,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
u-RbUYE1SBi68URjKFidJlYw,WRITE_REVIEW,r-HVsKQPrhdFYv58ck48uItg
u-W2TQ6zJVEDtXtLLVbyY51A,VISIT,b-j4ytRzcmtU4cLMBrhY7jMA
Food,IS,Good
b-LwXo16VrGPhhOWc_Wj7ifw,HAS_MENU,Mango_Lassi
u-HeRY_GdwfXE6H7BMqjwI0A,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
u-m_H93eDKdiBlRv8K7Ffgsg,ORDER,Chana_Masala
u-xgPwcF_TQ_emrZDr_6SfwQ,RATE,b-3frFidAcPVYAFB2RxxkIdA
u-TUbOZ8w7WCJHvWEvBuB29A,RATE,b-xYpAg60oZVbOtSYgrOKBgQ
Service,IS,Good
u-JrXC_MDp38BWwLn2SFdNsA,ORDER,Nihari_Gravy_Curry
u-pW1Dy4BWssf8vlkjgKhbgw,ORDER,Sambar
u-tIbL7mV0a0aOSg8ks4asnw,ORDER,Pepper_Sauce
u-_TcEFH5wuD34G_wkIFPVbA,WRITE_REVIEW,r-u16EHMCgxrf_Lxd8-5tDdg
Chicken_Biryani,IS,Good
b-xSuR0FK8cHzBLXowCV3Pyw,HAS_ASPECT,Service
u-t_m1a0KzG960Vh5wgHo9YQ,WRITE_REVIEW,r-WA-5cdhBKX-FzkZoWC70Jg
b-V_jIfMz9Z7a5mthleRq0_w,IS,Perfect
Staff,IS,Happy
b-8PZGCtgG5MZKvz9i3B9gCA,IS,Awesome
Pleasant,ASPECT_ATTR_FOR,b-8PZGCtgG5MZKvz9i3B9gCA
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_REVIEW,r-2-YS6RowgefWir9TK1TkYA
u-rYWnTtL6Y5I_FQC91n9FcQ,ORDER,Samosa_Chat
u-H5tU6WqjNYnVYYdDn5K2xg,VISIT,b-DJuQgsoj-qmU0i5iTAa4aA
b-vZu3xxlMQSqFngDgdFLfXg,HAS_CATEGORY,Fast_Food
Haleem,IS,Horrible
Great,ASPECT_ATTR_FOR,b-COfzp0tze_F8N13zn40zzg
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_REVIEW,r-oz_BM4TTBAL-7FZtiU3JIA
b-BoiAZQB9AHRvazM055GFOw,HAS_REVIEW,r-MhiDZEcVRFZgeFqf2CWidQ
Veg_Curry,IS,Mushy
Food,IS,Delicious
Service,IS,Fast
b-qhKNZTtTT6GLnPzQny-v9Q,HAS_REVIEW,r-eIzTDdUtT4TFJue2dH4eIQ
u-LQC_djumWD5qkoInU8Od6w,VISIT,b-GC9Re0tKAnecMww3DB638g
u-Yk3G57N4a3-k8edIKESrrA,VISIT,b-eRZuxjnaMviiVyvhejwTBQ
b-W_9ophRRWO924hn1S-y2Hg,HAS_MENU,Bread
u-uPdxDIVXVxvkugV_pLHEfw,WRITE_REVIEW,r-KG5H5LPswuhkKIyysLfkuQ
Customer_Service,IS,Great
u-FwKfsey3SqpsxLz3_2raFw,VISIT,b-vCx6uieEF0W0mKFK4sT3Yg
Food,IS,Well
Chicken,IS,Dry
u-9ZcoQomh9q8tx6lXjPtctw,ORDER,Dosa
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_REVIEW,r-jiLjCqNjtNpCEP1VuYWIQw
b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_REVIEW,r-kkFHVepy46Z9yfsv8XGLLg
u-gUdA1ycQEQu8hgMyaiNEcQ,RATE,b-XNL6PRXaQxyDO2yeBdy11w
u-jQHvz7VFbO0e01OOxB5W5Q,VISIT,b-COfzp0tze_F8N13zn40zzg
u-EyyN8Xk-X56d6k9xNWqYQw,RATE,b-geMa0_CtMOctkUhf_JXK9Q
Tender,MENU_ATTR_FOR,b-kG0N5urz2lkPEBDPjqFR3w
Fish_Tandoori,IS,Delicious
Amazing,MENU_ATTR_FOR,b-TAnzFr9NixvCbvUdJMWL5Q
u-bDvV6UuRyUKT3DMTOzp62w,WRITE_REVIEW,r-W5k24EDNTLFXzzpG9YEldA
u-nOherNG9vm7B7RnpiwzHLw,HAS,Taste
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_MENU,Chicken_Dish
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_REVIEW,r-1rHQ5VrmTEa3sibnJUIutg
b-f6T2YaTfGoSyQV-l4jzrjw,HAS_ASPECT,Parking
Dosa,IS,Bland
u-mVvYiiWhZoVVhH_-Y-H85g,WRITE_REVIEW,r-qwxM2wiNcLfpvPu84bVlTg
u-OIM0gH6btoQv0IsEHdxajg,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
u-B0Xxo-DtDejGVHQccS1iiA,VISIT,b-Eu-M3y8a5bIxIRXlCj9yHA
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dessert
u-MVx_t02mVfJxI4TpLEJtNQ,RATE,b-S4qUsi44l5D9BbUCkhwQEA
b-7vgWonwfqRt9pxR1c00Ulw,HAS_ASPECT,Food
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_REVIEW,r-DLyWEHigOtZ8s_-pdBwPPA
Food,IS,Nice
u-o7uWhUQkR22qMBizmU8O1Q,VISIT,b-h-psPOmlY0mCOflb3S3rdQ
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_CATEGORY,Nightlife
Chicken,IS,Tender
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_ASPECT,Wifi
Chicken,IS,Tender
u-iTIrVSrs6e6u78YcpWzlOg,VISIT,b-xSuR0FK8cHzBLXowCV3Pyw
Great,ASPECT_ATTR_FOR,b-xA6L2w_TlbxHubb1xeBE8w
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_REVIEW,r-uQUPKjL0EAH3SjmQ2vejzQ
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_ASPECT,Delivery
Amazing,MENU_ATTR_FOR,b-h-psPOmlY0mCOflb3S3rdQ
Gross,MENU_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
u-TUPWls9n9iXFRgHVg2FNMw,RATE,b-vCx6uieEF0W0mKFK4sT3Yg
b-CvOxwAhmwwy3sQRKYVAjGg,HAS_ASPECT,Music
u-e5Yz2QXmn5c08_R46GNjig,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
u-EbxSw9f02Lg4teiC75X6rQ,RATE,b-xA6L2w_TlbxHubb1xeBE8w
Masala_Dosa,IS,Great
b-yy_FhzQCeLreV21OBccPAg,HAS_MENU,Chicken_Tikka_Masala
Food,IS,Excellent
b-oVuZtlCFg_zF090Nhtp0Ow,HAS_REVIEW,r-7G7VITFrJhnjimf_sgFcLg
u-nrUQRMx6K-KJnoC15rMO2g,RATE,b-BoiAZQB9AHRvazM055GFOw
u-qxw8-ncdaGC2YZ8gRluVfQ,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
u-mwAg6HEtSIDI1yfSF6kD2A,RATE,b-0cf-w9PK5gLkBkitL3bdqw
u-60Y-uLBHsdliQACa4oBnxw,RATE,b-j4ytRzcmtU4cLMBrhY7jMA
u-9DKaqOhqQHbbgV5aQ5kxpA,RATE,b-xA6L2w_TlbxHubb1xeBE8w
Biryani,IS,Dry
u-jOxTWEayNgaYcoREH68Urw,WRITE_REVIEW,r-v0sjdtUAel1UZoW4cJgETw
Price,IS,Reasonable
u-PVyl_Kilc81Y0e3eCGJF0g,VISIT,b-RE4qn28MEiDrM1PbdYVgxA
u-gHyePV7DI2TGkSJJCOad4w,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
u-L8GB1sEXJrVfR-UsDRjI-g,HAS_FRIEND,u-j6wLUT0ZXi-x0otelYIFpA
u-w5CJX1zu8sQFIspQIIjaYQ,HAS_FRIEND,u-D5-LpBYZrFva9Yql1IC_xQ
u-ueFQVGi7j45QcXT-HU-dHg,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
u-KFQJvl2ZfGZP44QuKr-0mQ,VISIT,b-3wJ4kJsJhayyfJ30HsS04g
u-kcZ79VN2n0PmBbpWv6Ayqw,WRITE_REVIEW,r-YEP_pQoaSGTSADk5axoNtw
u-iZtcrHFQ0AiWLZjhsr4Z-w,WRITE_REVIEW,r-YjPJvjnQMmyyvdviixqcBA
b-P4zWgzYzy03D9LeDTpKuDg,HAS_ASPECT,Staff
Food,IS,Good
b-OZwMMnRncrp7_uC-N3vV1Q,HAS_MENU,Samosa
u-Loon5QwPvVf1XZTfj31BvQ,ORDER,Biryani
Cupcake,IS,Delicious
u-t_m1a0KzG960Vh5wgHo9YQ,VISIT,b-f6T2YaTfGoSyQV-l4jzrjw
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_ASPECT,Service
b-ZDx7kt4aOPTlmYTqXDrTGA,HAS_REVIEW,r-goD6ZaoB6DhZgSRs-fLO7g
u-WBCG29Wa-amEZPnoAGqYgg,RATE,b-BxkVct02QHybp54ATZgkUQ
u-9NnDa6TR53tiS7_3in4bRA,VISIT,b-DKqhCd3Vwl3CEo8vUHhLYg
u-f--ona4DuvVKoKoumX4Tyg,WRITE_REVIEW,r-WVBsawXezF8NNftG6A2sIQ
b-vZu3xxlMQSqFngDgdFLfXg,HAS_ASPECT,Food
u-MXE5dJEqzzfKDLEGkHbdVA,ORDER,Mint_Ginger
b-Q8uwArm4h8bhsqxw84Gd8w,HAS_MENU,Pulao_Lamb_Rice
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_CATEGORY,Pakistani
u-UoOcS8VIlswwbPsa35uAQQ,ORDER,Chicken_Chettinad
Food,IS,Delicious
u-hon7VmBlr0h2TbGmjpxncw,RATE,b-j4ytRzcmtU4cLMBrhY7jMA
Flavourful,MENU_ATTR_FOR,b-XvuUYiJYAAiNC4AmdbBZ8g
b-0zTLMQOZhiCp9GFtegiFsw,HAS_ASPECT,Food
u-D1q2udKikeOvcry36WegHQ,VISIT,b-BoiAZQB9AHRvazM055GFOw
Rice,IS,Hard
u-Viiv6xoj6p-UQIR9Hc2KYw,WRITE_REVIEW,r-Xkp3KxBXyl_IwcDUb2rsTg
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-MWbJ-_xjh3kpYHUzGUOStg
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_MENU,Chai_Tea
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_REVIEW,r-UnxBaP4x5p6EFwCEwfF7Sw
u-ScUVRyfEje3IP-XH91qBxw,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
Food,IS,Tasty
u-6sJN_HlM_uwpfLJ1puf1Fg,RATE,b-oVuZtlCFg_zF090Nhtp0Ow
u-kiQE5frtCd07wjq_hH18AQ,WRITE_REVIEW,r-LYLX0tRMgiu1i6rFN0ylXQ
u-nl5E0QN0oPLiGDGu_GbG4w,WRITE_REVIEW,r-dQMMJxKGXSUhkfqqkvgEcA
u-ZFxfMReOr2SFvSSRmGZ7Gw,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
Excellent,MENU_ATTR_FOR,b-gw0ZS5b5RP3Lzr1BoCbALg
Food,IS,Fantastic
u-PLz0TuPyVUnCc75jXrFBUg,RATE,b-Ksk5cLav4OtbUtpRGp5b4g
b-eRZuxjnaMviiVyvhejwTBQ,HAS_MENU,Beef_Tika
Dry,MENU_ATTR_FOR,b-geMa0_CtMOctkUhf_JXK9Q
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_ASPECT,Food
u-hOLs40zbkLp5hTn2ak5kfA,VISIT,b-Ksk5cLav4OtbUtpRGp5b4g
u-CgaxrZFHnfdXT8goelBTaA,WRITE_REVIEW,r-csPmOCum83zGAi4FGlJerw
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_MENU,Papadi_Chaat
u-l9zbub5CchE3fCOPMz34Cw,WRITE_REVIEW,r-0kaFpLBnIxRaOec-hZvLzQ
u-_zQcRmXIznTaxTqcGCJimw,VISIT,b-P4zWgzYzy03D9LeDTpKuDg
b-V_jIfMz9Z7a5mthleRq0_w,HAS_ASPECT,Staff
b-5eDg_Y2N6aU_k7tIxoFXTg,HAS_MENU,Lamb
Naan,IS,Nice
Good,ASPECT_ATTR_FOR,b-P4zWgzYzy03D9LeDTpKuDg
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_MENU,Chicken
Good,MENU_ATTR_FOR,b-5eDg_Y2N6aU_k7tIxoFXTg
