0,1,2
u-IbBN7msvCU8sO55o1pfgyw,WRITE_REVIEW,r-vupq2QnQvqk4Cn9-HT7Pzg
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_ASPECT,Staff
u-NpzLHUDwsVnciPdialPolg,RATE,b-5eDg_Y2N6aU_k7tIxoFXTg
Yellow_Daal,IS,Perfect
u-hG-Vaiobo_swSinRvINUfg,RATE,b-MgsOZpYSntKSCzNROiWgYQ
u-HAv4iHgSyMS4HKwl5hb98w,WRITE_REVIEW,r-4rCuom4NIj8UHH4a1rpdEw
u-AIm2ohj2pToS48YPh_Gy4A,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
b-W_9ophRRWO924hn1S-y2Hg,HAS_MENU,Dum_Biryani
b-P4zWgzYzy03D9LeDTpKuDg,HAS_MENU,Dosa
b-rYziPPEILDXJ_F5uKR--YQ,LOCATED_IN,Pineville-United_States
u-eQqfFMolF8vlhDEgv2rxIg,WRITE_REVIEW,r-TsmisetMoc01JdDfOGjUMA
b-0cf-w9PK5gLkBkitL3bdqw,HAS_ASPECT,Service
u-bb_a7k3Bmkxb5OFKoWwMBg,VISIT,b-ZNdV9ytExuxPTXSN8i2xhw
u-2bhDKgDB34xk73c8kkln8A,WRITE_REVIEW,r-z1vfueD8hRNM4eawOOG_Ug
b-xYpAg60oZVbOtSYgrOKBgQ,HAS_MENU,Daal_Makhaani
u-I22QueJ7v1WQu9LAmjeXlg,WRITE_REVIEW,r-mEL92Yi39XBIQH5Vj8Pd6Q
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_REVIEW,r-5xSJ1L3kz_uMnebQ3kvdVg
b-j9YFHVQqxM_qKHIc4nck-A,HAS_REVIEW,r-aRuf_KdRw_RImXkwsXNcLg
u-xK9U9Ckrb-Paok_uDMGyJw,ORDER,Chai_Tea
b-oVuZtlCFg_zF090Nhtp0Ow,HAS_REVIEW,r-CEpICYnUokJVKJauQuq1kQ
u-IQ6H85aloTdF7iAkr_b7Fg,WRITE_REVIEW,r-tP8jcloyI3_gLnjSM8SRTQ
u-CNSxXqTose2P5Lf_MMXfDw,VISIT,b-YywWkWX235ZurTWSLqNPog
u-bDvV6UuRyUKT3DMTOzp62w,RATE,b-V_jIfMz9Z7a5mthleRq0_w
u-AirTVnJxFaNsU5M3baZXQQ,WRITE_REVIEW,r-5XA8ABIlBs4PedbGiUp-ew
b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_MENU,Singaporean_Noodles
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_MENU,Chaats
Pricey,MENU_ATTR_FOR,b-0cf-w9PK5gLkBkitL3bdqw
u-SVyv-07pWaPySmY10oVZBA,WRITE_REVIEW,r-w6OQh7BD2KnlGrUy3HbWUA
b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_REVIEW,r-lga3ExH8tdUIaC_gkkXG-Q
Food,IS,Good
u--OyYep6JEk58_v1EPZqgXQ,WRITE_REVIEW,r-LooWnLTEx-av_wT5QAmRyQ
b-0Hy2VE9tqTo4QbovMz3xrQ,HAS_ASPECT,Service
Staff,IS,Friendly
b-oVuZtlCFg_zF090Nhtp0Ow,HAS_REVIEW,r-itEzh4DFJIs6MDlCiJ8SXg
u-_TcEFH5wuD34G_wkIFPVbA,WRITE_REVIEW,r-u16EHMCgxrf_Lxd8-5tDdg
u-el_htC_XghnnC0WzYXWNzQ,RATE,b-MgsOZpYSntKSCzNROiWgYQ
Great,ASPECT_ATTR_FOR,b-gXLiBVCHIqoPEw2CaP3QmQ
b-3wJ4kJsJhayyfJ30HsS04g,HAS_MENU,Tomato_Sauce
u-A1x6u0aDh0dAUbUY4Qi9hQ,VISIT,b-SxuD7iY8QO88PNbSdNmNKg
u-9NXhh39zgPuz_8GEt3i3UQ,RATE,b-BoiAZQB9AHRvazM055GFOw
Chutney,IS,Unmatched
Naan,IS,Delicious
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_REVIEW,r-94FiBNsHU-_Q6kQ7m-_NFg
u-sQblfI5c5HBfbE8Nmf7Eqg,VISIT,b-SxuD7iY8QO88PNbSdNmNKg
Top,MENU_ATTR_FOR,b--p-CuUMzN0HQz9OCQ8SZOA
Amazing,MENU_ATTR_FOR,b-S4qUsi44l5D9BbUCkhwQEA
u-pOwfDXnF1rRfUCZD5axsWw,VISIT,b-oVuZtlCFg_zF090Nhtp0Ow
u-zuFF5CTsZkacie2X7RP-0A,VISIT,b-j4ytRzcmtU4cLMBrhY7jMA
u-tFx_Yd_XHzJgYXUZd1pfsA,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
Difficult,ASPECT_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
Paneer_Tikka_Masala,IS,Tasty
Good,MENU_ATTR_FOR,b-_X0M7EMx475KZSX9wAsmgg
u-XQenzPvbCsaceKqc5HjfZA,VISIT,b-xA6L2w_TlbxHubb1xeBE8w
u-psqGxCybfPIOsuuMHyPn_Q,RATE,b-W_9ophRRWO924hn1S-y2Hg
u-bJltnzbkslg8gWYva3TIlg,RATE,b-ZJ0gQp0fcnIDiZv0m9--Gg
u--E8l8M-ukteuWVchiTQ2-A,WRITE_REVIEW,r-NY5f2Vc3rPIsLNrhM4zbzA
Available,MENU_ATTR_FOR,b-Q8uwArm4h8bhsqxw84Gd8w
u-LWor1gTFv2VbzjxVZehzLQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
u-aEdwKSzDnHIadYuWya5y_A,RATE,b-f6T2YaTfGoSyQV-l4jzrjw
u-ZfKr-r9PXwROFlefzw_zzg,VISIT,b-hubbaEcYPYEZu5Ziz6i0lw
b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Shami_Kebab
Slow,ASPECT_ATTR_FOR,b-vCx6uieEF0W0mKFK4sT3Yg
u-L3IOg58UitWzFctBsqq9Qg,WRITE_REVIEW,r-h8h-1qMY5ErsphFAw0C2hw
Fast,ASPECT_ATTR_FOR,b-XNL6PRXaQxyDO2yeBdy11w
Excellent,ASPECT_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
Food,IS,Bland
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Biryani
Inadequate,ASPECT_ATTR_FOR,b-h-psPOmlY0mCOflb3S3rdQ
b-f6T2YaTfGoSyQV-l4jzrjw,HAS_MENU,Rice
u-VQcVz5wzl0380XGy316xgw,WRITE_REVIEW,r-wLWLoZIVAsdbz4yvBLpUNg
Taste,IS,Fresh
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_ASPECT,Food
b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_REVIEW,r-47-F9jiQa249ojSfuHEzMQ
u-zsB1L0kR0YzaBmMuKsZbjQ,WRITE_REVIEW,r-ChOwGwidKijUNSGpvJTfDA
u-hNddW0avP_-eGJlOoAZ8lA,ORDER,Goat_Madras
u-yzfE1NLzzlkcM_yrRZHyzg,WRITE_REVIEW,r-NZKgr1jp2u5uMf2Gno5new
Food,IS,Hot
u-25jya83wrn5NXnFF-J85ew,WRITE_REVIEW,r-ECcZ-t5gkS-gPlM7IazbMw
Garbage,ASPECT_ATTR_FOR,b-CvOxwAhmwwy3sQRKYVAjGg
u-JUT0U3HTSB3kz9Wh7N0GqA,RATE,b-W_9ophRRWO924hn1S-y2Hg
Good,ASPECT_ATTR_FOR,b-or1daHtUK9b7sqFRPf62GQ
b-GC9Re0tKAnecMww3DB638g,HAS_MENU,Coffee_Cupcake
u-gHGTpwpzEfwfgEQ7G-trLw,RATE,b-oX6y1Jm1jYLoWifmIrtaSQ
Food,IS,Fresh
u-BM6KnzoljE9t5qBrQjfdmQ,WRITE_REVIEW,r-XptT9SApZCe6c14a5iTMzQ
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Naan
u-k-wA4IGgPBsrljO0ZnCeug,RATE,b-DxbdfvNYPCyiLJDDPJK3Tg
Butter_Chicken,IS,Delicious
Food,IS,Delicious
u-3YAsLpbykHxYKunBpIjGNQ,RATE,b-hubbaEcYPYEZu5Ziz6i0lw
u-to5-OuYqS4sxP65VwYHIdw,RATE,b-ZJ0gQp0fcnIDiZv0m9--Gg
u-O-seRIDoSOldnnV8Zz0KOw,VISIT,b-h-psPOmlY0mCOflb3S3rdQ
b-MgsOZpYSntKSCzNROiWgYQ,HAS_ASPECT,Service
b-ZJ0gQp0fcnIDiZv0m9--Gg,HAS_ASPECT,Food
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Vegetable_Curry
u-SpXtZ--ccIMahzjkYlx4lA,WRITE_REVIEW,r-m0KAC8u-OBCWrnYnIw7cxA
Delicious,ASPECT_ATTR_FOR,b-Eu-M3y8a5bIxIRXlCj9yHA
Food,IS,Delicious
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_REVIEW,r-fj0zTNinOHHCY6evE4E9Rw
u-dwM9bipDoFdI2mIqsJjD7w,RATE,b-0zTLMQOZhiCp9GFtegiFsw
u-yotSLy34qVfBbMzU-goVWQ,WRITE_REVIEW,r-_qLAfsqbimkrNUzeckxcjw
u-ru2Sp_BdKZF-rnAQdt2g6w,VISIT,b-P4h8kgy_48oE9vCHJc4BCQ
b-BxkVct02QHybp54ATZgkUQ,HAS_MENU,Gulab_Jamun
b-h-psPOmlY0mCOflb3S3rdQ,HAS_ASPECT,Service
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_ASPECT,Food
b-V_jIfMz9Z7a5mthleRq0_w,HAS_REVIEW,r-40GQo2qfjdesc8Zo7f8Gbg
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_REVIEW,r-v5-nIikyTAbkdjNLc4PwvA
Delicious,MENU_ATTR_FOR,b-UAXz2KC1aXpxzV-MLdXbmQ
u-ehAvwDt4Fpsz9KPordu5lA,RATE,b-5eDg_Y2N6aU_k7tIxoFXTg
b-8PZGCtgG5MZKvz9i3B9gCA,HAS_REVIEW,r-yjCYRf5cy_UAz1oFoiqz9w
b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Butter_Chicken
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Butter_Chicken
b-LwXo16VrGPhhOWc_Wj7ifw,HAS_REVIEW,r-P1r8XLgOIyLA2F7tNW_4Ww
u-tr5sQMcgTNvXN_MsmyThaw,RATE,b-ICUCAzUZFiWkYs7iCtNCQg
b-h-psPOmlY0mCOflb3S3rdQ,HAS_REVIEW,r-Xk3cUe0Ja9VlBcsYiiLs6A
Fantastic,ASPECT_ATTR_FOR,b-8PZGCtgG5MZKvz9i3B9gCA
Food,IS,Delicious
u-s1hZZMkaWCql09X-cGUQEQ,RATE,b-xA6L2w_TlbxHubb1xeBE8w
b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-oaEKD82bG2LEBCjyRp4DRw
b-RE4qn28MEiDrM1PbdYVgxA,HAS_ASPECT,Staff
u-uQ8n0xWLk-heB9D4NmqQgA,WRITE_REVIEW,r-1jmjWDYBt3Ti5Ief64yhug
u-pj7M1RIWV0caCp7Kj91JxA,VISIT,b-mOsKIonnlHllP9gfbXdgnQ
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_ASPECT,Food
u-omMCW9cZNhmuue1sas2vFw,RATE,b-scM6rLQqoz5dEIgwz_JFsg
u-86ij_78wolDsWWwAB1gGFQ,LOVE,Rick
b-De8Z9rLZOmf-icp3gDxCZA,HAS_MENU,Cauliflower
u-5Yp97FvmqfWrymhsOxb2bw,VISIT,b-LwXo16VrGPhhOWc_Wj7ifw
Delicious,ASPECT_ATTR_FOR,b-DeI4KqEeWy0cTdh7Wy5_RA
u-s8IEQn1yff8TYAkiJ0Y-nQ,RATE,b-j9YFHVQqxM_qKHIc4nck-A
b-Q8uwArm4h8bhsqxw84Gd8w,HAS_MENU,Lamb_Skewer
b-V_jIfMz9Z7a5mthleRq0_w,HAS_MENU,Karahi_Chicken
u-Vm4hswv3DflUnzO9IGTjaA,VISIT,b-GC9Re0tKAnecMww3DB638g
u-9TC7-M_iaH9Xg4c4CjhetA,VISIT,b-TTCZkfxt0GW8YUzdVe0PrA
u-wxPmBdEZ92moWWzUhjsjgw,VISIT,b-sUGlSS0AF2xPYFEjvKJbSA
Exquisite,MENU_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
u-DbvIS10e5BRB7AFT5DAW4Q,VISIT,b-_PKXarw3GjlbwbXhjdpUMA
u--nxh-PAw8TcDR2CwPOIdwA,RATE,b-GC9Re0tKAnecMww3DB638g
u-qewG3X2O4X6JKskxyyqFwQ,WRITE_REVIEW,r-jmaME2lY5wqiq3ZYVD27-w
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-WbioxcmGrmK0BlZx7oX5tw
b-Dd1w7xR7Xs3bthwusgy33Q,HAS_MENU,Bhaji
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_MENU,Goat_Biryani
b-0cf-w9PK5gLkBkitL3bdqw,HAS_MENU,Tofu_Matar_Curry
Nice,ASPECT_ATTR_FOR,b-De8Z9rLZOmf-icp3gDxCZA
u-2Kgd8_CKyYMvauEA6Z0mAA,RATE,b-MMOEaEcq-bsg_RYWHSC4_g
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_MENU,Kingfish_Beer
u-Tsl3_AGTcGMQVJxGqXgyRQ,WRITE_REVIEW,r-kLQWyaZTDwuy4w1P1AEgvw
Perfect,ASPECT_ATTR_FOR,b-V_jIfMz9Z7a5mthleRq0_w
u-CNSxXqTose2P5Lf_MMXfDw,RATE,b-YywWkWX235ZurTWSLqNPog
b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_ASPECT,Food
Great,MENU_ATTR_FOR,b-7xA6iSP0Ndn08tpBFQtUKA
u-XkCwqx1moKGJFYNozHLUiw,WRITE_REVIEW,r-NITPHbzejt7opvZVBcXf0w
b-f7RXwcus_-EOsR0q5ctVjw,HAS_ASPECT,Food
u-_RV3d1dSafPCOw9JcA6AkA,WRITE_REVIEW,r-v3QW9uqCCIxy4Lt6TyyeZA
Fresh,ASPECT_ATTR_FOR,b-scM6rLQqoz5dEIgwz_JFsg
b-gsc1j3RZQdScBnULSwaV9A,HAS_REVIEW,r-3RU8SLSSSizNaCBe0AVHXg
b-35KvoWbA3kEsdckaWqG3OA,HAS_REVIEW,r-HODcHSXlN4YfPnHrqyL5pw
b-qhKNZTtTT6GLnPzQny-v9Q,HAS_MENU,Lassi
u-WvGMOT2WUnE1tEmP0-OlqA,WRITE_REVIEW,r-r_AxFfwEy_ZrcwQvHVR5eg
Tasty,MENU_ATTR_FOR,b-Eu-M3y8a5bIxIRXlCj9yHA
u-ibfw2LUjalN25aZYDY6EuQ,WRITE_REVIEW,r-DmrE4UGHaeEGGIqtbs-sVA
b-kG0N5urz2lkPEBDPjqFR3w,HAS_REVIEW,r-9yHD1XtsmpPAaad8baVahA
Dosa,HAS,Dinner
Goat,IS,Hard
u-VZRxANvyTm2ixS6jYDGgEw,VISIT,b-hubbaEcYPYEZu5Ziz6i0lw
b-MgsOZpYSntKSCzNROiWgYQ,HAS_ASPECT,Staff
b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-2Pek-eKGPGNRnbirKUfYvg
u-O_P3ht6XRpd2DE6J55PANQ,WRITE_REVIEW,r-E_ATgJTb8XyDsQLJuJ93UA
Service,IS,Terrible
b-0zTLMQOZhiCp9GFtegiFsw,HAS_REVIEW,r-evAlslANn4uJ6OU7DZOkAw
u-lhC0oiatuxhxd2DDrrMQPA,RATE,b-h-psPOmlY0mCOflb3S3rdQ
u-V_pw1PPGe6YbRl4-JpXfYQ,VISIT,b-nbf4o8gUP2y9JKFE2wBO2A
Attentive,ASPECT_ATTR_FOR,b-MgsOZpYSntKSCzNROiWgYQ
u-DoY-DY1QlN-Sztkbs7UQzw,VISIT,b-Dd1w7xR7Xs3bthwusgy33Q
b-UAXz2KC1aXpxzV-MLdXbmQ,IS,Clean
u-1zoenxehqs5enWxtcRfXyg,WRITE_REVIEW,r-j_6hDtOYkTDTTkIEQvkoqw
b-ZDx7kt4aOPTlmYTqXDrTGA,HAS_ASPECT,Food
b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-pLqMKUXOdDaZulv2BzugyQ
Well,ASPECT_ATTR_FOR,b-jb0-JZMt-6Khsh-VwsDtLQ
Food,IS,Good
b-f7RXwcus_-EOsR0q5ctVjw,HAS_MENU,Dinner
u-1VEn9mGPSv2pqvSxBb5Y_Q,VISIT,b-ICUCAzUZFiWkYs7iCtNCQg
b-f7RXwcus_-EOsR0q5ctVjw,HAS_MENU,Butter_Chicken
Price,IS,High
u-wWHeaOS28fnCnFN1Pmo3xg,WRITE_REVIEW,r-Vjw4CEZpp6ZHCWAAUHAjqw
u-DzMV5nTn46Gal-fMRuq6Ug,WRITE_REVIEW,r-XQ-fgx-dRA66XgSRPi123Q
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_REVIEW,r-Ffh-VI2ylOZ5zgryD9mWcQ
u-_gosYV-tf-5n3BL8sNR7Ug,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
u--soqdQNpLjb1SzYlXnzKVw,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
b-TTCZkfxt0GW8YUzdVe0PrA,HAS_ASPECT,Food
u-bT4lQMGxe5sMg_iXrjelAw,RATE,b-5VOqWjRXUPc7b1A_NSI9mQ
b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_REVIEW,r-8T0rLTtpZeuW2pSu4DnEvQ
u-g9MYC0QTNPPmbIdrtdan9A,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
b-V_jIfMz9Z7a5mthleRq0_w,HAS_REVIEW,r-a3bkrAN0e8HFIZfiFoW5rQ
u-XqfFXg1Lz6C4x8CgNexWkA,WRITE_REVIEW,r-IGXOkkqHJuUw8Y9XNXskMQ
Good,MENU_ATTR_FOR,b-f6T2YaTfGoSyQV-l4jzrjw
Food,IS,Hot
u-EeN8Rnp5j5Hml2f8ZHRO1g,WRITE_REVIEW,r-l4N3y1wSAyDjPqKgUEADJg
u-7cXbD-R599rW6AdE1ELXZw,VISIT,b-oX6y1Jm1jYLoWifmIrtaSQ
u-KnkiyXZDt8hVdq_kw1iWuw,WRITE_REVIEW,r-lsCOtNnFvYUlKZPQcI1y3Q
b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-WiXtPNQtkfwlvf-OQbcd6A
Food,IS,Good
u-qOn1VFThKD5y5zrFEQXpGA,WRITE_REVIEW,r-3pjESwt6qI-sLZl3LmnFyg
u-zC2DbfEv-Whzcgg7KEQGXg,RATE,b-xSuR0FK8cHzBLXowCV3Pyw
b-h3_Jnt_y0VPaC5x5kCWY0w,HAS_MENU,Shisha
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_MENU,Biryani
Tandoori_Chicken,IS,Cold
u-G-pUjm-FGYGibs_syjTHWQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
Worth,ASPECT_ATTR_FOR,b-ICUCAzUZFiWkYs7iCtNCQg
Great,ASPECT_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_ASPECT,Service
u-UGXxwHQCIMyvbBpn-ZDNDA,ORDER,Lamb
u-nCAst9mS-JwsuJ6lBgAA-w,RATE,b-xA6L2w_TlbxHubb1xeBE8w
b-xA6L2w_TlbxHubb1xeBE8w,HAS_REVIEW,r-ScG9umbRhUDsZ8GLmfchlw
b-_PKXarw3GjlbwbXhjdpUMA,HAS_REVIEW,r--w8eiKedr1KzAWvK3S8twg
Chicken,IS,Delicious
u-HE0qZ9B1B-h6icUDpV7sdw,RATE,b-0cf-w9PK5gLkBkitL3bdqw
b-f7RXwcus_-EOsR0q5ctVjw,HAS_MENU,Beef_Korma
u-ny-CJ25tLDl8_Oi7j-lbxw,RATE,b-DKqhCd3Vwl3CEo8vUHhLYg
u-1fyzWwIyoGcjWEIeXwxjsA,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
u-Zh4W17n9Mk1IFBQ1oChtiQ,WRITE_REVIEW,r-By5QXOmRf4Ac7jk2WwBhbQ
u-V8IlL_SNMqcy8xNdlvx0qw,VISIT,b--p-CuUMzN0HQz9OCQ8SZOA
u-gXgqmi8iE20hFnUEgSWyrA,RATE,b-MgsOZpYSntKSCzNROiWgYQ
Decor,IS,Cool
u-oS4LtlOtlnbpS7c-2NVEYQ,VISIT,b-hubbaEcYPYEZu5Ziz6i0lw
b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-vLJdG42Ypo4YzrMjkwwv4g
b-Pzs43Fkub-6A9hA1zqpF_w,HAS_REVIEW,r-cdyuOMJ75Lhbf2VCITziEw
Good,ASPECT_ATTR_FOR,b-CB99Ifh4OnBTnuNdRjj_fQ
u-5Fleb60SFkgyu-wd_odfUA,VISIT,b-Ksk5cLav4OtbUtpRGp5b4g
u-klb1-LsZlSlBEEjn2rNZcQ,RATE,b-8PZGCtgG5MZKvz9i3B9gCA
Heavenly,MENU_ATTR_FOR,b-TTCZkfxt0GW8YUzdVe0PrA
u-dc0HzgYCRuh_rz4JYVZ_YA,WRITE_REVIEW,r-VOl3Xvl--GjzkdvJ2Bd9Tg
u-idKkqBLI8MpwgTHm71t0PQ,VISIT,b-YywWkWX235ZurTWSLqNPog
u--DQisTwt2iGzKKfqy-NWHQ,VISIT,b-3frFidAcPVYAFB2RxxkIdA
b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Lamb_Tikka
b-W_9ophRRWO924hn1S-y2Hg,HAS_REVIEW,r-2FrPkPHOQ8RLZUZ9_LwZHA
u-L6-ax0dvzJZO7g5wwt9KJw,WRITE_REVIEW,r-9O67d6QK0k0pz82Ffrj7Wg
u-QfJXkZpYFEy7UV_-95N_BQ,VISIT,b-S4qUsi44l5D9BbUCkhwQEA
Fast,ASPECT_ATTR_FOR,b-LwXo16VrGPhhOWc_Wj7ifw
Paneer,IS,Well
Fantastic,ASPECT_ATTR_FOR,b-y4z0iQZWN4R2Fk8SiPQU5A
