id,user_id,name,gender,age,fans,review_count,average_stars,friends
34,u-3W0lgVuuBCYpQqzy563WLQ,Abu,male,35,0,2,1.0,
35,u-CvJG4MAs3aVY8O2BuVKARg,Kavi,female,35,5,66,3.73,
36,u-1ho5Y8iaj73Ak3i1fUCePg,Andrew,male,18,0,1,3.0,
37,u-P41ptyME4S7rLnejVGJmUA,Kimon,female,45,0,6,3.0,
38,u-JrXC_MDp38BWwLn2SFdNsA,Phillip,male,35,33,743,3.77,u-Q9mA60HnY87C1TW5kjAZ6Q
39,u-m66JEwIVUq_uQU06nWFHYA,Kevin,male,45,0,16,3.75,
40,u-Ul42L3SbNiV0aB1eocj-KQ,Utpala,female,35,0,13,4.69,u-cZm0eIvfPC7zxOwbKsjMLg
41,u-efK-KZ_2IuqtS1RoiWdy5w,Gautram,female,1,0,28,4.0,
42,u--P4MdxIwar7DCEiOpD_GkQ,Khadija,female,18,2,47,3.67,
43,u-pv8KCVEQ-nP9qyDP7YtXcw,Julie,female,25,2,45,3.83,
44,u-auxU8_xmF9Bi-sRD962_cA,I.T.,female,45,1,20,3.4,
45,u-JYxejNDBlyiQJQDVi4HCWA,James,male,25,0,19,1.19,
46,u-S3h-0vC4OwyahD0idAIdRQ,Elwood,male,25,3,19,3.16,
47,u-LwYZnGzCfpejTbjqcxj2Rw,John,male,25,0,12,4.31,
48,u-F0OeMvB1YTr0IJf-5CexZQ,Sunny,male,56,0,16,4.06,
49,u-cZm0eIvfPC7zxOwbKsjMLg,Umakant,female,35,0,5,4.6,u-Ul42L3SbNiV0aB1eocj-KQ
50,u-l6kkFLWO6FuEzRro6bcMwQ,Anmol,female,56,1,128,3.68,
51,u-lGe6PJ4T3IrgmYkM4SFMRQ,Dip,male,45,0,1,5.0,
52,u-FRnNgOvEWJvxo7h9np3RSw,Ainy,female,56,1,8,3.22,
53,u--9RU4LuI_TfYgv9rBijJoQ,Keith,male,25,9,134,3.98,
54,u-YCdNTtZEhQwmCbUk4skNlg,Paul,male,45,0,44,3.78,
55,u-12WATd_fLodHu2woJvHe6w,Janna,female,56,0,7,3.86,
56,u-5loLFO6EKKU_0czmJ0djEA,Kashif,male,45,0,6,1.0,
57,u-jnB_saJqNfOmVoCWquhAzg,Bilal,male,1,73,1183,3.69,
58,u-U5YQX_vMl_xQy8EQDqlNQQ,Stephanie,female,35,207,1503,3.49,
59,u-5Dw8l-8pBUGAenTqgLLe-A,Nidha,male,35,0,5,3.56,
60,u-nLADCnXaYRlx4jYJcHcGdA,Ali,male,18,14,126,3.16,
61,u-i-gDfcrFLVhrNhBCUAhFpg,Ayesha,female,18,14,255,3.95,
62,u-QOk29S8eOtu94j1uTpmsuQ,Daniel,male,45,1,32,3.61,
63,u-EpRIX7o1AC0JeQgwbYVbwQ,Harry,male,35,0,3,5.0,
64,u-hFfD_E7xWYtCNhMPfBYJJQ,Jared,male,35,0,12,4.0,
65,u-14ryIRc7Rh4N_oHgbqpTFQ,Anastassios,male,35,0,5,3.4,
66,u-5KuLnYyRHAeVkwsB1Iglug,Mehvish,female,25,2,32,3.2,
67,u-Zj-mjHHSliTJqv9a3WiXIg,Kishan,male,18,1,39,3.78,
68,u-849Kov2nwyTcSQ6mnA7oBQ,Jay,male,56,0,30,3.14,
69,u-KDGywMWT8L1oy6pOrWtFpQ,Syed,male,25,4,154,3.09,
70,u-SNkleqoSgBMP24WEwp9tSQ,Maanu,female,18,0,11,3.25,
71,u-JDEhGFIPAyIMkfHD0G13UA,Jamal,male,18,5,152,3.4,
72,u-HhXSYa7Wd0qRY_bRaAEfCw,M,female,35,0,42,3.1,
73,u-UGXxwHQCIMyvbBpn-ZDNDA,Suthan,female,35,0,8,3.22,
74,u-9pwWm2KOTjjK8Sfq3TB9YQ,Ryan,male,45,0,22,4.91,
75,u-NjP5TCZ_44ROxw41vYWAfQ,Zem,female,45,0,4,3.6,
76,u-RUEFu7mB6ZMQK550xhnbdw,Naureen,male,56,10,231,4.04,
77,u-1KJ_2hP6dDiCCOSUrx6i8Q,Bijal,female,25,0,30,4.22,
78,u-70c9g3Ii74HA8ATQxC215g,Linda,female,56,0,1,1.0,
79,u-8j44v53fSpg2VkCC1xWBnA,Gurnam,male,56,0,10,3.0,
80,u-zuFF5CTsZkacie2X7RP-0A,James,male,25,4,178,3.85,u-e0AUdCu-jeOkLImiEzlTDg
81,u-_uyl_vUs7HEhuif8yBmLyQ,Jen,female,35,10,113,3.61,
82,u-xhsMa1qTepw6gpGF_nsXkA,Anna,female,18,0,5,2.0,
83,u-CMFuzmaDyJPh-CPL5kUbCg,Kashif,male,35,0,30,3.4,
84,u-v5cmRSLLg2cDBspggFgX0w,Rajan,male,35,0,16,4.06,
85,u-q9ZzaDBNs72WXqKkwELBNA,Soumya,female,25,0,3,2.0,
86,u-ru2Sp_BdKZF-rnAQdt2g6w,Nurali,male,25,0,22,3.57,
87,u-vrmKjuRXl57PZr3NdyqOGQ,Anjum,female,18,0,1,1.0,
88,u-Q4W700OKMIR8wtj0V-CAjA,H,female,25,0,10,3.1,
89,u-rVi5NvoVDH3Lyk0HPFGdRQ,Ayaz,male,45,0,13,2.16,
90,u-YuYhr9rAxJzEE2-4JxxTQQ,Elisha,male,35,0,4,3.0,
91,u-SG11s8Gtcb5qGsABaXKvAg,Nita,female,25,0,1,1.0,
92,u-2SeI7d6epQoFyGUzrPkzUw,Yasmeen,male,35,1,80,2.88,
93,u-2rcc5LNa6DUA7PlUJZX0GA,Marianne,female,25,7,45,3.98,
94,u-mOVyk3O18VY5nrUMTZgM1w,Ankita,male,25,44,342,3.71,
95,u-ng1ccHLnRGqGuMG_KXziaA,Eric,male,35,1,10,3.0,
96,u-cCDZ9jIVumYIb8KrhpDAFQ,Rajinthan,female,25,0,1,5.0,
97,u-8q4qgrHmNn2OHLb8g3nHGQ,Alka,female,35,6,284,3.91,u-zuFF5CTsZkacie2X7RP-0A
98,u-whi_8onFyy-kR8-3qubApQ,Brittany,female,35,0,1,1.0,
99,u-CtvxL2SA-Wn0Tt-Ov1dJwQ,John,male,45,12,293,3.91,u-Q83R2UssCoErEJX36wrlvg
100,u-WX5KfRMzgSIjA_dbkrGnLw,Jon,male,1,0,1,1.0,
101,u-CY7Mtn1xuifQrI2S96BaQQ,Charlotte,female,56,1,15,3.25,u-AvC5XQAElcGAAn_Wr5auEg
102,u-Ug0ujy9-jd0Oc2nk3KIotA,Messer,female,56,221,2244,4.5,
103,u-jF6BdhSNhnaOVfleA8GN1A,Patrick,male,56,0,2,3.5,
104,u-viDOnsL8pW6A-HEAf_VXXQ,Ritesh,female,45,0,9,3.22,
105,u--RDIhvdYrhOAqDF232pCnw,Shilpa,female,18,0,7,4.38,
106,u-fZoXZmSR-xnpjG5zi7ALrQ,Arpit,female,35,0,22,3.96,
107,u-SHqmk_PNFRlPpJjeYFO0eg,Ma,female,45,0,5,1.6,
108,u-U96FpJ6l1IcM4h8iMwmHgA,Rick,male,35,1,91,3.5,
109,u-at6V9uGBsF66j-zdylJUPQ,U,female,56,0,15,2.56,
110,u-kcZ79VN2n0PmBbpWv6Ayqw,Stephen,male,25,0,2,1.5,
111,u-gGCv9qdMRgAa39ao0Phr7g,Jonathan,male,25,7,113,3.76,
112,u-2HD29DRmkH3ZzJq-emARJQ,Dusty,male,35,1,3,3.0,
113,u-eVWh6Wzt9R-DkFZ-xoj1xw,Tessa,female,56,0,35,4.58,
114,u-M4LkknfZPebvUfzWUrNYBw,Linda,female,45,0,13,2.62,
115,u-uH2bJ1_c8Q_cUgKQFZEowg,Atul,male,56,0,8,3.63,
116,u-JEl_9-vznwpcj0fKRXNc0g,Laura,female,45,0,1,2.0,
117,u-9aDdvrXmoMC2PbJQPVO8GQ,Carol,female,25,0,47,4.08,
118,u-RD9rnr0uNtYJya-pl21fbg,Andrew,male,35,0,6,2.67,
119,u-7uNESKhTlge7kCN00u5LPQ,Alyssa,female,35,23,158,4.18,
120,u-YEDnTf7d6RyXKEHDGqi9tg,Sume,female,18,18,192,4.05,
121,u-ONRLfyEi7-exqKlfWiRC4A,Tahiyeh,female,25,0,10,2.55,
122,u-LVgkbdEsYiYLTK7dAYmAMQ,Wernm-f,female,1,0,1,1.0,
123,u-sfKwAw0FD8KuWp4Hjv0cxQ,Will,male,35,9,88,3.67,
124,u-jugdbQsk3vj05c1Kn5aa4g,Shawn,male,18,0,5,2.6,
125,u-PdBWNah2YanRXEZovFPwIw,Thuraya,female,56,0,9,3.11,
126,u-wXdL__0_Vd53Q8U-tOKXEQ,Eddie,male,18,0,6,2.5,
127,u-cpy2Ws6btVpbMvZ3Ioqw6w,Tasmina,male,45,0,20,3.22,
128,u-uJ8vU_PYpcj9V8_wGfGyhg,Pierre,male,25,0,5,2.0,
129,u-rlqSOqnC4IDP612W2DlYLw,Asif,male,35,0,10,2.6,
130,u-_1SKSmLqpHBqWh09DxQMfw,A.J.,female,35,181,794,3.49,u-HdUpeg9oYzvzHIgeJuM2uQ
131,u-1xgOoQxczEEsYuH1YFMZog,Kiki,female,56,0,36,3.49,
132,u-T7cNF1q6PSV5mOs4r2-rrA,Tom,male,45,0,49,4.17,
133,u-986D6wn2BiPvscg-kLLGJA,Christina,female,18,0,4,4.0,
134,u-Hn9nTEOEjOyHbS3KtesquQ,Adrian,male,18,0,22,3.64,
135,u-waffoafSdOleXdxQtkwxxg,Suraz,female,25,0,1,5.0,
136,u-O_P3ht6XRpd2DE6J55PANQ,Steph,female,25,1,3,3.67,
137,u-q5OhW8ne_hteHo6xLHNUPg,Bon'shaniqua,female,1,3,118,3.77,
138,u-47R5xhLhoprA8xYkS21x9Q,Isa,female,35,0,4,3.2,
139,u-QIC7YDWVIciSHX9FQHa-3g,Suvi,female,35,0,7,3.43,u-rLafRDi22mMbZlBTDbZlBA
140,u-6ymZbkJ7vt8eGHA7bHlONg,Amanda,female,56,1,31,3.39,
141,u-zFGpxwJewI6OjC2u9EnZ-g,Dina,female,18,1,141,3.85,
142,u-pZVxKioyk_4KBquQpwgP9Q,Beth,female,56,0,13,3.62,
143,u-kB9QPxar7HLKIpK7qeMnFA,Josephine,female,45,11,239,3.65,
144,u-1ZzOs18zciLBYMZ2cQv58A,Sarah,female,56,1,55,3.97,
145,u-pPEo1f_ikIP86DuiVTnmhg,Dalikes,female,35,0,5,5.0,
146,u-3GjCf5k5X219pDy5rYgxvQ,Ryan,male,45,3,127,3.66,
147,u-r_UQaRU3kiLD9xnwN40kjw,Nadeena,male,25,0,7,3.25,
148,u-U7tUoXPJhbf2k9fwrAhn5w,Carrie,female,1,0,51,3.98,
149,u-4dVgvYYgrem4rhz5CoBk6g,Michele,female,18,3,52,3.4,
150,u-vVHVLgvh2hSsglO4uGSEVg,Dil,female,25,0,28,3.61,
151,u-F21kxY7kQRQwlyvxpLZk6Q,Liza,female,25,0,17,3.47,
152,u-RmiKdzXAb9Ai8csbGCCO1g,Zubair,female,35,1,17,2.78,
153,u-PS57qKDqNUlsLlsOxF00qg,M,female,1,1,92,3.27,
154,u-iWKXKikPiPGr5bzeFlxA5w,TheOneMan,female,35,0,7,3.57,
155,u-5FMeJRjsn1zN9Y9q6X1uyw,R,female,25,0,12,1.92,
156,u-dzC95g6MT4ErmcKbiu6oTg,Joan,female,1,5,287,4.19,
157,u-oUL-6V1aBBjsD06pOamfSQ,Betty,female,35,0,5,3.2,
158,u-fnFU_41zyKA10bt3dgBFMw,Ashley,female,56,0,17,3.94,
159,u-8OZ0XguTupUeWpeAZ7u7MQ,Randus,female,35,0,15,4.19,
160,u-xwIeGfv2NAhq9Kofn5qQmg,Reena,female,45,15,250,3.79,
161,u-Bsbumyr3Of8BauN2URK4bg,Tonya,female,45,165,515,4.39,
162,u-QGOtNZfasBwWCuawKjypYA,Jacqueline,female,45,45,946,4.36,
163,u-NAOx8KnWeaCcbYN0VE-HSA,Jennifer,female,56,0,13,4.62,
164,u-pBeNjksmGLPlBTaujOqiLQ,Anthony,male,56,10,153,4.62,
165,u-egMzPypB0n9ZCq86ybRFpw,Andrew,male,45,1,4,4.75,
166,u-FflbpnSuF3POJG_lPdxLlg,Stephen,male,56,0,4,4.2,
167,u-dsXDA0Dwspk47FFhi3oKvg,Scott,male,18,1,17,2.05,
168,u-26APrhqCQ8pxzqWiMWwFcg,Hirie,female,25,0,22,3.91,
169,u-YscjZezxLirEjK_bK82uAw,Carol,female,25,32,329,4.33,u-E43QxgV87Ij6KxMCHcijKw
170,u-yiWOSHrLIliecmnzdZbxqA,Jamey,male,25,0,16,3.88,
171,u-qvPTw-ArHYI1n1n0cw3S7A,Michael,male,56,41,408,3.93,
172,u-3c3aNHGUPDwFZhxCe-p8Ag,Chris,male,56,1,31,4.66,
173,u-CgG6X3k3DGSL2RR3ekzfsA,Daniel,male,45,5,123,4.01,
174,u-FyikYazQbNoOumDooOQyyA,Lauren,female,25,1,193,3.74,
175,u-rSQITvDnm1smzJl-3LJz4Q,Jess,male,35,30,405,4.35,
176,u-xZIS0iyY463Pxv9_v8GBTg,Ajay,male,35,103,43,4.18,
177,u-E43QxgV87Ij6KxMCHcijKw,Nikki,female,1,570,839,4.1,
178,u-F-nLfSJ4qtdZRwNW993lSw,Abhishek,female,1,0,9,3.22,
179,u-eeHkL577GLoekAV9TsTTkA,Serena,female,18,0,1,5.0,
180,u-MNg6tOsLAKgxsdhLNK6iGg,Kiran Shane,female,35,0,4,4.5,
181,u-iVmBpLCIuUA0Hsu1eNKQ4g,Nav,female,45,4,122,4.01,
182,u-9c1gu4xbBbdwR6IxXkYlMQ,Valishti Artee,female,18,0,9,3.2,
183,u--p3a5JqLcVMIdiqxCsgmZw,Tony,male,56,0,17,4.53,
184,u-uCdmtWpEku3xLa-ScQabKA,Nadia,female,35,10,212,3.73,
185,u-VLfK0P4aHwCThv3h7GeQQw,Tamsyn,female,56,9,144,3.38,u-e0AUdCu-jeOkLImiEzlTDg
186,u-QdLc74qpa5sXJOfgb0FthQ,Tariq,male,45,0,6,4.33,
187,u-PVyl_Kilc81Y0e3eCGJF0g,Candice,female,25,8,62,3.36,
188,u-3B7t3At5fFWaeLVaHiVk4A,Chris,male,18,1,6,4.0,
189,u-ufRKH6kV_n6h5lsmuOr5ig,Harpreet,male,56,0,10,2.4,
190,u-2tGL1SDJnK7GiH8c5yhSBQ,Chrissy,female,35,14,201,4.55,
191,u-xnLliq9Majlk9i0Orf7Iig,Aaron,male,25,15,162,3.73,u-y05H_1uQhO4frLTJ5_tGCQ
192,u-tIbL7mV0a0aOSg8ks4asnw,Sandra,female,25,0,15,3.33,
193,u-W66pmCWETd2cFnWT4Mrn3g,Ve,female,25,3,47,3.63,
194,u-7qSOf2kaMWEhS544oIFR4w,Shelley,female,56,9,83,4.01,
195,u-xG_UtKXuRR-vXcPsqbZm7w,Kimi,female,45,1,149,4.25,
196,u-rLafRDi22mMbZlBTDbZlBA,Nino,male,25,4,118,3.19,
197,u-R_TJQ6Hy1BtOYK_hCl25bQ,Joyce,female,1,0,33,3.66,
198,u-y05H_1uQhO4frLTJ5_tGCQ,Katelyn,female,56,26,453,3.76,
199,u-4L3W45S-ssdoKevuv5ykVw,Reem,female,35,2,52,3.0,
200,u-51_EJUsPW8NpsO8C9N4JqA,Mathanega,female,56,6,123,3.6,
201,u-eDKpiNOWoPqi3NFDn6QgEw,Trevor,male,35,0,4,3.4,
202,u-a2VgXrdJUflY9HOTPb62XA,Jamie,female,45,0,10,3.5,
203,u-z01bY3_w1GieMWOvQHznRA,Tammy,female,56,1,35,2.63,
204,u-Y1N7LPhi3xAq3UBLKWpWNQ,Anthony,male,25,8,261,2.95,
205,u-iIe1gtgyLqV0ZBbArDQkvg,Monica,female,18,27,184,3.7,
206,u-kQF9NmkkxmUTo3AUTfAvlA,Jun,male,45,0,5,3.4,u-DbvIS10e5BRB7AFT5DAW4Q
207,u-I8OgHOWhfyFsDPfC3YU3xw,San Jay,female,25,0,1,5.0,
208,u-idKkqBLI8MpwgTHm71t0PQ,Melwyn,female,45,0,11,3.36,
209,u-3p66LPQoaDIrA7fMoq9t8A,Am,female,1,0,1,3.0,
210,u-DbvIS10e5BRB7AFT5DAW4Q,Betty,female,35,0,12,3.5,
211,u-Vd6N3Dc9rtho-hOspaKQSg,Viola,female,35,2,196,3.27,
212,u-Xd-3racucNVUv1_SVxfvgQ,Karan,female,56,0,16,2.25,
213,u-iDBDdG29pE0963TYM0q-qg,Matt,male,35,1,106,3.68,
214,u-YtbE0S6-A6ls12cLhqueyw,Steven,male,1,0,21,4.05,
215,u-kEK448CBw3QYJy52cT6euQ,Meow,female,45,0,18,2.35,
216,u-yiZGdSHvIFY0tetpl2ZxPQ,Chris,male,35,1,45,2.88,
217,u-EFddU8cj_WTKTBFgdatFBA,Mohmoney2000,female,18,0,15,3.0,
218,u-j4iVWaHuwusa1vVAISWa5A,Pauline,female,35,0,12,4.33,
219,u-4KbUaerUBoiUwZGMHKVFxQ,Shaheed,female,35,17,345,3.66,
220,u-9p6B0BZhUREP4-Ua_xD4bA,Jeremy,male,18,0,20,3.3,
221,u-fVAtXHil33Mwk2vETayyUg,Anna,female,56,0,1,5.0,u-8b8tlDCc2HE9G7rLEMF2lg
222,u-65UXy9qtuLUI93cK8VcDxg,Harley,male,56,0,20,2.6,
223,u-fr5efb7JrVpFBF9q303NVQ,Ali,male,45,2,137,3.89,
224,u-iBofWBmQqEnXJAzQVuhS7Q,Winnie,female,35,1,45,4.46,
225,u-WRchgs4LvsIYidMhlkiCgw,Christian,male,56,0,21,4.77,
226,u-Ecqlb6gdkIjLlj92HUqilA,Paul,male,45,0,8,4.13,
227,u-5INcrkxpxXMbLP1VDBrP9w,Amanda,female,35,0,39,3.95,
228,u-SdXxLZQQnQNUEL1rGMOQ6w,Henry,male,1,13,90,3.84,
229,u-09QcQYf_t1NEq_AkjJuABA,Christina,female,56,36,417,4.12,
230,u-x8GuHHp7EJylrrq9HqL0fA,William,male,25,0,25,3.48,
231,u-BM6KnzoljE9t5qBrQjfdmQ,Melissa,female,45,3,39,3.74,u-WeHffRGwXVuqdQyOxsAg0Q
232,u-CapjGj9mWWL6P_eQChu-5g,Scott,male,18,4,119,3.42,
233,u-cfp7H2hRFCPsTdvMEkrbrQ,Courtney,female,1,0,2,4.0,
234,u-D34XpkChl5RnFlhFZvZFbg,Tony,male,18,0,1,5.0,
235,u-iyvmVqJAGF1UTh6HHKbQew,Lambeau,female,35,0,21,3.65,
236,u-fMcplBt_OQ7V-TQusZmTGw,C,female,56,0,8,3.63,
237,u-BdQOW8Nm6YNk7bk1wvr2Cg,Edward,male,56,0,65,3.17,
238,u-XqjeXUZ1BXzxl1HqLABX1w,Michael,male,56,0,25,3.93,
239,u-SalzPkE0sbOXF7erSlOKSQ,Kenneth,male,1,0,21,4.29,
240,u-J5eK0nDfQPlD0VeihS40kA,Kimberly,female,45,0,17,4.33,
241,u-cPKCbAf-XlMoGlDHLgPpYQ,Joel,male,56,0,8,3.25,
242,u-OnfwPAs_mVdSAEigKMFHQw,Katie,female,45,1,29,3.47,
243,u-M4P02bBbTauuwP6OhGpT-g,Aditi,female,18,0,23,3.38,
244,u-UG3JqmYlEWlNEOJqUMENDg,Aditi,female,35,17,141,3.98,
245,u-ZPz3QcLM9cBmS7znlLEb3Q,jim,female,45,0,8,4.0,
246,u-ORBwoRxcyxFtjNU5zuex_Q,Brooke,female,1,0,1,5.0,
247,u-bf2Twxnea_9NhIs-2lvK8g,Demi,female,45,5,73,3.27,
248,u-CgaxrZFHnfdXT8goelBTaA,Kelly,female,35,2,53,4.16,
249,u-I_wb3WV1EwwgH9i1ZrVkTw,Antoinette,female,56,1,26,4.54,
250,u-re6Tp9Q8nCKXOjggP8m1JA,Yvette,female,56,0,3,4.67,
251,u-oVThx4VpdF_IQjZRldcT6A,Matthew,male,35,0,1,5.0,
252,u-x8lutXxvDde5ZoHqfZzumg,Maddy,female,1,0,1,5.0,
253,u-eJ00Pm6BVn91jySR6ETCag,Chris,male,35,1,77,3.58,
254,u-Vlp4qA2_MRv9hQvJsA6kyg,Ania,female,25,1,81,3.99,
255,u-t0e6NZ9ssaSpJQnsD4GDmw,jon,female,25,0,24,3.83,
256,u-IbL4upXbKhB-puX6ffQlww,Megan,female,56,0,15,3.4,
257,u-WeHffRGwXVuqdQyOxsAg0Q,Emily,female,35,21,170,4.0,
258,u-hQ8zKPF90-hkLp_C_wYzsg,John,male,18,0,71,4.05,
259,u-mvIEbcSMGrX7h_Z_J6Jcgg,Pri,female,35,0,10,3.2,
260,u-nrUz27WKP4CCRaVhacp4jw,Jackie,female,45,0,10,4.69,
261,u-D3ubzB6RdOiMwJ6JFIL2Zw,Michael,male,56,3,62,3.82,
262,u-HazSV7hH9YrbDL6lOpS5Dg,Kelly,female,18,0,5,5.0,
263,u-94J1J7zJCVgfN8bz1qF-8g,Mohammed,male,35,0,6,3.5,
264,u-SKgQIHJVj7JU60kBKo8OZw,Matthew,male,35,0,5,4.2,
265,u-pI6jn3YCp2jSa8dH0FxZWg,D.,female,45,0,4,3.5,
266,u-kKsSDWIEMg9A9obAaY_NIw,Laura,female,56,0,2,3.67,
267,u-A_DdEIFJv5W-owkam1PSvw,Gurwinder,male,18,0,3,2.33,
268,u-brY1l1obnPNk-oyDcScyMw,Matthew,male,25,0,2,5.0,
269,u-cQrAV5NFK8vZ6qMiRLddVQ,Sarah,female,25,0,10,3.9,
270,u-pMf7ybLSBGrR7ABPzv2bag,M,female,45,0,67,3.18,
271,u-iEy2zChmzGTdv9n0t_jEPw,Jenee,female,56,2,67,4.18,
272,u-omMCW9cZNhmuue1sas2vFw,Adam,male,35,0,4,4.0,
273,u-MWtrV8O5NclWPrNvsxUVXg,Alex,male,1,0,18,4.5,
274,u-YqMpcRUA0OMw1WNLDGoj-A,Sue A.,female,56,16,390,3.05,
275,u-Nq6e5N8bjgD9B46O4va_zA,Sarah,female,35,20,485,3.88,
276,u-yRy06dgAS4CZ1eyE1bQ5QQ,Lia,female,45,0,3,3.33,
277,u-CxDOIDnH8gp9KXzpBHJYXw,Jennifer,female,25,789,6633,3.33,
278,u-GkSc8kWWbigUL_V5Q12GrA,Irina,female,56,1,66,4.19,
279,u-JSnZgpUfETfH8LcIYBP9Yg,Giselle,female,35,10,177,3.35,
280,u-Xmf0hrZ1S4zBcQ7GmidJ2Q,Jeff,male,1,9,111,4.1,
281,u-VUop7P6gVM95Ke2cHjX0Fg,Ryan,male,45,1,102,3.29,u-JnPIjvC0cmooNDfsa9BmXg
282,u-ny-CJ25tLDl8_Oi7j-lbxw,Foodie,female,35,0,36,3.04,
283,u-rZwfucC2U81hGAGSceL5ew,Yusuf,male,18,0,8,2.33,
284,u-M9B4BJkv5ciSgkaUfif2Dw,Mamoun,male,25,0,14,2.36,
285,u-2U9yYe623iFuWICTIgDMQw,Sarah,female,56,0,12,3.42,
286,u-gesK7Oep93G_ViOFNiRjxQ,Yohanna,female,1,1,14,2.43,
287,u-Fjk3fN9-X5Hd1n5-pwoO0w,Ogan,female,1,1,11,4.18,
288,u-f1vwYzWxoF8OmOsidSiuuQ,Khalid,male,56,0,34,2.59,
289,u-qswybzqD9UD_my8fl0V7wQ,Ali,male,35,0,30,4.47,
290,u-1_cEjUy1_a2HUNp8_5oaGA,Silken,female,1,2,6,3.33,
291,u-cuB0D5lUemrEow1FOLv54Q,Ali,male,35,0,20,3.58,
292,u-fYUQbav_JlFe0U1WDxpA_w,Steven,male,35,0,1,1.0,
293,u-Yk3G57N4a3-k8edIKESrrA,Kalita,male,35,0,4,2.0,
294,u-liiY-jtE681B_fbP1sHfiw,Danial,male,25,0,6,4.67,u-ub8FMhBU6hJ0u1jjChlkyg
295,u-IdhiZofTvwWd_Ul5m338wQ,Abi,female,35,7,59,3.47,
296,u-R1eRQrEMvc5TKNOtU9Se1w,Calvin,male,25,1,63,3.22,
297,u-F9SQf5gkni1Ux4uTcqFQfg,Just,male,18,0,3,2.5,
298,u-DJTgCoGrU329Z5WZquX9KA,Bill,male,25,0,24,3.08,
299,u-ub8FMhBU6hJ0u1jjChlkyg,Agha,male,25,2,7,4.42,
300,u-SVyv-07pWaPySmY10oVZBA,Royston,female,18,0,5,3.4,
301,u-4LPsIyUQxuQAFOZOUqHvRQ,Ahad,female,45,10,163,3.49,
302,u-wWHeaOS28fnCnFN1Pmo3xg,Shaan,female,56,7,234,4.04,
303,u-bOS8YfYRt7Pa320yMRVNPQ,Sandra,female,56,2,60,3.03,
304,u-YgYlEhHXIa1O5NAy6SNS_g,Kelsey,female,45,0,6,3.43,
305,u-G2bIgYrIgdllZq4RT7ThRw,r,female,25,0,6,3.67,
306,u-8okt1nl-g2RL3ylWoqj4tA,K,female,45,6,123,3.81,u-AvC5XQAElcGAAn_Wr5auEg
