,subject,predicate,object
43,u-IZXnSMdOkVdFH-mw6zQBbA,RATE,b-rYziPPEILDXJ_F5uKR--YQ
44,u-I_hZOak13ydnfXV1nJPDTg,VISIT,b-dg4EMyM1feTEWfLPSbunrg
45,Pancakes,IS,Bad
46,b-xSuR0FK8cHzBLXowCV3Pyw,HAS_ASPECT,Take_Out
47,Amazing,ASPECT_ATTR_FOR,b-S4qUsi44l5D9BbUCkhwQEA
48,u-Y6ORRvlywg5fV7FSgUM5BA,WRITE_REVIEW,r-IXh01dgi5-YKG-wkWHUtEA
49,b-qcqDjeirxvdgW5kQVkEwSA,HAS_REVIEW,r-znt6J32ziq6fEU64H5NV7A
50,Service,IS,Terrible
51,u-fL6oI_4pJhP5inuNyHwExw,WRITE_REVIEW,r-ONKtODo-oJSLCZm4c1TsSw
52,u-gEyjDBWMV7jUrS6QbCrBrA,VISIT,b-pU7L-CQpl4syUwfEGAlb8g
53,u-9kO-feVTNdDRYIP_yM2o6g,RATE,b-V_jIfMz9Z7a5mthleRq0_w
54,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_REVIEW,r-hBtARTtkV04Xo1QfxxFi6g
55,Service,IS,Fine
56,Delicious,MENU_ATTR_FOR,b-f6T2YaTfGoSyQV-l4jzrjw
57,u-oNHDgnRGZ1KkeTqBIFjBtw,VISIT,b-xYpAg60oZVbOtSYgrOKBgQ
58,u-xyDVo974O7sVUie3zyMFBQ,RATE,b-DxbdfvNYPCyiLJDDPJK3Tg
59,b-rYziPPEILDXJ_F5uKR--YQ,HAS_REVIEW,r-olDtmMe3Nf7RAiYv31t7Tg
60,u-6V2QVNLboiRQ5QRHyUDqjg,VISIT,b-xA6L2w_TlbxHubb1xeBE8w
61,Bland,MENU_ATTR_FOR,b-5eDg_Y2N6aU_k7tIxoFXTg
62,u-ZzYg2hA4SdhrBWyVs-yPCw,VISIT,b-tIXpNWE6R1yadAThbSefHw
63,u-3GjCf5k5X219pDy5rYgxvQ,WRITE_REVIEW,r-6iYuO2eDWIIPbT21k1cLxQ
64,b-gA4bnK91phT5FTzG4ki3Dw,HAS_REVIEW,r-kuTXh8LaOBQ-IbytU4cCkA
65,u--nxh-PAw8TcDR2CwPOIdwA,WRITE_REVIEW,r-o6Zdd8E8uNvVIz6SFkJYQw
66,u-A05HPjCOyhV9j7vn_dk7UA,RATE,b-Q8uwArm4h8bhsqxw84Gd8w
67,u-IZXnSMdOkVdFH-mw6zQBbA,WRITE_REVIEW,r-gXLlzDYrl1CwRq3X1UVfNw
68,b-V_jIfMz9Z7a5mthleRq0_w,HAS_REVIEW,r-F3nBjdkChJuP1j8EqUwveQ
69,b-gw0ZS5b5RP3Lzr1BoCbALg,HAS_ASPECT,Food
70,b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Butter_Chicken
71,u-Rove-_SK-PAezQPQS7cnaQ,VISIT,b-0cf-w9PK5gLkBkitL3bdqw
72,b-xA6L2w_TlbxHubb1xeBE8w,HAS_MENU,Chicken_Tikka
73,u-rzSpxatBhTjw7vzT1h2yMA,WRITE_REVIEW,r-rQ_KDlzwDznVrxk5YnltBg
74,u-yi4C52eqeLueoCeiiD4qAQ,WRITE_REVIEW,r-LOnKUx2UoRgSUCO8450TyA
75,Samosa,IS,Tasty
76,u-d-mHwb70ZgiQ3nXlrLfPyw,RATE,b-SxuD7iY8QO88PNbSdNmNKg
77,b-h-psPOmlY0mCOflb3S3rdQ,HAS_MENU,Chicken_Tikka_Masala
78,u-Uaqawx2iD0mT5YP_akJrJw,ORDER,Beef
79,b-MgsOZpYSntKSCzNROiWgYQ,HAS_ASPECT,Service
80,Price,IS,Good
81,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_REVIEW,r-VzrM_3thuyY-A_B_2xQBCg
82,b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_ASPECT,Food
83,u-J-G_6fvT_sNs0YXJkYEnSg,ORDER,Chicken_Pakora
84,b-y4z0iQZWN4R2Fk8SiPQU5A,HAS_ASPECT,Food
85,b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Vegetable_Curry
86,b-YywWkWX235ZurTWSLqNPog,HAS_REVIEW,r-2LeudTQWFH6ny6-ddi0N1A
87,b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_REVIEW,r-x3cxKMrvHC9vV5D-2j4NgA
88,b-qcqDjeirxvdgW5kQVkEwSA,HAS_ASPECT,Music
89,b-W_9ophRRWO924hn1S-y2Hg,HAS_MENU,Chutney
90,b-Pzs43Fkub-6A9hA1zqpF_w,HAS_MENU,Pakora
91,u-pMefTWo6gMdx8WhYSA2u3w,WRITE_REVIEW,r-USnzgji4rcUIo_sMdtYYWA
92,b-BxkVct02QHybp54ATZgkUQ,HAS_MENU,Mango_Mousse
93,u-puMWOwZTa1A2B9oMRFl7KQ,RATE,b-k9PfKE7KfztoMpOSx25UpA
94,u-gjlcSQDafNqPbYA0q7pwuA,RATE,b-gw0ZS5b5RP3Lzr1BoCbALg
95,b-geMa0_CtMOctkUhf_JXK9Q,HAS_MENU,Butter_Chicken
96,b-SxuD7iY8QO88PNbSdNmNKg,HAS_ASPECT,Staff
97,b-_PKXarw3GjlbwbXhjdpUMA,HAS_MENU,Chili_Chicken
98,b-W_9ophRRWO924hn1S-y2Hg,HAS_ASPECT,Food
99,u-wlc3ueOUwo5e3NFqeVWeDw,WRITE_REVIEW,r-Ku-0y-4H5HhMPOuGYT2o5g
100,u-IdhiZofTvwWd_Ul5m338wQ,WRITE_REVIEW,r-BoU4JTMj9L3fU_T7y1Ammw
101,u-2dS8ZrOmkdMMHayU-b9ntg,WRITE_REVIEW,r-mmCZGvXoeesBtHFHvKhidg
102,u-2p7wg_4xvgs8nWLkrU-puQ,VISIT,b-UaMq3DUhtkoZ5WCEQm2T9g
103,u-8BDciyOsJg54onM6SWu8Rg,VISIT,b-S4qUsi44l5D9BbUCkhwQEA
104,Loud,ASPECT_ATTR_FOR,b-SxuD7iY8QO88PNbSdNmNKg
105,b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_MENU,Pakwan_Biryani
106,b-8grTRpmD9JYRPWayoLxg0w,HAS_MENU,Sauce
107,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Staff
108,u-KDGywMWT8L1oy6pOrWtFpQ,WRITE_REVIEW,r-QCxqiPHGiKTvBnjVCQcuqQ
109,u--w3ArCgWBRPj-MM4X8Im5A,VISIT,b-35KvoWbA3kEsdckaWqG3OA
110,u-Rm-y6fTB_E-Qwwdz1YwHwQ,WRITE_REVIEW,r-nocnPISqlUTHNccJ2SDaoA
111,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_REVIEW,r-u25DDX-YidslMNtp9vxWgg
112,u-JYxejNDBlyiQJQDVi4HCWA,WRITE_REVIEW,r-eN4NrgWynGCJFR9V1TN3NQ
113,u-9QEoZRnONsQpWa61M0T3NA,WRITE_REVIEW,r-Bj9ZD3FzR1DwcgzgVZZXYw
114,Mediocre,MENU_ATTR_FOR,b-DxbdfvNYPCyiLJDDPJK3Tg
115,u-yg4mOksN3y2m8rhZl0iNiw,VISIT,b-sUGlSS0AF2xPYFEjvKJbSA
116,u-MrSiwcX3gKm3kaXzgZq0pA,WRITE_REVIEW,r-Zwo2SX7beAB6DssEemVwYA
117,b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Sauce
118,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_MENU,Dosa
119,b-GC9Re0tKAnecMww3DB638g,HAS_MENU,Kaju_Draksh
120,u-Gh6sagblKhuMpWUDWeQjNg,ORDER,Masala_Tea
121,u-4BODhptVEvhAIYOL6ngajA,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
122,u-WE_mkPYJQoFOoNEVfSiGAw,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
123,u-Bf3FdFD_67iJvnoXu9l-WA,VISIT,b-gA4bnK91phT5FTzG4ki3Dw
124,b-LwXo16VrGPhhOWc_Wj7ifw,IS,Lavish
125,b-XvuUYiJYAAiNC4AmdbBZ8g,HAS_MENU,Naan
126,b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_REVIEW,r-_t3yVUNXiVViElItjReGfA
127,b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_REVIEW,r-Z8Z8Cmq_05U_onviDQesHQ
128,Good,ASPECT_ATTR_FOR,b-sUGlSS0AF2xPYFEjvKJbSA
129,Naan,IS,Spectacular
130,Price,IS,Shabby
131,b-0zTLMQOZhiCp9GFtegiFsw,HAS_ASPECT,Food
132,u-Y-sW-k-vT3jXCfYoOZLt5w,WRITE_REVIEW,r-VS4s6blCjQFdUDW_IDfHzw
133,b-S4qUsi44l5D9BbUCkhwQEA,HAS_REVIEW,r-ohYwQ3Uh9Gdd_TTj4lFLyA
134,Cold,MENU_ATTR_FOR,b-eRZuxjnaMviiVyvhejwTBQ
135,b-ZNdV9ytExuxPTXSN8i2xhw,HAS_ASPECT,Food
136,u-J1maxb_SF5z6uEpS86HMbA,ORDER,Naan
137,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Bread
138,u-yotSLy34qVfBbMzU-goVWQ,WRITE_REVIEW,r-_qLAfsqbimkrNUzeckxcjw
139,b-TAnzFr9NixvCbvUdJMWL5Q,HAS_MENU,Chicken_Biryani
140,u-xz5-2fSiTyAzLybdB9tU7w,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
141,u-GqLTKz0YsSkX-DTc9oHrBg,WRITE_REVIEW,r-hOVIYckVAGA7T4ESTetbvA
142,b-MgsOZpYSntKSCzNROiWgYQ,HAS_ASPECT,Customer_Service
143,b-xA6L2w_TlbxHubb1xeBE8w,HAS_MENU,Chili_Sauce
144,b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_MENU,Lamb_Biryani
145,b-ZDx7kt4aOPTlmYTqXDrTGA,LOCATED_IN,Ajax-Canada
146,b-eRZuxjnaMviiVyvhejwTBQ,HAS_REVIEW,r-C5ApkSepwC82WryX42ScEw
147,Good,ASPECT_ATTR_FOR,b-5VOqWjRXUPc7b1A_NSI9mQ
148,u-nQdeDxykYTI-0YDfmel3JA,VISIT,b-k9PfKE7KfztoMpOSx25UpA
149,u-G-pUjm-FGYGibs_syjTHWQ,VISIT,b-Pzs43Fkub-6A9hA1zqpF_w
150,u-1DmRxcS9KgB2PKkMS3l44g,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
151,Excellent,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
152,u-oVThx4VpdF_IQjZRldcT6A,RATE,b-scM6rLQqoz5dEIgwz_JFsg
153,u-IgjjNyJt8l_SKcl0KPYgVA,VISIT,b-V_jIfMz9Z7a5mthleRq0_w
154,u-AEgYsg7EHi-Z6j8R3vd06w,ORDER,Sambar
155,u-re6Tp9Q8nCKXOjggP8m1JA,VISIT,b-scM6rLQqoz5dEIgwz_JFsg
156,u-W37KqgMymarQaqYGOWS70w,VISIT,b-nbf4o8gUP2y9JKFE2wBO2A
157,u-tB5TYqLSZBSIY2RlEOMkPQ,RATE,b-0cf-w9PK5gLkBkitL3bdqw
158,b-NHDdAZJqS3cf_K6HYxoQ9w,HAS_CATEGORY,Indian
159,b-scM6rLQqoz5dEIgwz_JFsg,HAS_MENU,Naan
160,u-5Fleb60SFkgyu-wd_odfUA,WRITE_REVIEW,r-PSk94Gi5znlzF9cuplI4rw
161,Solid,MENU_ATTR_FOR,b-BxkVct02QHybp54ATZgkUQ
162,u-cfp7H2hRFCPsTdvMEkrbrQ,ORDER,Coconut_Naan
163,u-9ESy342WfZBiDZHhFf8QEg,WRITE_REVIEW,r-xNGZBuFUbjy4iMDtkGAogA
164,b-BxkVct02QHybp54ATZgkUQ,HAS_REVIEW,r-hUL9h6VbLdlbA0i8GP9MmA
165,b-idrN6XWKErG6nKDsEMNbOQ,HAS_ASPECT,Staff
166,u-DStRnaP_nZbGBEOCNddRDQ,VISIT,b--p-CuUMzN0HQz9OCQ8SZOA
167,u-pwYV78zGwS3avyPiVaL6xg,WRITE_REVIEW,r-veE8u_cJKNHhRFdVCVJAVA
168,b-oX6y1Jm1jYLoWifmIrtaSQ,HAS_MENU,Saag_Chicken
169,b-De8Z9rLZOmf-icp3gDxCZA,HAS_REVIEW,r-kYe3lLKlS6bmxgFoWYYVgA
170,Food,IS,Horrible
171,u-Ns138gV1CUF8ZF01hiJu_A,VISIT,b-hubbaEcYPYEZu5Ziz6i0lw
172,b-0zTLMQOZhiCp9GFtegiFsw,HAS_REVIEW,r-evAlslANn4uJ6OU7DZOkAw
173,u-5Isi0CjKB0STfufSg1SxHw,WRITE_REVIEW,r-VzHlLaTtDUZ4G0BXThsjPg
174,b-0zTLMQOZhiCp9GFtegiFsw,HAS_REVIEW,r-ZOh7nPbrlBZDX6Y-uhQEtw
175,Food,IS,Excellent
176,u-RUEFu7mB6ZMQK550xhnbdw,WRITE_REVIEW,r-zIztvhr73XI97q8AglvA2A
177,u-vErmnVl-YKhmFFufbPLtvQ,RATE,b-P4zWgzYzy03D9LeDTpKuDg
178,u-XXHMv22aIQBGeLIWJoe8CQ,RATE,b-f6T2YaTfGoSyQV-l4jzrjw
179,u-O4Dim1eKErdBdKWUGpMxvQ,VISIT,b-UaMq3DUhtkoZ5WCEQm2T9g
180,Slow,ASPECT_ATTR_FOR,b-eRZuxjnaMviiVyvhejwTBQ
181,b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_MENU,Tandoori_Fish
182,b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_REVIEW,r-gKCjkewVNHzGwkuVddzenA
183,Food,IS,Excellent
184,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_REVIEW,r-sAy-cKphu90uQ5Ns6VtIlw
185,u-XbS_3mHVvzlOJJWAGtx1tQ,WRITE_REVIEW,r-RSj2VcPWYTJ33joJ-9TPFw
186,Good,MENU_ATTR_FOR,b-TTCZkfxt0GW8YUzdVe0PrA
187,u-vYFcgLgrlUc1BoePDXbelQ,VISIT,b-pU7L-CQpl4syUwfEGAlb8g
188,Staff,IS,Nice
189,b-Q8uwArm4h8bhsqxw84Gd8w,HAS_REVIEW,r-bu6v-WPY4ffXk0GeL3bvDg
190,b-Eu-M3y8a5bIxIRXlCj9yHA,HAS_MENU,Chicken
191,b-DJuQgsoj-qmU0i5iTAa4aA,HAS_REVIEW,r-GyYjI-lBQwkypLbQF_h-yg
192,b-5VOqWjRXUPc7b1A_NSI9mQ,HAS_REVIEW,r-TG957m6eG9zCvt67PvPYRw
193,u-5fqHDnZYDODFOitqFzf0Ag,VISIT,b-BxkVct02QHybp54ATZgkUQ
194,u-gZUVSBm-BWntWeQTYH04UQ,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
195,b-DKqhCd3Vwl3CEo8vUHhLYg,HAS_REVIEW,r-K1VD0NqShhjGMelVJkhq6g
196,b-scM6rLQqoz5dEIgwz_JFsg,HAS_MENU,Coconut_Naan
197,u-gScmsSCqBeFPp6q9yG5nmw,ORDER,Gobi
198,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_ASPECT,Food
199,u-03M-c_n5XlXN_ktDCT_j1A,RATE,b-S4qUsi44l5D9BbUCkhwQEA
200,u-V5NaQCpO1w9u7LaqLwasvQ,ORDER,Lamb_Curry
201,Good,MENU_ATTR_FOR,b-jb0-JZMt-6Khsh-VwsDtLQ
202,u-i_V_Pfti84h3KWY-HtUiWA,RATE,b-UAXz2KC1aXpxzV-MLdXbmQ
203,u-tw-F1CUvdukzlfxLqgmXWw,RATE,b-LwXo16VrGPhhOWc_Wj7ifw
204,Food,IS,Great
205,u-2mKI7s51PD-W5t8CrCRjNA,RATE,b-3wJ4kJsJhayyfJ30HsS04g
206,u-rOxRZoBqU0n9iLj-d2Uozg,WRITE_REVIEW,r-C2Ez4PnM7_MAPJSKlPWrbw
207,b-TAnzFr9NixvCbvUdJMWL5Q,HAS_ASPECT,Staff
208,u-gZUVSBm-BWntWeQTYH04UQ,WRITE_REVIEW,r-SO-qLS5FN7ybjpMDf96gWw
209,b-TAnzFr9NixvCbvUdJMWL5Q,IS,Inconsistent
210,b-j9YFHVQqxM_qKHIc4nck-A,HAS_MENU,Sauce
211,b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_CATEGORY,Caterers
212,u-sPmyLPv-ikA-aR1U6reTUg,VISIT,b-gXLiBVCHIqoPEw2CaP3QmQ
213,u-jHFWHRV-ju7kws9V6SKYKA,RATE,b-0cf-w9PK5gLkBkitL3bdqw
214,b-k9PfKE7KfztoMpOSx25UpA,HAS_REVIEW,r-v0sjdtUAel1UZoW4cJgETw
215,Food,IS,Great
216,b-S4qUsi44l5D9BbUCkhwQEA,HAS_REVIEW,r-fBLZrVhzBOekWYchjekcvg
217,u-VGipbFMtKaGy5fSseqY_BA,WRITE_REVIEW,r-6wfZi1AHI4pXyPrJcMVAXw
218,b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_REVIEW,r-iHVs5EfEV6BEEWBmgL7NSA
219,Food,IS,Mediocre
220,b-V_jIfMz9Z7a5mthleRq0_w,HAS_MENU,Fish_Curry
221,u-klb1-LsZlSlBEEjn2rNZcQ,WRITE_REVIEW,r-HL4Y8j_74M08YLpHopWaMw
222,u-CA1N8B5ZkSiUJeOXYcWImg,VISIT,b-vCx6uieEF0W0mKFK4sT3Yg
223,u-ftH3xRtiLFBc8R4ZdPxCww,WRITE_REVIEW,r-Op-bRzpouhZMn0F2zz5CTQ
224,b-7xA6iSP0Ndn08tpBFQtUKA,HAS_ASPECT,Food
225,u-Qyokp8RI4Y3YrSsN_C1iWw,RATE,b-kG0N5urz2lkPEBDPjqFR3w
226,u-oTXacfmCLz9mev6KORIfEQ,VISIT,b-NHDdAZJqS3cf_K6HYxoQ9w
227,Food,IS,Great
228,b-ICUCAzUZFiWkYs7iCtNCQg,HAS_REVIEW,r-ubt_K4BWuQrMMRc1bedxkg
229,b-scM6rLQqoz5dEIgwz_JFsg,HAS_ASPECT,Service
230,b-yy_FhzQCeLreV21OBccPAg,HAS_REVIEW,r-2C29DieyYaVMgArUVEr-Kw
231,u-9pwWm2KOTjjK8Sfq3TB9YQ,WRITE_REVIEW,r-cyx2Hc2_CsOCYkw2ddbNQA
232,b-f7RXwcus_-EOsR0q5ctVjw,HAS_REVIEW,r-4Ox7vuYx_3zQRucoWHQqoQ
233,b-Pzs43Fkub-6A9hA1zqpF_w,LOCATED_IN,Madison-United_States
234,u-RAOZ3SzKlmxY3iDIlBb0dw,WRITE_REVIEW,r-HrhM9xabBaQw6hVh6QmaMA
235,u-X12ACTgVYCp9nkLVeq-59g,WRITE_REVIEW,r-wIJ-mMuQTz3--mI2Iih1gw
236,u-V-BbqKqO8anwplGRx9Q5aQ,RATE,b-GC9Re0tKAnecMww3DB638g
237,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_REVIEW,r-0av9cnDyoaQQu0pU7vs33Q
238,u-K5nBbPNYMhFpTdcucG9a_g,VISIT,b-f7RXwcus_-EOsR0q5ctVjw
239,u-qOn1VFThKD5y5zrFEQXpGA,RATE,b-h-psPOmlY0mCOflb3S3rdQ
240,b-tIXpNWE6R1yadAThbSefHw,HAS_CATEGORY,Pakistani
241,Samosa,SEEM,Stale
242,b-UAXz2KC1aXpxzV-MLdXbmQ,HAS_REVIEW,r-U9OO3XxbGoj0eUQkpWSq2Q
243,Good,MENU_ATTR_FOR,b-hubbaEcYPYEZu5Ziz6i0lw
244,Courteous,ASPECT_ATTR_FOR,b-f7RXwcus_-EOsR0q5ctVjw
245,u-CtvxL2SA-Wn0Tt-Ov1dJwQ,RATE,b-LZWXP-D4YPlzsFjVx6b9XA
246,u-U1vl4SQzO3wTAWlYVnSjnw,HAS,Indian Places
247,Good,MENU_ATTR_FOR,b-nbf4o8gUP2y9JKFE2wBO2A
248,Potato_Chickpea_Wrap,IS,Amazing
249,u-3ERGd_VUoH9_hsWmGudLYw,WRITE_REVIEW,r-5WnO_BWUBy9FGtUhzYXCRA
250,Authentic,MENU_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
251,Decent,ASPECT_ATTR_FOR,b-7xA6iSP0Ndn08tpBFQtUKA
252,Vegetable_Samosa,IS,Delicious
253,u-rSWQ_yu3xgVaTCyUdspBkA,ORDER,Pakoda
254,u-oS4LtlOtlnbpS7c-2NVEYQ,ORDER,Mantra_Masala
255,u-m0kIeayhge-bLp9LdAtMsQ,WRITE_REVIEW,r-hQhgljoT2913Cy6CUh37NA
256,u-ECWLF8z5SmzQxRdkizQ2KQ,VISIT,b-gA4bnK91phT5FTzG4ki3Dw
257,u-JIKywBVrWyfKYqhZAt0D-g,VISIT,b-DxbdfvNYPCyiLJDDPJK3Tg
258,b-8PZGCtgG5MZKvz9i3B9gCA,HAS_REVIEW,r-piPF8o4al2Wqx4HihT_uRQ
259,b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_REVIEW,r-X5rHKzpEQovvkPa_LU9O8w
260,b-MMOEaEcq-bsg_RYWHSC4_g,HAS_MENU,Lamb
261,b-DxbdfvNYPCyiLJDDPJK3Tg,HAS_MENU,Rice
262,u--nxh-PAw8TcDR2CwPOIdwA,VISIT,b-GC9Re0tKAnecMww3DB638g
263,u-quis0L_iyN20UqaICzVhuQ,ORDER,Tandoori_Grill
264,Coconut_Chutney,IS,Authentic
265,u-DjZFxtnFBov1iQyW2Ky1CQ,VISIT,b-MMOEaEcq-bsg_RYWHSC4_g
266,Customer_Service,LEAVES,Taste
267,b-8grTRpmD9JYRPWayoLxg0w,HAS_MENU,Lamb_Pieces
268,u-DFgGYfDFY1RxiWjxgV85lA,RATE,b-3wJ4kJsJhayyfJ30HsS04g
269,u-9Ps53-JoheeX9pFbRpahRg,WRITE_REVIEW,r-lRF3Yar--f9LoPkobr2qYg
270,b-sUGlSS0AF2xPYFEjvKJbSA,HAS_REVIEW,r-j9dRfETbUwmsxHD-K-Wnqg
271,b-COfzp0tze_F8N13zn40zzg,HAS_ASPECT,Food
272,u-RyoTi4p5nfvWhxGjrWmCkQ,WRITE_REVIEW,r-iV5dhRp-YXkqXjEKnXic9g
273,Good,MENU_ATTR_FOR,b-gXLiBVCHIqoPEw2CaP3QmQ
274,u-_5e8UDi5s5I9AS9DVB5JgQ,VISIT,b-7vgWonwfqRt9pxR1c00Ulw
275,Amazing,MENU_ATTR_FOR,b-DeI4KqEeWy0cTdh7Wy5_RA
276,u-iZtcrHFQ0AiWLZjhsr4Z-w,VISIT,b-yy_FhzQCeLreV21OBccPAg
277,u-7A7FOLZZKL0iokQVOAEbgA,ORDER,Mantra_Masala
278,Stale,MENU_ATTR_FOR,b-MgsOZpYSntKSCzNROiWgYQ
279,Food,IS,Amazing
280,Staff,IS,Great
281,u-ZzYg2hA4SdhrBWyVs-yPCw,WRITE_REVIEW,r-5juSQVWRe8DUr0QO7pVR0w
282,Food,IS,Good
283,Tasty,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
284,b-CvOxwAhmwwy3sQRKYVAjGg,HAS_REVIEW,r-JIcR9ifffqVZJ1ObNuRFMg
285,u-aBwuFN_u8mfzSDQ6oDHwpA,RATE,b-dg4EMyM1feTEWfLPSbunrg
286,u-GaJHjbnfOsoxR61XbXDNBw,RATE,b-0cf-w9PK5gLkBkitL3bdqw
287,Lamb_Saag,IS,Excellent
288,Fair,ASPECT_ATTR_FOR,b-xYpAg60oZVbOtSYgrOKBgQ
289,u-9NXhh39zgPuz_8GEt3i3UQ,VISIT,b-BoiAZQB9AHRvazM055GFOw
