rest_id,menus,aspects
b-35KvoWbA3kEsdckaWqG3OA,tikka masala|Shrimp Chettinad|plain|Goat Gong|Goat Pepper Fry|gulab jamun|veg korma|goat|Samosa|biryani|paneer|chai|chili paneer|cauliflower korma|Chicken Tikka Masala|chutney|bread|Chicken masala|Goat|chicken vindaloo|butter naan|Chicken Spinach Dish|chicken|goat vindaloo|Chicken Tikka|Chana Masala|Curry|rabdi|mango lassi|karahi paneer|Saag paneer|lamb curry|naan|Garlic naan|Chicken Biryani|dinner|shrimp|Rabdi|Gobi Manchurian|Shrimp Tikka Masala|Rice|rice|Mango Mastani|spinach dal|buttery naan|crispy|pakora|masala chai,Staff|Service|Food|Menu|Decor|Taste|Parking|Food_Quality
b-XvuUYiJYAAiNC4AmdbBZ8g,butter chicken|Naan|meat chunks|Samosa|goat|vegetable|sauce|bread|curry|Biryani|butter naan|Tandoori Grill|Beef Vindaloo|salad|tomatoe soup|Pakora|Meat Samosa|naan|Palak paneer|vegetables|samosa|cauliflower|rice|lamb|Beef Samosa,Staff|Service|Food|Menu|Price|Delivery
b-qMw7mFHAjgG7qN82aXmeZg,Kebab|Butter chicken|chicken jalfrezi|beef|Naan|Biryani|Chicken Kebab|Chicken Dish|biryani|chicken|naan|Chicken Bones|palak paneer,Service|Food|Menu|Take_Out|Price
b-0cf-w9PK5gLkBkitL3bdqw,tikka masala|Naan|tea|meatballs|tandoori chicken|lamb biryani|sauce|bread|Tikka masala|chicken vindaloo|chicken|beer|mango lasi|Mango Lassi Drink|Chai|Tofu Matar Curry|korma|chicken korma|lassis|naan|dinner|aloo gobhi|chicken tiki masala|rice|curry dish|Rice|tandori chicken|Saag Paneer|chicken tikka masala|palak paneer,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Decor
b-Dd1w7xR7Xs3bthwusgy33Q,Pao Bhaji|Vada pav|aloo bonda|chai|Vada Pav|Paav Bhaji|bread|samosa chaat|curry|Dahi Puri|Mango Lassi|Combo Thali|lassi|eggplant|snack|bhaji|Pavbhaji|chickpea|chickpea curry|soup|dal|Chole Bhatura|dessert|chat|chaats|potato curry|roti,Staff|Service|Food|Menu|Taste|Price
b-kfwpXBsMQLqhUvscWB6b9g,Naan|tea|donuts|Tandoori Chicken|mango lassi|paneer|naan,Service|Customer_Service|Food|Menu|Price
b-5VOqWjRXUPc7b1A_NSI9mQ,dinner|garlic chicken|sauce|Chicken Pakora|Chicken|Paneer Chilli|rice|chicken|chili chicken|chilli chicken|paneer|noodles|Chicken Platter|Hakka noodles,Service|Food|Menu|Decor|Price
b-hubbaEcYPYEZu5Ziz6i0lw,tikka masala|Aloo Paratha|Tandoori Fish|yogurt sauce|Vindaloo|Aloo Tikki|lamb mantra|Mantra Masala|eggplant dish|Chick Tikka Masala|chicken biryani|tikka chicken|dewane handi|chicken bazari|Malai Kofta|Chicken Tikka Masala|Chicken Korma|Mantra Mixed Grill|Chicken Sag|curry|mango lassie|Mixed Grill|pita bread|chicken tandoori|chicken|Spinach Naan|Barah Kebab|spinach|tandoori|Tandoori Char|tamarind sauce|chicken pakora|soup|naan|dinner|Ras Malai|vegetables|Garlic Naan|mix grill|rice|Veggie Basil Curry|chicken tandori|Chicken Tikka Malasa|malai kofta|mango pickle|chicken tikka masala,Staff|Service|Customer_Service|Food|Menu|Decor|Taste|Price
b-MgsOZpYSntKSCzNROiWgYQ,butter chicken|pappadams|lentils|mango drink|mango dacquiris|Tandori chicken|tea|masala coffee|tandoori chicken|Dessert|Vegetable Pakora|goat|Samosa|paneer|rice pudding|mango|Butter chicken|sauce|bread|Rasmalai|veg curry|chicken vindaloo|butter naan|chicken|Aloo Chaat|Curry Dish|tandoori|Chana Masala|Pakora|tomato soup|paneer dish|chicken madras|Daal Makhaani|Saag paneer|crispy|beef curry|Mango lassi|Sauce|naan|dinner|Tandoori chicken|dessert|Veg Korma|garlic naan|tandoor|tomato bisque|tomato sauce|chicken korma|chicken tikka masala|Goat Curry,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Food_Quality
b-De8Z9rLZOmf-icp3gDxCZA,Soup|Chettinad Cusine|butter chicken|Dosa|paan|tomato chutney|biryani|Payasam|dosa|Biryani|crab curry|Mango|paper dosa|mutton|beer|chicken chettinad|vegetarian Biryani|mutton dish|mango lassi|onion dosa|naan|egg|Tandoori chicken|idli|cauliflower|potato curry|Kothu Parotta|pickle|Masala Dosa,Staff|Service|Food|Menu|Decor|Taste|Price
b-0zTLMQOZhiCp9GFtegiFsw,Naan|tea|chickpea dish|mint chutney|goat|coffee|Mango Smoothie|Biryani|chicken|shai paneer|beer|sweets|Mango Lasse|mango lassis|tamarind sauce|eggplant|mango lassi|naan|dinner|chat|samosa|rice|Rice|palak paneer,Staff|Service|Customer_Service|Food|Ambience|Menu|Taste|Price|Food_Quality
b-SxuD7iY8QO88PNbSdNmNKg,butter chicken|Dosa|Paneer burji dosa|butter masala|vada|samosa chat|basmati|coconut drink|biryani|madras coffee|chowpaty|coconut chutney|masala tea|chutney|sauce|bread|dahi vada|mirchi bajji|Chaat dosa|spinach|Chicken Ghee|Tea|Vegetable Biryani|Paneer pieces|garlic naan|dinner|masala dosa|papdi chat|mango icecream|chole batura,Staff|Service|Music|Food|Menu|Decor|Price
b-DJuQgsoj-qmU0i5iTAa4aA,tikka masala|Dosa|Red Curry Chicken|sauce|Kingfish beer|curry|fish curry|chicken|Lamb Saag|vegetable samosa|Palak Paneer|veg manchurian|donut balls|birbali shorba|mango lassi|soup|basmati rice|Sauce|naan|Dinner|garlic naan|Tandoori chicken|dessert|dinner|Chicken Makhani|chicken tiki masala|Garlic Naan|rice|Alu Gobi|lamb|chicken tikka masala|Cake,Staff|Service|Music|Food|Menu|Decor|Taste
b-vCx6uieEF0W0mKFK4sT3Yg,beef vindaloo|butter chicken|naan bread|mushroom makini|meat tapas|cheese|chettinad|biryani|Chicken Vindaloo|paneer|mango chutney|pappadums|seafood|chicken dish|chai tea|chicken|beer|lamb vindaloo|salad|wine|tamarind sauce|bhaji|coconut|Pakora|chilli chicken|tapas|naan|Dinner|masala sauce|dinner|calamari|shrimp|beef|papadom|combo platter|rice|appetizer platter|lamb|chicken tikka masala|Sauced Chicken Dish,Staff|Service|Music|Food|Menu|Taste|Price|Wifi
b-UAXz2KC1aXpxzV-MLdXbmQ,butter chicken|Pastry|Garlic NAAN|Pani Poori|Aloo Gobi|Butter Chicken|Baigan Bhartha|onion bhajis|bread|dum biryani|Biryani|madras|Lamb Vindaloo|Pashwari Naan|lamb vindaloo|BUTTER CHICKEN|Dum Parda Biryani|breads|crispy|saag mushroom|naan|Madras|masala sauce|dinner|rice|CURRY|Fish Biryani|prawn puri,Staff|Service|Food|Taste|Price|Delivery
b-Pzs43Fkub-6A9hA1zqpF_w,tikka masala|Lamb Josh|Naan|cheese pakora|tandoori chicken|Tikka Masala|chicken makhani|vegetable curry|Chicken Tikka Masala|dosa|sauce|chutney|Chicken|curry|Mixed Grill|fish|wine|aloo chole|Paneer|sambar|coconut|Pakora|naan|dinner|Tandoori chicken|Gobi Manchurian|rice|TEA|lamb,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Delivery
b-bO_JX-lDo5D5JGZhK5Ly3A,Dosa|Dessert|chaat|paneer|masala tea|chutney|dosa|okra curry|samosa chaat|Udupi Masala Dosa|vegetable fritters|sabji|Karahi Bhindi Masala|uthappam|rasam|Gobi|Medu vada|okra|Sauce|kheer|naan|dinner|Chutney|curry vegetables|Chili Bhaji|vegetables|pakoda|Saag Paneer|gobi manchurian|uttapam|Vadas|Masala Dosa,Staff|Service|Food|Ambience|Menu|Price
b-gw0ZS5b5RP3Lzr1BoCbALg,tikka masala|Naan|Naan bread|vegetable pakora|lamb saag|lamb meat|Karahi Paneer|mint chutney|somosa|Rice Pudding|flatbread|Batura|Indian Spiced Iced Tea|Tikka Masala|Samosa|onion pakora|paneer|Aloo Gobi|chai|rice pudding|parathas|Tandoori Roti|mango chutney|Chicken Tikka Masala|lentil soup|sauce|Daal|bread|chana masala|chicken vindaloo|Lamb Dhansak|chicken|Pashwari Naan|papadum|Mango Lassi|aloo|spinach|Chana Masala|salad|zucchini pakora|eggplant|Chicken soup|Bread|Saag paneer|basmati rice|Shahi paneer|lamb curry|raita|kheer|naan|Dinner|garlic naan|Chutney|dessert|dinner|papad|Lamb Korma|shrimp|jeera rice|tomato sauce|rice|vindaloo|Paneer Pakora|cauliflower|Paratha|tandori chicken|chicken soup|Non-Veg Tandoori Appetizer|crispy,Staff|Service|Customer_Service|Food|Menu|Decor|Price|Parking
b-idrN6XWKErG6nKDsEMNbOQ,butter chicken|Butter chicken|tandoori|Naan|dal makhni|bread|vegetables|egg plant|tandoori chicken|Paneer|Dessert|fish|Samosa|chicken|pina colada|naan|masala chai|fish pakora,Food|Staff|Service|Price
b-qcqDjeirxvdgW5kQVkEwSA,pad thai|Pad Thai|tea|cheese|coffee|nachos|lemon wedge|pad Thai|chicken|beer|FRIED RICE|fries|shrimp rolls|toast|pancakes|soup|burger|dinner|shrimp|rice|Amber|chicken nuggets|Noodles|beers,Service|Music|Food|Menu|Price|Food_Quality
b-ICUCAzUZFiWkYs7iCtNCQg,tikka masala|chettinad chicken|Tomato soup|Naan|Samosa|paneer|saag paneer|Chicken Tikka Masala|chocolate cake|mango chutney|Chocolate cake|sauce|seafood|curry|Tikka masala|chicken|lamb vindaloo|halwa|paneer Tikka masala|spinach|Dhal makhani|Murgh Tikka Masala|salad|wine|basmati rice|chili cauliflower|naan|dinner|dhal makhani|Lamb|Tofu-Vegetable Kesari|cocktails|chicken tikka|Gunpowder prawns|lamb|scallops,Staff|Service|Food|Ambience|Menu|Taste|Price|Parking
b-xSuR0FK8cHzBLXowCV3Pyw,sweets|Malai Kofta|cholas|Chaat|kachoris|chaats|rice|pickles|chana bhatura|pickle|Chaat Pappri|chaat|Samosa|Sauce|naan,Service|Food|Ambience|Take_Out|Decor|Price|Taste
b-8PZGCtgG5MZKvz9i3B9gCA,butter chicken|bbq chicken|chicken curry|chicken wrap|Samosa|Butter Chicken|parathas|Bbq Chicken Poutine|sauce|bread|wrap bread|curry|paratha bread|chicken|carrot pickle|coconut milk soup|spinach|fries|paratha wrap|pickles|paratha|soup|Sauce|noodles|Chicken Wrap|potato chickpea wrap|rice|potato curry|Noodles Soup,Staff|Service|Food|Menu|Taste|Price
b-BxkVct02QHybp54ATZgkUQ,beef vindaloo|tikka masala|mango mousse|Naan|daal|chicken tikkas|chaat|chicken biryani|biryani|rogan josh lamb|paneer|vegetable biryani|chai|vegetable curry|Samosa|wings|Chicken Tikka Masala|Mint chutney|vindaloo chicken|chutney|sauce|rogan josh|bread|pappadums|chicken pieces|Lamb chops|Saag Paneer|Tikka masala|fish|tandoori wings|chicken tikka masala|mango lassis|Onion Bhajis|lassi|salad|Pakora|mango lassi|makhani|okra dish|cashew salad|soup|Lamb korma|konkani|lamb korma|raita|naan|dahi bhalla|seesh kebab|dinner|dessert|shrimp|Gulab Jamon|vegetables|Tandoori|Lamb Rogan Josh|rice|tomato sauce|tomato curry sauce|chicken saag|Gulab Jamun|Paneer makhani|Palau Rice|crispy|BBQ,Staff|Service|Food|Ambience|Menu|Taste|Price|Decor|Parking
b-sUGlSS0AF2xPYFEjvKJbSA,tikka masala|mango smoothie|Naan|plain|lamb tandoori|tikka|Roghan Josh|Samosa|Tandoori Cooked|chicken makhani|paneer|chai|vegetable curry|kofta|Grilled Fish|sauce|ghulab jaman|bread|Chicken Shahikorma|margarita|Lamb Curry|curry|shahi korma|salmon masala|chicken|beer|Palak Paneer|mango margarita|crispy|naan|dinner|chicken tikka|chicken tiki masala|goat curry|rice|shahi paneer|chicken tikka masala|pakora,Staff|Service|Food|Ambience|Menu|Taste|Price|Delivery
b-XNL6PRXaQxyDO2yeBdy11w,Soup|seekh kebab|butter chicken|saag|bread|daal soup|cheese|tandoor|rice|Samosa|butter paneer|chicken,Service|Food|Decor|Price|Delivery
b-h3_Jnt_y0VPaC5x5kCWY0w,butter chicken|shisha|lassi|halwa puri|Shisha|Biryani,Food|Service|Customer_Service
b-jb0-JZMt-6Khsh-VwsDtLQ,naan bread|tea|Dabeli|paan|chicken biryani|paneer|Kutchi Dabeli|gobi|Paneer Curry|bread|Channa Batura|samosa chaat|curry|ice cream|Paav bhaji|saffron|dabeli|Roti|mango lassi|chick peas|Chickien Biranyi|naan|coconut barphi|dessert|vegetables|rice|chicken tikka masala|chole batura,Staff|Service|Food|Menu|Taste|Price
b-Ksk5cLav4OtbUtpRGp5b4g,pani puri|dinner|dessert|Butter chicken|Vegetables Jalfrezi|vegetables|Dal|Rice|goat|navratan korma|naan|Aloo Gobhi,Service|Food|Ambience|Take_Out|Price
b-gA4bnK91phT5FTzG4ki3Dw,butter chicken|Naan|Naan bread|Lamb Kebab|murg tikka|plain|tandoori chicken|Cocktails|Samosa|saag|Hal Beer|vegetable|bread|Kebab Meat Platter|lamb Rogan Josh|chicken|papadum|beer|lamb vindaloo|wine|spinach bread|eggplant|amber beer|tomato soup|paneer makhani|Daal Makhaani|curry sauce|okra|somosas|Sauce|lamb curry|naan|lentil dish|dinner|dessert|Lamb|Vegetable Skewer|chicken tikka|Garlic Naan|rice|roti|Chana masala|Channa masala|keema naan,Staff|Service|Food|Menu|Taste|Price|Decor
b-DKqhCd3Vwl3CEo8vUHhLYg,beef vindaloo|tikka masala|butter chicken|channa masala|Beef Curry|Naan|tandoori platter|aloo Gobi|Lamb Tikka|Vindaloo|Mattar paneer|chicken Tikka|tikka|Samosa|Lamb biryani|paneer|biryani|Aloo Gobi|Butter Chicken|lamb biryani|Malai Kofta|Bhindi|Butter chicken|masala tea|sauce|bread|Chicken masala|chicken pieces|curry|butter sauce|chicken|beer|lamb vindaloo|bhel puri|Bombay Chutney|lassi|salad|Mattar Paneer|lamb pieces|Tandoori Chicken|Karahi Chicken|matar paneer|Pakora|lamb korma|naan|Garlic naan|Chicken Biryani|dinner|Chutney|dessert|garlic naan|shrimp|Naan Bread|chicken tikka|vegetables|tandoor|samosa|rice|lamb vindalo|chili chicken|Aloo|chicken tikka masala|Beef Samosa|palak paneer,Staff|Service|Food|Decor|Price
b-geMa0_CtMOctkUhf_JXK9Q,butter chicken|spinach|tandoori|naan bread|curry|palao rice|Saag paneer|chicken tandoori|Palak Panner|naan,Food|Service|Taste
b-xA6L2w_TlbxHubb1xeBE8w,tikka masala|vegetable pakora|Chicken Tikki Masala|tandoori chicken|Chicken curries|poori|Samosa|biryani|paneer|saag paneer|gobi Manchurian|Butter Chicken|Chicken Tikka Masala|chocolate cake|dosa|vada sambhar|creamy sauce|butter naan|Mango Lassi|lamb vindaloo|Breads|Vodka|chicken chettinadu|navaratan korma|chili sauce|tofu|szechuan chicken|Idli|naan|Muttar Panir|dinner|Chutney|veg biryani|chicken tikka|tomato sauce|mango kulfi|roti|gobi manchurian|Cake|palak paneer,Staff|Service|Food|Menu|Taste|Price|Parking
b-ZJ0gQp0fcnIDiZv0m9--Gg,tikka masala|Naan|mint chutney|tandoori chicken|chicken curry|chicken biryani|Samosa|goat|paneer|tika masala|sauce|chutney|bread|Dal|curry|chicken|Panner tikka|Curry Dish|Peshawari Naan|tamarind sauce|kheer|naan|dinner|garlic naan|dessert|chicken tiki masala|samosa|goat curry|rice|Garlic Naan|chicken tikka masala,Staff|Service|Food|Taste|Price|Delivery
b-gXLiBVCHIqoPEw2CaP3QmQ,butter chicken|Dosa|Chicken tikka masala|Pakwan biryani|Samosa|biryani|Mutton Biryani|chili paneer|Chicken Tikka Masala|dosa|Biryani|kata gravy|roti pachadi|Chicken Kebab|chana masala|chicken|Curry Dish|Haleem|Chicken Dish|lamb korma|naan|Chicken Biryani|garlic naan|dinner|Chutney|Lamb Biryani|mutton paya|rice|sambhar|Goat Biryani|pakora,Staff|Service|Food|Menu|Taste|Price|Food_Quality
b-tIXpNWE6R1yadAThbSefHw,Chili chicken|cashew chicken|vegetables|rice|Fried Rice|Pakora|Beef chilli|crispy|rice noodles|chicken|beer,Service|Food|Menu|Taste|Price
b-f6T2YaTfGoSyQV-l4jzrjw,Naan|Batura|paneer|Margarita|saag|vegetable|kofta|Mushroom masala|Malai kofta|sweets|chole bhature|Chaats|Breads|Chana|naan|Naan Bread|rice|Palak|bhatura,Staff|Service|Customer_Service|Food|Decor|Price|Taste|Parking
