Type1,Entity1,Relationship,Type2,Entity2
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,butter_chicken
Node,butter_chicken,were,Node,good
Node,u-ONRLfyEi7-exqKlfWiRC4A,promised,Node,fruit
Node,u-ONRLfyEi7-exqKlfWiRC4A,promised_as,Node,one
Node,Food,is,Node,good
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,chicken_biryani
Node,chicken_biryani,is,Node,awful
Node,chicken_biryani,is,Node,good
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,chicken_tikka
Node,chicken_tikka,is,Node,decent
Node,u-PdBWNah2YanRXEZovFPwIw,was,Node,happy
Node,u-uJ8vU_PYpcj9V8_wGfGyhg,had,Node,food
Node,u-uJ8vU_PYpcj9V8_wGfGyhg,know,Node,enough
Node,Bombay Buffet,bring,Node,Naan_Bread
Node,u-uJ8vU_PYpcj9V8_wGfGyhg,seen,Node,T.V
Node,u-uJ8vU_PYpcj9V8_wGfGyhg,tried_on,Node,menu
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,butter_chicken
Node,butter_chicken,is,Node,rich
Node,service,is,Node,great
Node,music,is,Node,loud
Node,Food,is,Node,horrible
Node,food_quality,is,Node,poor
Node,b-CvOxwAhmwwy3sQRKYVAjGg,serves,Node,food
Node,u-_1SKSmLqpHBqWh09DxQMfw,liked,Node,Paneer_Makhani
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,Paneer_Makhani
Node,Paneer_Makhani,was,Node,decent
Node,u-T7cNF1q6PSV5mOs4r2-rrA,are,Node,glad
Node,food,is,Node,hot
Node,Food,is,Node,good
Node,food,is,Node,garbage
Node,food,is,Node,bland
Node,u-q5OhW8ne_hteHo6xLHNUPg,went_for,Node,dinner
Node,u-q5OhW8ne_hteHo6xLHNUPg,has,Node,food
Node,u-q5OhW8ne_hteHo6xLHNUPg,was,Node,skeptical
Node,food,is,Node,tasty
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,Butter_chicken
Node,Butter_chicken,was,Node,good
Node,u-q5OhW8ne_hteHo6xLHNUPg,was,Node,afraid
Node,u-QIC7YDWVIciSHX9FQHa-3g,wanted,Node,seconds
Node,u-QIC7YDWVIciSHX9FQHa-3g,got,Node,naan
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,dessert
Node,dessert,limited_to,Node,ice_cream
Node,Mandarin,has,Node,pricier
Node,food,was,Node,plain
Node,food,is,Node,cold
Node,u-6ymZbkJ7vt8eGHA7bHlONg,picked_at,Node,butter_chicken
Node,u-6ymZbkJ7vt8eGHA7bHlONg,think_about,Node,food
Node,staff,is,Node,friendly
Node,food,is,Node,warm
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,butter_chicken
Node,butter_chicken,be,Node,hot
Node,butter_chicken,was,Node,hot
Node,u-6ymZbkJ7vt8eGHA7bHlONg,was,Node,smart
Node,b-CvOxwAhmwwy3sQRKYVAjGg,has_menu,Node,naan
Node,naan,was,Node,fresh
Node,food,is,Node,good
Node,b-ZDx7kt4aOPTlmYTqXDrTGA,is,Node,good
Node,food,is,Node,excellent
Node,Parking,is,Node,plentiful
Node,b-ZDx7kt4aOPTlmYTqXDrTGA,is,Node,clean
Node,u-3GjCf5k5X219pDy5rYgxvQ,gone_to,Node,b-ZDx7kt4aOPTlmYTqXDrTGA
Node,b-ZDx7kt4aOPTlmYTqXDrTGA,has_menu,Node,Masala_Dosa
Node,Masala_Dosa,is,Node,delicious
Node,u-U7tUoXPJhbf2k9fwrAhn5w,discovered,Node,b-ZDx7kt4aOPTlmYTqXDrTGA
Node,b-ZDx7kt4aOPTlmYTqXDrTGA,has_menu,Node,Samosa
Node,Samosa,are,Node,greasy
Node,one,was,Node,great
Node,Food,is,Node,good
Node,b-ZDx7kt4aOPTlmYTqXDrTGA,has_menu,Node,idllis
Node,idllis,are,Node,fresh
Node,idllis,are,Node,hard
Node,u-iWKXKikPiPGr5bzeFlxA5w,asked_for,Node,Samosa
Node,u-fnFU_41zyKA10bt3dgBFMw,tried_on,Node,Saturday
Node,u-fnFU_41zyKA10bt3dgBFMw,has,Node,concern
Node,u-xwIeGfv2NAhq9Kofn5qQmg,eat,Node,paneer
Node,food,is,Node,terrible
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has_menu,Node,saag_paneer
Node,saag_paneer,was,Node,gross
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has_menu,Node,rice
Node,rice,were,Node,fine
Node,Service,is,Node,pleasant
Node,u-QGOtNZfasBwWCuawKjypYA,liked,Node,chana_masala
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has_menu,Node,Dosa
Node,Dosa,were,Node,good
Node,u-NAOx8KnWeaCcbYN0VE-HSA,eating,Node,food
Node,u-8OZ0XguTupUeWpeAZ7u7MQ,be,Node,wrong
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has_menu,Node,masala_dosa
Node,masala_dosa,was,Node,great
Node,u-YscjZezxLirEjK_bK82uAw,was,Node,impressed
Node,service,is,Node,great
Node,u-qvPTw-ArHYI1n1n0cw3S7A,shared,Node,cheese_bread
Node,u-qvPTw-ArHYI1n1n0cw3S7A,has,Node,favorite
Node,service,is,Node,slow
Node,u-3c3aNHGUPDwFZhxCe-p8Ag,going_to,Node,Sky Asian
Node,food,is,Node,OUTSTANDING
Node,u-CgG6X3k3DGSL2RR3ekzfsA,has,Node,favorite
Node,u-FyikYazQbNoOumDooOQyyA,love,Node,chicken_tikka_masala
Node,b-p-J9iJgeHmPGk2jFAM0WnA,offers,Node,Dosa Buffet
Node,u-rSQITvDnm1smzJl-3LJz4Q,acquired,Node,taste
Node,u-rSQITvDnm1smzJl-3LJz4Q,found_about,Node,b-p-J9iJgeHmPGk2jFAM0WnA
Node,u-rSQITvDnm1smzJl-3LJz4Q,came_for,Node,Dosa Buffet
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has,Node,Dosa Buffet
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has_menu,Node,Dosa
Node,Dosa,are,Node,delicious
Node,b-p-J9iJgeHmPGk2jFAM0WnA,is,Node,great
Node,b-p-J9iJgeHmPGk2jFAM0WnA,has_menu,Node,Dosa
Node,Dosa,has,Node,dinner
Node,u-E43QxgV87Ij6KxMCHcijKw,come_at,Node,b-p-J9iJgeHmPGk2jFAM0WnA
Node,u-F-nLfSJ4qtdZRwNW993lSw,recommended,Node,Roti
Node,Dine,is,Node,good
Node,Amy,was,Node,polite
Node,service,is,Node,fast
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,Roti
Node,Roti,cook,Node,food
Node,u-MNg6tOsLAKgxsdhLNK6iGg,recommend_as,Node,food
Node,Lena,has,Node,Roti
Node,staff,is,Node,friendly
Node,Lena,got,Node,roti
Node,Lena,has,Node,roti
Node,food,is,Node,fast
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,goat
Node,goat,was,Node,hot
Node,u-uCdmtWpEku3xLa-ScQabKA,ordered,Node,doubles
Node,u-uCdmtWpEku3xLa-ScQabKA,visited_on,Node,Friday
Node,u-uCdmtWpEku3xLa-ScQabKA,has,Node,doubles
Node,food,is,Node,horrible
Node,food,is,Node,hot
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,Roti
Node,Roti,has,Node,goat_roti
Node,food,is,Node,bad
Node,Service,is,Node,terrible
Node,u-3B7t3At5fFWaeLVaHiVk4A,had_in,Node,Lena
Node,u-ufRKH6kV_n6h5lsmuOr5ig,recommend,Node,Roti
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,doubles
Node,doubles,are,Node,great
Node,one,is,Node,enough
Node,roti special,got,Node,lamb
Node,one,said_about,Node,Roti
Node,u-tIbL7mV0a0aOSg8ks4asnw,tried,Node,Roti
Node,u-tIbL7mV0a0aOSg8ks4asnw,wanted,Node,pepper_sauce
Node,u-tIbL7mV0a0aOSg8ks4asnw,craving,Node,doubles
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,Roti
Node,Roti,has,Node,food
Node,Roti,has,Node,doubles
Node,food,is,Node,delicious
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,doubles
Node,doubles,were,Node,good
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,chutney
Node,chutney,was,Node,sweet
Node,Roti,was,Node,good
Node,Lena,has,Node,Roti
Node,u-7qSOf2kaMWEhS544oIFR4w,say,Node,enough
Node,u-7qSOf2kaMWEhS544oIFR4w,had,Node,Jamaica_rotis
Node,b-RE4qn28MEiDrM1PbdYVgxA,has_menu,Node,Roti
Node,Roti,has,Node,doubles
Node,u-rLafRDi22mMbZlBTDbZlBA,try,Node,one
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Chili_chicken
Node,Chili_chicken,is,Node,good
Node,food,is,Node,good
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Noodles
Node,Noodles,is,Node,good
Node,Service,is,Node,fast
Node,service,is,Node,excellent
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Tangra_Villa
Node,Tangra_Villa,has,Node,pakora
Node,Tangra_Villa,has,Node,chilli_chicken
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,pakora
Node,pakora,are,Node,awesome
Node,u-a2VgXrdJUflY9HOTPb62XA,tried,Node,Chili_Chicken
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Chili_Chicken
Node,Chili_Chicken,were,Node,delicious
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,rice
Node,rice,being,Node,hard
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Tangra_Villa
Node,Tangra_Villa,has,Node,chili_dishes
Node,Tangra_Villa,is,Node,flavourful
Node,u-kQF9NmkkxmUTo3AUTfAvlA,love,Node,soup
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Tangra_Villa
Node,Tangra_Villa,is,Node,outstanding
Node,Price,is,Node,right
Node,u-idKkqBLI8MpwgTHm71t0PQ,tasted_in,Node,Canada
Node,Food,is,Node,fresh
Node,u-3p66LPQoaDIrA7fMoq9t8A,ordered,Node,Schezwan_Chicken
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,chicken_pakora
Node,chicken_pakora,fried,Node,Fried_Chicken
Node,u-DbvIS10e5BRB7AFT5DAW4Q,think_about,Node,Tangra_Villa
Node,u-Vd6N3Dc9rtho-hOspaKQSg,ordered,Node,chili_chicken
Node,u-Vd6N3Dc9rtho-hOspaKQSg,ordered_with,Node,chow_mein
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,veggie_chow_mein
Node,veggie_chow_mein,tasted_like,Node,mess
Node,u-iDBDdG29pE0963TYM0q-qg,like,Node,soup
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Tangra_Villa
Node,Tangra_Villa,is,Node,weird
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Manchurian_Chicken
Node,Manchurian_Chicken,were,Node,tasty
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Tangra_Villa
Node,Tangra_Villa,are,Node,friendly
Node,u-fr5efb7JrVpFBF9q303NVQ,get,Node,Chicken_Pakora
Node,Ali m,is,Node,great
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,chili_chicken
Node,chili_chicken,are,Node,good
Node,staff,is,Node,friendly
Node,u-iBofWBmQqEnXJAzQVuhS7Q,tried,Node,one
Node,b-_PKXarw3GjlbwbXhjdpUMA,has_menu,Node,Tangra_Villa
Node,Tangra_Villa,has,Node,rice
Node,Staff,is,Node,friendly
Node,b-scM6rLQqoz5dEIgwz_JFsg,was,Node,clean
Node,u-SdXxLZQQnQNUEL1rGMOQ6w,got,Node,mango_lassi
Node,u-SdXxLZQQnQNUEL1rGMOQ6w,left,Node,b-scM6rLQqoz5dEIgwz_JFsg
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,mango
Node,mango,taste_like,Node,mango
Node,u-SdXxLZQQnQNUEL1rGMOQ6w,left_without,Node,taste
Node,u-SdXxLZQQnQNUEL1rGMOQ6w,has,Node,mango_lassi
Node,b-scM6rLQqoz5dEIgwz_JFsg,was,Node,inadequate
Node,b-scM6rLQqoz5dEIgwz_JFsg,be,Node,great
Node,u-09QcQYf_t1NEq_AkjJuABA,gotten,Node,take_out
Node,u-09QcQYf_t1NEq_AkjJuABA,was,Node,satisfied
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Chicken_Tikka_Masala
Node,Chicken_Tikka_Masala,is,Node,good
Node,b-scM6rLQqoz5dEIgwz_JFsg,is,Node,solid
Node,argh Melissa,pick,Node,one
Node,u-BM6KnzoljE9t5qBrQjfdmQ,enjoy,Node,food
Node,u-BM6KnzoljE9t5qBrQjfdmQ,finished,Node,one
Node,Service,is,Node,good
Node,u-CapjGj9mWWL6P_eQChu-5g,enjoyed,Node,goat_curry
Node,u-CapjGj9mWWL6P_eQChu-5g,give,Node,blessing
Node,u-CapjGj9mWWL6P_eQChu-5g,has,Node,blessing
Node,food,is,Node,good
Node,u-cfp7H2hRFCPsTdvMEkrbrQ,ordered,Node,coconut_naan
Node,food,is,Node,delicious
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,coconut_naan
Node,coconut_naan,was,Node,good
Node,staff,is,Node,attentive
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,rice
Node,u-D34XpkChl5RnFlhFZvZFbg,ordered,Node,hot
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Tikka_Masala
Node,b-scM6rLQqoz5dEIgwz_JFsg,is,Node,great
Node,food,is,Node,fresh
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,naan
Node,naan,were,Node,soft
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Naan
Node,Naan,were,Node,perfect
Node,Service,is,Node,good
Node,b-scM6rLQqoz5dEIgwz_JFsg,was,Node,clean
Node,food,try,Node,Vindaloo
Node,u-BdQOW8Nm6YNk7bk1wvr2Cg,has,Node,taste
Node,food,is,Node,right
Node,price,is,Node,reasonable
Node,staff,is,Node,friendly
Node,service,is,Node,slow
Node,Haveli Restaurant Katie,tried,Node,b-scM6rLQqoz5dEIgwz_JFsg
Node,u-OnfwPAs_mVdSAEigKMFHQw,suggest,Node,b-scM6rLQqoz5dEIgwz_JFsg
Node,u-OnfwPAs_mVdSAEigKMFHQw,has,Node,tikka_masala
Node,food,is,Node,delicious
Node,staff,is,Node,attentive
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Tikka_masala
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Dal_tadka
Node,Dal_tadka,is,Node,great
Node,u-ORBwoRxcyxFtjNU5zuex_Q,asked_for,Node,recommendation
Node,b-scM6rLQqoz5dEIgwz_JFsg,was,Node,wonderful
Node,service,is,Node,wonderful
Node,u-bf2Twxnea_9NhIs-2lvK8g,tried,Node,rice_pudding
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,tandoori_chicken
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,rice_pudding
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Tikki_masala
Node,Tikki_masala,was,Node,good
Node,tandoori_chicken,was,Node,nice
Node,staff,is,Node,friendly
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,chai
Node,chai,is,Node,tasty
Node,Buffet,was,Node,warm
Node,Staff,is,Node,sweet
Node,Food,is,Node,excellent
Node,u-t0e6NZ9ssaSpJQnsD4GDmw,recommend,Node,b-scM6rLQqoz5dEIgwz_JFsg
Node,u-t0e6NZ9ssaSpJQnsD4GDmw,am,Node,glad
Node,staff,is,Node,friendly
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,shahi_paneer
Node,shahi_paneer,is,Node,good
Node,one,was,Node,good
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,naan
Node,naan,was,Node,soft
Node,staff,is,Node,rude
Node,service,is,Node,prompt
Node,food,is,Node,wonderful
Node,u-SKgQIHJVj7JU60kBKo8OZw,enjoy,Node,masala_curries
Node,u-SKgQIHJVj7JU60kBKo8OZw,take_from,Node,b-scM6rLQqoz5dEIgwz_JFsg
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,masala_curries
Node,u-pI6jn3YCp2jSa8dH0FxZWg,am,Node,pleased
Node,b-scM6rLQqoz5dEIgwz_JFsg,has,Node,food
Node,food,is,Node,amazing
Node,staff,is,Node,friendly
Node,u-A_DdEIFJv5W-owkam1PSvw,had_in,Node,US
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,lamb_shahi_korma
Node,lamb_shahi_korma,mixes,Node,shahi_korma
Node,u-brY1l1obnPNk-oyDcScyMw,get,Node,lassis
Node,b-scM6rLQqoz5dEIgwz_JFsg,has_menu,Node,Naan
Node,Naan,is,Node,good
Node,b-scM6rLQqoz5dEIgwz_JFsg,is,Node,fresh
Node,b-scM6rLQqoz5dEIgwz_JFsg,is,Node,successful
Node,food,is,Node,delicious
Node,u-iEy2zChmzGTdv9n0t_jEPw,was,Node,pleased
Node,service,is,Node,friendly
Node,Service,is,Node,slow
Node,Food,is,Node,decent
Node,u-yRy06dgAS4CZ1eyE1bQ5QQ,disassembled,Node,chicken_wrap
Node,u-yRy06dgAS4CZ1eyE1bQ5QQ,give,Node,Afghan_Cuisine
Node,food_quality,is,Node,consistent
Node,food,is,Node,better
Node,food,is,Node,good
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,Afghan_Cuisine
Node,Afghan_Cuisine,is,Node,good
Node,u-Xmf0hrZ1S4zBcQ7GmidJ2Q,tried,Node,Afghan_Cuisine
Node,u-Xmf0hrZ1S4zBcQ7GmidJ2Q,asked,Node,u-Xmf0hrZ1S4zBcQ7GmidJ2Q
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,rice
Node,rice,is,Node,good
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,sauce
Node,sauce,was,Node,hot
Node,food,is,Node,bad
Node,Staff,is,Node,friendly
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,kabab_karahi
Node,kabab_karahi,was,Node,good
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,Lamb_shank
Node,Lamb_shank,was,Node,good
Node,service,is,Node,slow
Node,u-2U9yYe623iFuWICTIgDMQw,go,Node,service
Node,u-2U9yYe623iFuWICTIgDMQw,has,Node,rice
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,salad
Node,salad,was,Node,cold
Node,u-gesK7Oep93G_ViOFNiRjxQ,ordered,Node,stew
Node,Decor,seemed,Node,nice
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,chicken_kebab_dinner
Node,chicken_kebab_dinner,come_from,Node,chicken
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,bread
Node,bread,was,Node,good
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,rice
Node,rice,was,Node,good
Node,service,is,Node,good
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,beef
Node,beef,tikkas,Node,rice
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,beef_karahi
Node,beef_karahi,was,Node,good
Node,u-1_cEjUy1_a2HUNp8_5oaGA,ordered,Node,tandoori_chicken
Node,u-cuB0D5lUemrEow1FOLv54Q,ordered,Node,beef_tika
Node,Food,is,Node,delicious
Node,u-fYUQbav_JlFe0U1WDxpA_w,ordered,Node,tandoori_chicken_dinner
Node,u-fYUQbav_JlFe0U1WDxpA_w,informed,Node,u-fYUQbav_JlFe0U1WDxpA_w
Node,u-fYUQbav_JlFe0U1WDxpA_w,told,Node,u-fYUQbav_JlFe0U1WDxpA_w
Node,u-fYUQbav_JlFe0U1WDxpA_w,had,Node,enough
Node,u-fYUQbav_JlFe0U1WDxpA_w,has,Node,food
Node,food,is,Node,good
Node,food,is,Node,cold
Node,parking,is,Node,available
Node,Cashier,is,Node,knowledgeable
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,tandoori
Node,tandoori,was,Node,good
Node,BAMBIYAN,has,Node,wraps
Node,WRAPS,were,Node,flimsy
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,beef
Node,beef,are,Node,delicious
Node,u-cuB0D5lUemrEow1FOLv54Q,ordered,Node,beef_tika
Node,Food,is,Node,delicious
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,Chicken_seekh_wrap
Node,Chicken_seekh_wrap,is,Node,delicious
Node,Parking,is,Node,available
Node,u-SVyv-07pWaPySmY10oVZBA,ordered,Node,Lamb_Shank
Node,food,is,Node,amazing
Node,u-4LPsIyUQxuQAFOZOUqHvRQ,ate,Node,chicken
Node,u-4LPsIyUQxuQAFOZOUqHvRQ,has,Node,chicken
Node,u-4LPsIyUQxuQAFOZOUqHvRQ,has,Node,rice
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,Afghan_Cuisine
Node,Afghan_Cuisine,is,Node,amazing
Node,food,is,Node,good
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,Meat_Kebab
Node,Meat_Kebab,are,Node,tasty
Node,taste,is,Node,authentic
Node,b-eRZuxjnaMviiVyvhejwTBQ,has_menu,Node,sauce
Node,sauce,is,Node,amazing
Node,food,is,Node,good
Node,u-YgYlEhHXIa1O5NAy6SNS_g,walked_to,Node,Soma Grill Soma Grill
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Soma_Grill
Node,Soma_Grill,was,Node,good
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Chicken_Madras
Node,Chicken_Madras,were,Node,great
Node,u-8okt1nl-g2RL3ylWoqj4tA,recommend,Node,food
Node,u-CT9bcSQrpVLzml-CPKvzVQ,had,Node,naan
Node,u-CT9bcSQrpVLzml-CPKvzVQ,had,Node,rice_pudding
Node,u-CT9bcSQrpVLzml-CPKvzVQ,pick,Node,pistachio_ice_cream
Node,u-CT9bcSQrpVLzml-CPKvzVQ,lived_over,Node,India
Node,u-CT9bcSQrpVLzml-CPKvzVQ,like_about,Node,Fish Cod Madras
Node,u-CT9bcSQrpVLzml-CPKvzVQ,has,Node,favorite
Node,Lamb Kashmiri,is,Node,tender
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,naan
Node,naan,are,Node,perfect
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Soma_Grill
Node,Soma_Grill,is,Node,worth
Node,Christopher Columbus,cross,Node,Atlantic
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,soup
Node,soup,got,Node,soup
Node,service,is,Node,terrible
Node,Service,is,Node,good
Node,u-XFoGm5ayOBBJqqSuiRuiFw,talking_about,Node,curry
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,rice
Node,rice,is,Node,fresh
Node,u-FPmxLtMPlYDyeIa2f3N4qg,expect,Node,food
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,tikka_masala
Node,tikka_masala,came_with,Node,soup
Node,u-FPmxLtMPlYDyeIa2f3N4qg,has,Node,tikka_masala
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Soma_Grill
Node,Soma_Grill,was,Node,reasonable
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,chicken
Node,chicken,cooked_in,Node,sauce
Node,service,is,Node,inattentive
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,sauce
Node,sauce,is,Node,fantastic
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Soma_Grill
Node,Soma_Grill,grows,Node,Soma_Grill
Node,Soma_Grill,grows_on,Node,u-ZvmC522FAwxt8qT1jxqliw
Node,Soma_Grill,has,Node,menu
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Madras
Node,Madras,is,Node,good
Node,decor,is,Node,impressive
Node,food,is,Node,hot
Node,u-jfaz1aQqnkbtzQfQyCE8IA,ordered,Node,Samosa
Node,u-jfaz1aQqnkbtzQfQyCE8IA,recommended,Node,Red_Curry_Chicken
Node,u-jfaz1aQqnkbtzQfQyCE8IA,ordered_with,Node,chickpeas
Node,u-jfaz1aQqnkbtzQfQyCE8IA,come_on,Node,date night
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Soma_Grill
Node,Soma_Grill,was,Node,delicious
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,soup
Node,soup,was,Node,warm
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Vegetable_samosa
Node,Vegetable_samosa,was,Node,delicious
Node,Service,is,Node,great
Node,b-CB99Ifh4OnBTnuNdRjj_fQ,has_menu,Node,Soma_Grill
Node,Soma_Grill,has,Node,dal
Node,food,is,Node,fresh
Node,service,is,Node,great
