user_id,menus
u-0728ZcngH0r7BmEbyG5SGg,margarita
u-07UWbgojyCyyQMIRgplw3Q,
u-09QcQYf_t1NEq_AkjJuABA,Chicken Tikka Masala|mango lassi
u-09kY4vlMgLiiXp22KBGAwg,
u-0AnezUtzwmaeAYSMvDdLmg,vada sambar|Dosa
u-0D38OKm-1OtBE0DzmYqmBQ,biryani|chicken biryani|chaat
u-0E0RQR-F6n3vTMKN5N5otw,Samosa|Sauce|flatbread|dinner
u-0E1I0MGQNAXm4bpdU7VjZw,mango|mango lassi
u-0GUlOnwNMENSpzeb_ZBGzA,pakora|shahi paneer|rice
u-0HuRMxh_x8snXcKu6RYDMw,beer
u-0KWgD0VqYKfivdzFZoQ3BA,
u-0LMHrFTQtUoY42AZl1MH6g,saag
u-0LUt7xSvYgLpL0zBezI5QA,
u-0N0Dvd3OQ3uOf7icQA-mkw,salmon masala
u-0RmBe3_3nXLE6bGiC8FvGA,
u-0UNsufPaK_K8ioCJgMhUBA,chicken
u-0V44Yx8pIOt_acaWixmW2Q,
u-0VELkLA9ujEAa3exO7grSQ,
u-0WMfvOCx0phe_rHXXpTX5Q,
u-0WiKiaHhWPeb2llMLj3-6w,
u-0ZrfHMZ4EaXP9zR6AFd7CA,tikka masala|vegetable chaat samosa|chai tea|lamb curry|naan
u-0__aXuQg8UpSvtDw6DijcQ,bread|chicken makhani
u-0czYYW5BlH9twE_2mv2aCQ,
u-0eB2fWZRg9jvta7unkQ0YQ,
u-0gy8hSm38M3jvOEgtS0Ppw,
u-0h4DGcjwqOPQovloVnJssw,Chicken Bones|Naan
u-0iSQF1skfJaZz0ftEmgumg,chole bhature|Batura|bhatura
u-0kfwxsxY9qG7tzm445x3JA,
u-0qEVktiRfmZAQY0d28KAyQ,dosa
u-0rOldmzos1vjkd0SmHbKZQ,Dosa
u-0s_GoIlIkakC46pVDv0hww,
u-0sxVTB8K-4KROlGhQBN7kw,
u-0uVAseVd1TgEGE2MY4C7Kg,chicken tikka|BBQ platter|tandoori chicken
u-0x06Uz53mB1MMUlG27B2tg,Goat Biryani
u-0zBMuFDES0U2NiCXLu5N8g,Payasam|Kothu Parotta
u-12WATd_fLodHu2woJvHe6w,
u-12deYl5tEafL5Hcn_IUhDw,Naan
u-149dpixd6C2SwLcVfp5kvQ,
u-14aUQOxANsr1SN4GvEUm8g,tandoori shrimp|wine
u-14ryIRc7Rh4N_oHgbqpTFQ,
u-16g6cHzPAO_GcoDaLkhArw,
u-17T541hwWCZel-sslpBQiQ,
u-18KRmHm4dJBmhhzoEMg6QA,
u-18qEoFOVEernpVLh97PQPQ,mango lassi|bread|dessert|Roti
u-18r93uUuaOCoMogk8bAe_A,
u-1ACkCe88DC97bHlTciJbNw,Chicken Platter|sauce|Chicken|Chicken Pakora
u-1CDW7BEazglxMZLSrq4EPg,Samosa|dessert|beer
u-1CLaXpJSM0xVxAWSgrzOIg,
u-1DmRxcS9KgB2PKkMS3l44g,bbq platter
u-1Ezjju1mwsQRoVQlsiIq-Q,
u-1JWELY2_qH34RiIU39W3fg,
u-1KJ_2hP6dDiCCOSUrx6i8Q,
u-1LPtxqJsWLfCWHBOJvym8Q,
u-1LQpbQFOp0xEaWKO-0CIbQ,
u-1M5mfWuuMzUCYg4tTF1lyQ,
u-1MHf-vXBXV2BoqUPSmzjAg,paneer|shahi paneer|chana bhatura
u-1MT0490XXv6va54LSNV51A,
u-1Mypgmvj1FnLg1a-d9EKBA,
u-1R_hou5lgjLWsZmYHOSCnQ,
u-1SkzkCvejQ8U5QYKV-7MiQ,bread
u-1V00Z3TiaNL2d3HL8EfoJQ,
u-1VEn9mGPSv2pqvSxBb5Y_Q,
u-1WOxmH-VsNOqm9PMmkObFw,Diet Coke
u-1XGHdQXTNHtuzGdQu47n4g,paneer Tikka masala|chocolate cake|Tikka masala|Tomato soup
u-1YCJNdeLB7QjrO8eprZRtA,
u-1YZ-yIsbZVZ267ZLFT3s9w,
u-1YeIANv8LhILqUgiRE9QEw,chutney bar
u-1YlDACdLyJiYNd6oChxDpA,
u-1ZPnQs-tdvbX8ROjtnzcEg,chicken|rice|lamb
u-1ZzOs18zciLBYMZ2cQv58A,
u-1_EjpNh_kbrfZI5YP9onuA,Samosa|naan
u-1_cEjUy1_a2HUNp8_5oaGA,lamb shank|tandoori chicken|rice
u-1bgWnqxHdMCIvmuRcJWKIA,rice noodles
u-1dWKT_QG9yvMVBuoDGhavQ,
u-1e3LfvxJEcFU_cRmllYeFA,dessert
u-1f9qOmNc34f6mHcUozLNoQ,
u-1fi2i7dJcYVJergYLNHzzw,
u-1fyzWwIyoGcjWEIeXwxjsA,
u-1gDuVfs8C-wwXcoJEgvxuA,
u-1ghFOCMBpo2bGaWu_c1tcg,naan
u-1ho5Y8iaj73Ak3i1fUCePg,
u-1jBjcTzcvQ4mLLLPIcXAkg,
u-1mM1SMzqdHxucYUIUFisNw,Supreme Dosa
u-1mWIqaYBzZAoz9dElYm9dw,Baingan Bharta
u-1oE6zS6n-w0Z3ETTs-X0vw,Soup
u-1oG_2FkprbRlNxIdQB7HMw,
u-1oPcONupOFfYwIjxnF9HvQ,
u-1qz_GeNXPKT-e0mSdhtOhg,
u-1uA9fkT8tC4iWVFyTPqxZA,tikka masala|garlic naan
u-1uMFeMClPgrO-hRE9DaulA,
u-1vWqiWTLNCQNI9qx-GU4oA,dinner
u-1xgOoQxczEEsYuH1YFMZog,
u-1zhTy4Uy6Qv-fqHPSjMrnw,
u-1zoenxehqs5enWxtcRfXyg,
u-21W8iTZGWdCk1utgudcToQ,Samosa
u-21kR7VsZdK1_wFOryQYAtA,
u-225bmqlNWVUEuytJAQnysw,curry
u-229XN3DEk9bLKc7RP9juSQ,
u-241yCoSHWB1ZEPKrL1rvLA,
u-24nlqdLpk138dpO0UKXP5Q,biryani
u-25D2Dcv4njPbbO13gPOGnw,rice
u-25jya83wrn5NXnFF-J85ew,
u-26APrhqCQ8pxzqWiMWwFcg,
u-29GPdhDdc2nG9ilWpsAZCQ,
u-29M8htOynu1gD8GiA3Rt7A,cheesecake
u-2AAIpyvPPCeQMi1_FKjNXw,tofu|Vegetables|sauce|rice
u-2AjHNuVqJDR5B-hTsbqpWA,
u-2BEDMCl2ZPoEu1cT-ZsXoA,Chicken Tikka Masala
u-2CO_7FLwYQNPgvhtFHZHjA,Rice
u-2G0PfJgnhjr8jcb5nKLA5g,
u-2HD29DRmkH3ZzJq-emARJQ,Chicken Tikka Masala
u-2K50D1mnCCO1sLcsABEQlw,
u-2Kgd8_CKyYMvauEA6Z0mAA,naan
u-2NGLS_55db0-iQP7dGQB1A,
u-2Nlxxq0lj0QeK3LF2LOUCg,Kaju Draksh|Vanilla cupcake|Pineapple Coconut
u-2Rl_CaaHwYoGLx6F0W1vaw,Peshawari Naan
u-2S07Wh6R_5C5ZIjzQZfxbg,
u-2SeI7d6epQoFyGUzrPkzUw,bread|naan
u-2SnQLx5dzcdDUhTOg3lg4Q,dinner
u-2U9yYe623iFuWICTIgDMQw,salad|rice
u-2VatwsxJTJPACakzxGL93Q,
u-2XZUqpKWaegQdeh5yZS6ew,medu wada
u-2XrLB9n3qkEQjbXpcu7GSQ,
u-2Z4l-vekzp0KGheeUoSxQA,
u-2ZAGNRs2kmUk1H2BOW_3OA,bread
u-2ZZNOoMQ7WFvFoxDUFw1wg,
u-2Zau6c4Tjmr-Va8XLzOBog,mango lassi
u-2Zzb-DoLenLpbt9pXhTQIg,
u-2bhDKgDB34xk73c8kkln8A,
u-2c0R5c7lCLq81N9hH70FAA,
u-2dDK-DlISX1G22GJAlImiQ,
u-2dS8ZrOmkdMMHayU-b9ntg,
u-2e5V6M4GNufEnbGJpVdCjw,butter chicken|Chutney
u-2eFPk8sQz6xy8i2cdCrQfg,channa bhatura
u-2iJA4fSMlMzoTqx-DLRS6Q,
u-2l5Pt9zUT1NI9309L-AGgg,lentil soup
u-2mKI7s51PD-W5t8CrCRjNA,egg curry
u-2oj7KXXuBXOGfnLs0rCwkw,chicken tikka|naan|salad
u-2p7wg_4xvgs8nWLkrU-puQ,
u-2puNEs4P-Scvsqvgi1HLyg,Gobi|Roti|Boondi Raita|Gajar Halwa
u-2qLQOJHBuGQTwoIFnMFmRg,
u-2rcc5LNa6DUA7PlUJZX0GA,bread
u-2tF1eMovjhpg2jAI5os6pA,butter chicken|naan
u-2tGL1SDJnK7GiH8c5yhSBQ,doubles
u-2vClXxuwEKyU8rEGOrHz2g,Chicken Ghee
u-2w-u6meVnnX_gEsOg7p4BQ,Palak Paneer
u-2wKnvn68eWybc7ID-7UQmQ,
u-2xFtQEr96FUtwQ48KsIvCQ,bread
u-31CoeSXW_5LXXVeXM-sv5A,
u-33L8EGQQ2HqfWhkMkC9aag,
u-33dAdbBE0ysDWz9zs7XVsQ,
u-33v8c5ftrKuDGTw1ZQ2toQ,basmati rice
u-36FNSGaxydhE8gBUZzaNjQ,Malai kofta
u-36yJtLsle_c_Ipn-Lnw9Nw,
u-37g2GgvUKfAiIE4HsPQMEw,papdi chat|dahi vada|mirchi bajji|butter masala
u-39VYc2nWSdvdTCldsDJ7qw,masala dosa|sambar|dosa|Chilly Garlic Dosa
u-3AaiRbvg0ldfU2xD978z9Q,noodles|curry
u-3AtK3JOruyIQdcx_FnIkCw,
u-3B7t3At5fFWaeLVaHiVk4A,
u-3BGtMr2Qjus5eIOFZt9NDA,chicken tikka|lamb vindaloo
u-3Cv8sgj-R4s1T07SXVUTkg,
u-3D7Ie-Rmmhn1RzFrVieRZg,
u-3ERGd_VUoH9_hsWmGudLYw,dosa
u-3FKU31oWneVqlPFamYOfHQ,Daal Makhaani|Naan bread
u-3Fmj7MfGfsUUK1kTWCSL_g,
u-3GjCf5k5X219pDy5rYgxvQ,
u-3ITM3PW5Vm66UaomB2lm7w,
u-3IYOwOPo4zpnaYUu4VHXbw,
u-3JogbSVJUT4ZfSEPxHaTYg,
u-3QCugmCSsCOHsC3fE0NBjg,rice
u-3QrmJ2lThhAE4IgRePZMGw,
u-3SD6uRqJ7jwwNn7wekFm3g,
u-3Uc8LC5pnLH9bhVQlL4g2A,
u-3Uv0dGI2IXJb2OUj8R2GJA,garlic naan|lamb curry|cauliflower|vegetable pakora
u-3W0lgVuuBCYpQqzy563WLQ,
u-3WXmLAkfxW8Y_urexfSs7Q,Chicken Biryani|Dosa|dosa|mutton paya|roti pachadi
u-3WeQUfzOZxZR71NnTWKMEg,paneer
u-3WinVzxrRpbNIyRsz59l8A,
u-3YAsLpbykHxYKunBpIjGNQ,tikka masala|Mantra Masala
u-3_e4h3j0o92NOKLXaFFToA,
u-3aGRbM1U4iABY7CLsMOxFQ,
u-3aYeG-x5A44GIgmBHrwyAA,
u-3bWTUkL1Wb5TEJJ9yDVqDQ,
u-3c3aNHGUPDwFZhxCe-p8Ag,mango|pudding|dessert
u-3cbiF3roJdzvsp4heS2c5g,
u-3ckX2hhMUlLpfbCrYcIqrQ,
u-3djzzKLhsa2oRq6RZRSEzQ,Butter chicken|Mattar paneer|Garlic naan
u-3gpVaFMgPtMTk90FY2BEfg,
u-3jKUxIVMNF-IRJfkjxjCFw,naan
u-3kWltF8RUs05nzFp4nEwEg,Chaat
u-3kpoitFg-n7K3DtzSh-Y1A,
u-3lSr4SIe-FN-HoUaUND52A,Biryani
u-3n9g3tGFG9dCuQyWfO4RiQ,mango lassi|garlic naan|rice
u-3nY18D4-3yoYcNK9PyKHtA,garlic naan|papad|Naan|chana masala|Shahi paneer|chai
u-3o09Ya5VcRVMN3b2szZvkQ,
u-3o7N8KbJyYPlj61Kl2AHGQ,Yangman noodles|lamb
u-3p66LPQoaDIrA7fMoq9t8A,Schezwan Chicken
u-3pEz4WL31d7k31GTu3_7MQ,tikka masala
u-3r7H0Uldb3BKNxNXdRg-Cg,
u-3rpAsDtWFn77ROqL3X1PGw,
u-3sVCAjrsGyI7ElJHqDSq0A,
u-3sY-Wj7CKDb9YjQm7LG5Ew,shrimp
u-3veFPGLWvvEgzD2ut7rFFA,
u-3wpTYO0ALSVdcd76Fq0O-w,chicken dinner
u-3xSglGfW0ZxtJp0vbv3NhQ,Chicken Tikki Masala
u-3xUBv-ek2m4YceJRxVj_OA,
u-3zTJVMca5uNTjJYQf76d3Q,
u-3zdB0SSrXIDIgsrOmhdUtQ,bro bowl|channa samosa|Naan
u-43gQxtscCBxJGcYfnBIPuw,
u-44cJKsjBYZvTJLepT49WCQ,
u-45r0gDQRtGWEHnaVb4Iy4A,
u-45stHCps45t-AiIYo7kojg,
u-47R5xhLhoprA8xYkS21x9Q,
u-488c7ePVQHYI6SJcC6ihGA,
u-49j4mN81moEbq3oyi_oB4g,Chutney
u-4BODhptVEvhAIYOL6ngajA,Pakora
u-4KbUaerUBoiUwZGMHKVFxQ,
u-4L3W45S-ssdoKevuv5ykVw,
u-4LPsIyUQxuQAFOZOUqHvRQ,chicken|rice
u-4McoAuXDYZSRmHgDnWsOzQ,
u-4OY8QfPV1LR3ggNN4P51OA,
u-4Pv0H-yc4Me7doRSilc6YA,
u-4QgXlvkNrDGmn0HeekD7xw,shrimp
u-4RjoIBBL450Z6EQenmWkSg,tikka masala
u-4S0XJ4N95jRcExsDvXLZJQ,
u-4T0cBpmbAaMJu5d5WNuQtg,
u-4T8X9Nss9bV6I_AdHNmTYQ,
u-4UbD7IYobTn01fbL6GHB-Q,tea|Kheer
u-4Ulth8arI72deJgP8fHxXw,Dosa
u-4Urg4tXL_m6nYsOt34mAeQ,
u-4V6vZgVCfEfYwXFK3tnTQQ,
u-4VJ5H28ngfDxpZKwtPig7Q,Biryani
u-4W-ZU-E82HWWUNNk9tfN6g,
u-4XumCjcCk9sHVfXXTsHzcw,tiki masala|tandoori chicken|chai tea
u-4Yex5FN7GNOnzNek0DVBsA,
u-4_WuH-Sl81zUp6PJ1eLLSw,mango lassi|korma|naan|samosa
u-4_YXHsStJdeo3w3C7crAkw,tikka masala|Samosa
u-4bxhIKz9ePWqD93UkEjnbg,
u-4cZ3f3i0Slv2W9mLN_VZBw,mango lassis|samosa
u-4dBHW4poooq50wlneOZs_Q,garlic naan|chicken vindaloo
u-4dVgvYYgrem4rhz5CoBk6g,
u-4e4uA6fe4SigZ_RZo0r4QQ,
u-4iGLmf-RR69KhpjIk-EMPw,
u-4iP8NemWxjbgSA1fmHJtUg,soup
u-4jS_QEA1yOHaNvKPauqHbg,
u-4lrSIOsPbTQzLhILYvs9UQ,
u-4lvyTtfuz4a1NuOwH22jMA,chicken wrap|paratha|butter chicken
u-4mOZEOILQiAYIHlWN3zl6w,
u-4nk5Wn4ElB2oanaKscQ8pQ,
u-4oSS12CndpO2e5NWDTRIsw,Daal Makhaani
u-4oTUo9_a4pxKstYc6aV8FA,dinner|Gobi|Veg Dum Biryani
u-4ofZzCP_fQsxtzJfGR_n1g,
u-4oqy291FDdAorqkZfrGC8w,
u-4pCvRmbz0jHoeo4kPisdCg,Gulab Jamoons|Tandoori Chicken|papadum
u-4sAhsvqIlZIlmcR_UtdwYw,beef vindaloo|beef
u-4s_ZvmdpimzjhGRPPBNyaA,
u-4vLLw501o5zD0h5Q6zgOcQ,
u-4xxsMQTIV0QVnItrbaux4g,saag|Kebab Meat Platter
u-4zBHyaN_IQYJS23hgp55PA,dinner
u-50onk-sE-OODo3mgU27-nw,
u-51_EJUsPW8NpsO8C9N4JqA,
u-52FPmlFXbIM5tV_FLUu9fg,Goat Haidarabadi Masala
u-550PQtrBHqSUjafvzVzEsQ,Dessert|bread|naan|Paneer
u-55aexqeN_FBQfq3IVWuFbQ,
u-55rvMebMaTCO_mVNhgzcOQ,Chili Chicken
u-59YqfjPWX3RfEKETXAXGTA,fries
u-5B6sAYLSEv48LIDe7M8hsw,pad Thai
u-5DqsNskQSkRYvXXVEpg6Mw,
u-5Dw8l-8pBUGAenTqgLLe-A,
u-5FMeJRjsn1zN9Y9q6X1uyw,tomato rice
u-5Fleb60SFkgyu-wd_odfUA,
u-5H-pw69ccRDyoFnjwV9vNw,
u-5I4_OEvrdTRhrk6ipGVQEw,
u-5INcrkxpxXMbLP1VDBrP9w,
u-5Isi0CjKB0STfufSg1SxHw,
u-5KiaWFhJMTOEo7BsJSbkoQ,Potatoe bowls|sauce
u-5KuLnYyRHAeVkwsB1Iglug,Beef Samosa
u-5LET80DhRgpLkNyGeLLnLg,
u-5PMj6vXe8ba-sSHW_oN0Pw,garlic naan
u-5P_1M3JGhe0VnmbMWcJLPA,Lamb Biryani
u-5QFws6LKMCZCgKHl8WR1jQ,naan
u-5QfGgW6hWDBLOkBnUPt0lA,Cake
u-5SAuwOC7FX6dnlmgts_EoA,
u-5UFCvsTSJMfPqQFQLckIQw,
u-5XXg3gm8HGq7g7ZNe8X_kw,
u-5YEdZ15m_xK2rUH1R5Ymdw,
u-5Yp97FvmqfWrymhsOxb2bw,
u-5ZF8fsF1byZEd8cmVrHjyQ,
u-5cEPTRE_RkZtReStfseaqw,soup
u-5dBKAgQE7F7CF-N6qRDkEQ,naan
u-5fqHDnZYDODFOitqFzf0Ag,bread|raita
u-5gTr-5JwKk_rS3U8jsmm7g,Makai Ki Roti|rice
u-5khspCXap0uTqd0CsKFnrw,Meetha Pan
u-5loLFO6EKKU_0czmJ0djEA,Naan
u-5sl3z1pV6PwxHo_xsbaUmw,Garlic Naan
u-5va7EaFaVnY4rizHnyX8dw,
u-5wRmF-iwnwDOYLuwVuJcZQ,
u-5wT0vDycEzgq95yVCZ60Aw,Mantra Mixed Grill|chicken|chicken bazari|chicken pakora
u-5x9HuvhQaUYVcb7wUElbLQ,vindaloo
u-5xGEBRzywWVkG0IjWepqgQ,
u-5xhFsVr7fCalAxFQqtOeuQ,
u-5zBK3wQq7ZiiO78wjVxRQQ,parathas
u-5zosNWWAHQrcWzsf-DIVXQ,Sauce|naan|sauce|salad
u-60Y-uLBHsdliQACa4oBnxw,Sambar|Dosa|Masala Dosa
u-61PCm3Tm4KT_6baID2vSVg,
u-62JJoUPxKxqb6snMJxi2ng,
u-63deOuhhNn4yRVXWRb_FxQ,
u-63pmkUSbcjGZukZNmfxsZg,Garlic Naan
u-64UKiCuMx5y70XHfkcVQmw,
u-65UXy9qtuLUI93cK8VcDxg,
u-66Szq2Pe2AfhZjTtyHttlQ,naan
u-66e_wFUf4GsDT2DTZ3u-Xg,
u-683E9kHzYC9fmrRMTE4qBA,Chicken Dish
u-69MbRPKuq7qdlpWNdUrDNQ,
u-69Re2ML7bMcaTbvVinwsqQ,spinach|Saag paneer
u-69tnv4pzbJmZXH7IjfoAog,
u-6AA1GvMABY54hfHBEoaJoA,tikka masala
u-6B47Z-i7D_Kruxmn0ebNOg,butter chicken|Chutney
u-6BvOG5QZswX4l0IbicFFIQ,
u-6CbNnrhmjcGLX_FM1vvVrg,
u-6H-tSPWGxX2Ehfe86yYWWw,
u-6JkOS-5nz85UpM-IRYGzAw,
u-6Ki3bAL0wx9ymbdJqbSWMA,
u-6LZ-WiTi8yPHdwo4C8r7dw,tea
u-6MQECuBxnrT7FXrzFUV6nA,
u-6MxRI28jcyYK4DpU2ap7FA,
u-6OjUTMU1lPsCffK64s6IZw,Fish Curry
u-6T2wUKXuQkbk8vTwTC6OVQ,nihari
u-6UPWBTOfNoaGRahqTX14Ag,tandoori chicken|butter chicken|beef curry|rice pudding
u-6V2QVNLboiRQ5QRHyUDqjg,
u-6X-Jnb7awo07M60tla1AsQ,
u-6XM6NNpblve0ZBCUbdJi4Q,
u-6YJutjXMThrRwYxCni_5sA,pickles|dessert|curry
u-6YPfM_xcWZM4GjBvGvL8Mg,
u-6Yo7xTmg4FSmSCN8pU6kvg,Chicken Pad Thai
u-6ZCWi1OxWhooJkcrRnDs1w,
u-6ZUqLWRcu1ZuhUyZK1REgA,
u-6dech2UzcIcgofJ2HyQ1yw,
u-6fJl2AIca4tJHynCd4F3Hg,
u-6gQIyHGFww47hQvd83_mBQ,
u-6gSIqISrFmTeBpEmYjf3Ag,
u-6jRqxp85STFHQeStdggTrA,naan
u-6mZhfYKwrn1zQgZUOoowHA,
u-6n54T9Gr-wleIdzdN1QIxw,Chicken Skewer
u-6npV9UVmWD7stZg9W_Igww,
u-6sJN_HlM_uwpfLJ1puf1Fg,tikka masala|biryani|yellow daal
u-6sd91wZnAcxQrfQJOQE9aw,nachos|cheese|chicken nuggets
u-6tNME-MMEjhfv0si0imlhw,biryani|chicken biryani
u-6vEoIXKaH8WtiuJyhBlCow,
u-6x3aIb8SLZcOFcHEcWBLog,
u-6ymZbkJ7vt8eGHA7bHlONg,butter chicken|naan
u-6zQLsnswBeHov55HmUWhrA,Chocolate cake|halwa|scallops
u-70c9g3Ii74HA8ATQxC215g,
u-70y3kxLziMsg8XyrVzwktQ,
u-71tacONUReSQ1tv2Edz4OQ,Naan|Lollypop Chicken|Sindhi Biryani|Samosa|Shami Kebab
u-72binVGkuOlQ5VAF7fgeYA,
u-74Z9QLvd1iAagpcHAbB6hg,
u-75ji-ASo49CKxx1OJadUvg,garlic naan
u-775ArA9kf7oSw6THF_eOiQ,
u-777laEOK7uWz46In7SHXpg,
u-77bSr4yTJrt__livHS3CKA,Biryani
u-78desQh2_fEySbf4GN-guA,
u-79MxP4BVLfpmWqDilznLMg,
u-79uQM6mAgJJcmYRtMO_u1Q,
u-7A7FOLZZKL0iokQVOAEbgA,chicken tandoori|Mantra Masala
u-7AfWT4MSndGxYvrVhNkGJA,
u-7C6-_zIPm9-GjcizGan9rg,roti
u-7DBDjEN6SnVgLe5zWOe-FA,naan
u-7DjD9A_D66bzJvheaw4xbw,Chutney|Sambhar
u-7EDlw6THZ5viaF-P6Y_CEA,Chicken Vindaloo
u-7EvVJOWVSy_ySO_os9-0Zw,
u-7I4DSE3vzdLcU6QRIvQeLQ,
u-7KfPI_otF_Lw27dL_y0aag,
u-7LpmcBNX_RKbjmnh0dmKrw,
u-7O1_x_3IlgjpY9BkiZ16xQ,tikka masala|Chicken Tikka Masala|fish
u-7ONuU_6euJoF1w3xfvEL7A,dabeli|chicken biryani
u-7P2IdshiNUpQq4FBvuO3pg,chicken tandori
u-7T0d4MQpnu4inwcw9X_cvA,
u-7VB3NVQj9mV0K2L8bGx4MA,Biryani|coffee|dinner
u-7VTKTDeBfOXruwKajOlXtg,
u-7XAHWddieM9hAPLQjHAI7g,
u-7Z8zVe9a2lcXD_B__gw1Ig,mango lassi
u-7cXbD-R599rW6AdE1ELXZw,
u-7g1m7Nr8X82WCvAipAhbyg,
u-7h4_BoZOk9zq6Xf3sX4Jqg,
u-7hJULn2o6Zv1Lwd860YCGQ,butter chicken
u-7hR-v0xxQaClIDrqxgjjvA,navratan korma
u-7iuTimE5BS7aRsknKvWwKw,
u-7jL3l2fLoMIYPCBqhByagw,
u-7jw2VAbnGkr0GF6evuvViQ,dinner
u-7kfJk_NtOslC9jPk2Koz3g,
u-7ly3al1MaAOoUXUo2w9gIw,
u-7m1SEMQ0hIIY7YcuuclEHA,Biryani Chicken|Goat
u-7pHt3IhAqTmomNVPQHbcKQ,
u-7q1EFKcjUTQhUrmjY2ZRkw,Panner tikka
u-7qSOf2kaMWEhS544oIFR4w,Roti|Jamaica rotis
u-7qstyjVDSuQGNzpV0HDjbA,
u-7qt9uwLstFMx1pufvIvftw,
u-7quhEJUhx4K3TTqJTj6Q3g,
u-7uNESKhTlge7kCN00u5LPQ,paneer|Naan
u-7vJcXAjnP4GFlJQO0uyI1w,
u-7vPkGspK1jDpC1PwddbORQ,Roast Kidney|lamb soup|Dapanji
u-7w22HFcZ1TFOdwjUqcIMRw,
u-7wAdctG3920KcBLSVXlZdQ,
u-7z-MEJWdcb3YfXSxWhWUbg,bread|Dosa
u-7zhra0LL0dLYo4Nmo5Q_xA,lamb curry|curry sauce
u-8-GTQbes8cfy5QRpjVy7bg,
u-8-SNN-os_lWTxOdWFROIAA,strawberry cheesecake
u-81aF7KXGArZA6RzNgwAqJQ,
u-83MxvjpOYHJ7ocGwYYi7qA,dinner|Gunpowder prawns|basmati rice
u-83zQAHCvZGYgm8bjQoJ5wg,
u-842i3p5IxaakeoGPlBEchA,
u-849Kov2nwyTcSQ6mnA7oBQ,Biryani
u-85EI4HGFJURnRUWQtqs2zw,
u-86B_MbIwXck16ioc8c01VQ,
u-86ij_78wolDsWWwAB1gGFQ,
u-875pZDFi4xh5O-B1bFVdmg,mango chutney
u-87OjX_FYEwJKkDLU3UEpkA,
u-891YxfjTiygqlWvNzolchQ,
u-8BDciyOsJg54onM6SWu8Rg,tandoori chicken
u-8BJ4VEi11-XN8a-rqjo3Qg,
u-8CBeJclABbwsU1aVVsppfA,Samosa
u-8ERB5c1CaRkW990-RNG7zQ,naan|chutney
u-8FWYP70KeC6rFLEJuJ-lEQ,vegetables|butter chicken
u-8FYeHPf7b-itXR5zJqgjCw,
u-8FbnfMDyB_nGXIzU0-Y2xA,chicken vindaloo
u-8IiPX3tSK9-bv4Ucr433Zw,mulligatawny soup
