sub_ent,subject,relation,obj_ent,object
Food,Food,IS,Terrible,Terrible
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_MENU,Biryani,Biryani
Adnan,u-pj7M1RIWV0caCp7Kj91JxA,ORDER,Biryani,Biryani
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_ASPECT,Food,Food
Bad,Bad,ASPECT_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Food,Food,IS,Bad,Bad
,u-zSaIbSCTB9ug09pOqf8_vw,HAS,,u-zSaIbSCTB9ug09pOqf8_vw
Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ,HAS_ASPECT,Staff,Staff
Nice,Nice,ASPECT_ATTR_FOR,Silver Spoon,b-mOsKIonnlHllP9gfbXdgnQ
Staff,Staff,IS,Nice,Nice
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_MENU,Biryani,Biryani
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Biryani,Biryani,IS,Good,Good
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_MENU,Dinner,Dinner
Burcu,u-W37KqgMymarQaqYGOWS70w,ORDER,Dinner,Dinner
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_MENU,Biryani,Biryani
Faraz,u-xCAwgus9fWEIrv5GvwykEQ,ORDER,Biryani,Biryani
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Service,Service
Fast,Fast,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Service,Service,IS,Fast,Fast
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Staff,Staff
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_MENU,Nihari,Nihari
Disgust,Disgust,MENU_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Nihari,Nihari,IS,Disgust,Disgust
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Food,Food
Ready,Ready,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Food,Food,IS,Ready,Ready
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Food,Food,IS,Good,Good
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_MENU,Naan,Naan
Cold,Cold,MENU_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Naan,Naan,COOK,Cold,Cold
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_MENU,Butter Chicken,Butter_Chicken
Great,Great,MENU_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Butter Chicken,Butter_Chicken,IS,Great,Great
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Staff,Staff
Nice,Nice,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Staff,Staff,IS,Nice,Nice
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Food,Food,IS,Delicious,Delicious
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Service,Service
Slow,Slow,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Service,Service,IS,Slow,Slow
Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A,HAS_ASPECT,Customer Service,Customer_Service
Atrocious,Atrocious,ASPECT_ATTR_FOR,Silver Spoon,b-nbf4o8gUP2y9JKFE2wBO2A
Customer Service,Customer_Service,IS,Atrocious,Atrocious
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Chicken Biryani,Chicken_Biryani
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Chicken Biryani,Chicken_Biryani,IS,Good,Good
,Staff,SPEAK,,English
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Butter Chicken,Butter_Chicken
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Chicken Biryani,Chicken_Biryani
YC,u-JT9Ux1QWW2x1tDyFNaSp1A,ORDER,Chicken Biryani,Chicken_Biryani
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Goat Biryani,Goat_Biryani
YC,u-JT9Ux1QWW2x1tDyFNaSp1A,ORDER,Goat Biryani,Goat_Biryani
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Naan,Naan
YC,u-JT9Ux1QWW2x1tDyFNaSp1A,ORDER,Naan,Naan
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Butter Chicken,Butter_Chicken
YC,u-JT9Ux1QWW2x1tDyFNaSp1A,ORDER,Butter Chicken,Butter_Chicken
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,IS,Nice,Nice
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Chicken Biryani,Chicken_Biryani,IS,Good,Good
Butter Chicken,Butter_Chicken,IS,Good,Good
Worth,Worth,MENU_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Chicken Biryani,Chicken_Biryani,IS,Worth,Worth
,u-xW6g0EMGxUqouRTzd0PItA,GOT,,Food
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Raita,Raita
David,u-O4Dim1eKErdBdKWUGpMxvQ,ORDER,Raita,Raita
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Decor,Decor
Decent,Decent,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Decor,Decor,IS,Decent,Decent
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Service,Service
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Service,Service,IS,Good,Good
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Yogurt,Yogurt
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Yogurt,Yogurt,IS,Good,Good
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Food,Food
Great,Great,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Food,Food,IS,Great,Great
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Biryani,Biryani
Kevin,u-m66JEwIVUq_uQU06nWFHYA,ORDER,Biryani,Biryani
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Curry,Curry
Kevin,u-m66JEwIVUq_uQU06nWFHYA,ORDER,Curry,Curry
Cold,Cold,MENU_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Curry,Curry,IS,Cold,Cold
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Food,Food,IS,Good,Good
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Price,Price
Ready,Ready,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Price,Price,IS,Ready,Ready
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Chicken Qourma,Chicken_Qourma
Chicken Qourma,Chicken_Qourma,LACKED,,Taste
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Biryani,Biryani
Biryani,Biryani,HAS,,Chicken_Qourma
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Price,Price
Reasonable,Reasonable,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Price,Price,IS,Reasonable,Reasonable
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Staff,Staff
Decent,Decent,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Staff,Staff,IS,Decent,Decent
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Food,Food,IS,Good,Good
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Chicken Biryani,Chicken_Biryani
Julie,u-pv8KCVEQ-nP9qyDP7YtXcw,ORDER,Chicken Biryani,Chicken_Biryani
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Food,Food
Tasty,Tasty,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Food,Food,IS,Tasty,Tasty
,u-auxU8_xmF9Bi-sRD962_cA,RECOMMEND,,b-UaMq3DUhtkoZ5WCEQm2T9g
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Price,Price
Excellent,Excellent,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Price,Price,IS,Excellent,Excellent
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Price,Price
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Price,Price,IS,Good,Good
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_MENU,Butter Chicken,Butter_Chicken
Authentic,Authentic,MENU_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Butter Chicken,Butter_Chicken,IS,Authentic,Authentic
Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g,HAS_ASPECT,Food,Food
Delicious,Delicious,ASPECT_ATTR_FOR,Silver Spoon,b-UaMq3DUhtkoZ5WCEQm2T9g
Food,Food,IS,Delicious,Delicious
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Naan,Naan
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Naan,Naan,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Roll,Roll
Ainy,u-FRnNgOvEWJvxo7h9np3RSw,ORDER,Roll,Roll
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
,u--9RU4LuI_TfYgv9rBijJoQ,CARE_FOR,,Customer_Service
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken,Chicken
Dry,Dry,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Chicken,Chicken,IS,Dry,Dry
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Food,Food,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Price,Price
Reasonable,Reasonable,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Price,Price,IS,Reasonable,Reasonable
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Naan,Naan
Kashif,u-5loLFO6EKKU_0czmJ0djEA,ORDER,Naan,Naan
,Food,HAS,,Food
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Decent,Decent,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Food,Food,IS,Decent,Decent
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken,Chicken
Stephanie,u-U5YQX_vMl_xQy8EQDqlNQQ,ORDER,Chicken,Chicken
,Customer_Service,LEAVES,,Taste
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Customer Service,Customer_Service
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Taste,Taste
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Taste,Taste,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani,Biryani
Amazing,Amazing,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Biryani,Biryani,IS,Amazing,Amazing
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Fish,Fish
Great,Great,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Fish,Fish,IS,Great,Great
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken Malai Boti,Chicken_Malai_Boti
Chicken Malai Boti,Chicken_Malai_Boti,IS,Amazing,Amazing
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Achari Chicken,Achari_Chicken
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Achari Chicken,Achari_Chicken,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Butter Chicken,Butter_Chicken
Daniel,u-QOk29S8eOtu94j1uTpmsuQ,ORDER,Butter Chicken,Butter_Chicken
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Curry Dish,Curry_Dish
Daniel,u-QOk29S8eOtu94j1uTpmsuQ,ORDER,Curry Dish,Curry_Dish
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Butter Chicken,Butter_Chicken,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Service,Service
Friendly,Friendly,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Service,Service,IS,Friendly,Friendly
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani,Biryani
Harry,u-EpRIX7o1AC0JeQgwbYVbwQ,ORDER,Biryani,Biryani
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken Biryani,Chicken_Biryani
Fresh,Fresh,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Chicken Biryani,Chicken_Biryani,IS,Fresh,Fresh
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Staff,Staff
Slow,Slow,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Staff,Staff,IS,Slow,Slow
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Great,Great,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Food,Food,IS,Great,Great
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Beef Samosa,Beef_Samosa
Mehvish,u-5KuLnYyRHAeVkwsB1Iglug,ORDER,Beef Samosa,Beef_Samosa
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani,Biryani
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Biryani,Biryani,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,IS,Clean,Clean
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Haleem,Haleem
Horrible,Horrible,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Haleem,Haleem,IS,Horrible,Horrible
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Good,Good,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Food,Food,IS,Good,Good
,Food,WARMED,,Food
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Lamb,Lamb
Suthan,u-UGXxwHQCIMyvbBpn-ZDNDA,ORDER,Lamb,Lamb
,u-UGXxwHQCIMyvbBpn-ZDNDA,GOING_TO,,b-P4h8kgy_48oE9vCHJc4BCQ
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Lollipop Chicken,Lollipop_Chicken
,u-9pwWm2KOTjjK8Sfq3TB9YQ,HAS,,Menu
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,IS,Consistent,Consistent
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Service,Service
Inefficient,Inefficient,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Service,Service,IS,Inefficient,Inefficient
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Staff,Staff
Rude,Rude,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Staff,Staff,IS,Rude,Rude
,b-P4h8kgy_48oE9vCHJc4BCQ,CHICKEN,,Kiran
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani,Biryani
Biryani,Biryani,SPEAKS_FOR,,Biryani
,u-q9ZzaDBNs72WXqKkwELBNA,CALLED,,b-P4h8kgy_48oE9vCHJc4BCQ
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Service,Service
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Karahi Chicken,Karahi_Chicken
Available,Available,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Karahi Chicken,Karahi_Chicken,IS,Available,Available
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Channa Masala,Channa_Masala
Nurali,u-ru2Sp_BdKZF-rnAQdt2g6w,ORDER,Channa Masala,Channa_Masala
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Palak Paneer,Palak_Paneer
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Palak Paneer,Palak_Paneer,IS,Good,Good
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani,Biryani
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,IS,Clean,Clean
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,IS,Well,Well
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Terrible,Terrible,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Food,Food,IS,Terrible,Terrible
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Naan,Naan
Stale,Stale,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Naan,Naan,IS,Stale,Stale
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken Biryani,Chicken_Biryani
Horrible,Horrible,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Chicken Biryani,Chicken_Biryani,IS,Horrible,Horrible
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Naan,Naan
Yasmeen,u-2SeI7d6epQoFyGUzrPkzUw,ORDER,Naan,Naan
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,IS,Painful,Painful
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Food,Food
Ready,Ready,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Food,Food,IS,Ready,Ready
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Staff,Staff
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Bread,Bread
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_ASPECT,Parking,Parking
Easy,Easy,ASPECT_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Parking,Parking,IS,Easy,Easy
Fresh,Fresh,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Bread,Bread,IS,Fresh,Fresh
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,IS,Fast,Fast
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken Dish,Chicken_Dish
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Biryani,Biryani
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Chicken Dish,Chicken_Dish,IS,Good,Good
,Food,KEEPS,,u-ng1ccHLnRGqGuMG_KXziaA
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken,Chicken
Rajinthan,u-cCDZ9jIVumYIb8KrhpDAFQ,ORDER,Chicken,Chicken
,u-cCDZ9jIVumYIb8KrhpDAFQ,GOING_FOR,,Years
Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Naan,Naan
Good,Good,MENU_ATTR_FOR,Silver Spoon,b-P4h8kgy_48oE9vCHJc4BCQ
Naan,Naan,IS,Good,Good
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_ASPECT,Service,Service
Great,Great,ASPECT_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Service,Service,IS,Great,Great
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_ASPECT,Price,Price
High,High,ASPECT_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Price,Price,IS,High,High
,u-CY7Mtn1xuifQrI2S96BaQQ,CRAVING,,Indian
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_MENU,Dal,Dal
Good,Good,MENU_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Dal,Dal,IS,Good,Good
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_MENU,Rice,Rice
Rice,Rice,WAS,,Plain
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_ASPECT,Food,Food
Nice,Nice,ASPECT_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Food,Food,IS,Nice,Nice
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_ASPECT,Service,Service
Lackluster,Lackluster,ASPECT_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Service,Service,IS,Lackluster,Lackluster
,u-viDOnsL8pW6A-HEAf_VXXQ,RECOMMEND,,b-LZWXP-D4YPlzsFjVx6b9XA
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_MENU,Veg Biryani,Veg_Biryani
Flavourful,Flavourful,MENU_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Veg Biryani,Veg_Biryani,IS,Flavourful,Flavourful
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_MENU,Masala Curry,Masala_Curry
Great,Great,MENU_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
Masala Curry,Masala_Curry,IS,Great,Great
Spice South,b-LZWXP-D4YPlzsFjVx6b9XA,HAS_MENU,Sambar,Sambar
Tasty,Tasty,MENU_ATTR_FOR,Spice South,b-LZWXP-D4YPlzsFjVx6b9XA
