subject,relation,object
u-K5BMSEbMZIpTuMOsPph1dA,HAS_FRIEND,u-CxDOIDnH8gp9KXzpBHJYXw
u-3YAsLpbykHxYKunBpIjGNQ,HAS_FRIEND,u-qewG3X2O4X6JKskxyyqFwQ
u-5wT0vDycEzgq95yVCZ60Aw,HAS_FRIEND,u-YwaKGmRNnSa3R3N4Hf9jLw
u-iitgXaIW5PY82zgj6lxLpw,HAS_FRIEND,u-X5whw8WcB8dVZGZ5vGnSLg
u-ftH3xRtiLFBc8R4ZdPxCww,HAS_FRIEND,u-BGzavA_ddMr-jGmhArv7fg
u-HeiQX_tqWC6Vc6xUOJVlfA,HAS_FRIEND,u-m_H93eDKdiBlRv8K7Ffgsg
u-REigeuE57-4ZYneT7_ADpA,HAS_FRIEND,u-7Z8zVe9a2lcXD_B__gw1Ig
u-ugLzELm2bWV_7fvDKjBaZw,HAS_FRIEND,u-IdhiZofTvwWd_Ul5m338wQ
u-qntY0ozRmYOzaIaDDyc_6Q,HAS_FRIEND,u-ulk3n0JW8tWnQ83C7m8z9A
u-_S5LEY9-j-u9DgfahVb0gQ,HAS_FRIEND,u-gZUVSBm-BWntWeQTYH04UQ
u-uO1w3qNo21c1bVHHFTYW0w,HAS_FRIEND,u-BGzavA_ddMr-jGmhArv7fg
u-t_fiqKCMYUXa9aahze1qFA,HAS_FRIEND,u-JnPIjvC0cmooNDfsa9BmXg
u-2iJA4fSMlMzoTqx-DLRS6Q,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-TUPWls9n9iXFRgHVg2FNMw,HAS_FRIEND,u-mOVyk3O18VY5nrUMTZgM1w
u-U3Y7xT8KZwQilb__FGHeIQ,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-InNzVNktf3jI7zUyE05FNQ,HAS_FRIEND,u-U5YQX_vMl_xQy8EQDqlNQQ
u-xsBjO0GTAvZK8i2A8_z20g,HAS_FRIEND,u-BGzavA_ddMr-jGmhArv7fg
u-r2MM-UPP0s4CH7ozc3QIeA,HAS_FRIEND,u-xFIRMv2R52Y08yVqI_N5bg
u-1LPtxqJsWLfCWHBOJvym8Q,HAS_FRIEND,u-JUT0U3HTSB3kz9Wh7N0GqA
u-Yz77uNLKFzS9rlQYOgbQSg,HAS_FRIEND,u-JUT0U3HTSB3kz9Wh7N0GqA
u-xFIRMv2R52Y08yVqI_N5bg,HAS_FRIEND,u-JUT0U3HTSB3kz9Wh7N0GqA
u-gEW3pCUZKBh4kJdMyXs7tQ,HAS_FRIEND,u-nXMMoDzXRByQiWH9cf-FAQ
u-hFDFHO70fyENIQ1bbtYufQ,HAS_FRIEND,u-ACwN3HGetqPVhAgGKzdnsA
u-rSWQ_yu3xgVaTCyUdspBkA,HAS_FRIEND,u-bpgbVPJcG-wQ4cNBcPPIxw
u-6AA1GvMABY54hfHBEoaJoA,HAS_FRIEND,u-eOFCBU-PUTEX5UC4dQxCqg
u-pVIdSQrXiYEwK0GFbLM3Jw,HAS_FRIEND,u-Xxvz5g67eaCr3emnkY5M6w
u-VTLRv5RsJR-NU17JP9vhZg,HAS_FRIEND,u-CLbpPUqP6XpeAfoqScGaJQ
u-eOFCBU-PUTEX5UC4dQxCqg,HAS_FRIEND,u-Xxvz5g67eaCr3emnkY5M6w
u-5zBK3wQq7ZiiO78wjVxRQQ,HAS_FRIEND,u-Xxvz5g67eaCr3emnkY5M6w
u-xIT07OmaktG4TL-TDJis6A,HAS_FRIEND,u-tG24pgYOAyEONNhgmhVO-Q
u-lMJh6j4Ve2WsD3jFrOb4mg,HAS_FRIEND,u-U5YQX_vMl_xQy8EQDqlNQQ
u-Oxe8DXjBOi6C-cR2w64zOg,HAS_FRIEND,u-_t3BJzyGaqr9mcDazYiYAQ
u-SiX9g5tXACCcsjvWXERxkw,HAS_FRIEND,u-sO0xhNh8Uc2JOnAHzx961w
u-L8GB1sEXJrVfR-UsDRjI-g,HAS_FRIEND,u-j6wLUT0ZXi-x0otelYIFpA
u-05A1WpXkjCbVHCodTSc6sg,HAS_FRIEND,u-whqfWVBj4x5EDboIVDOymQ
u-xneOtZp6CfskRuBEy3hIXw,HAS_FRIEND,u-Q83R2UssCoErEJX36wrlvg
u-teZyKxRh4ZmKtb1iYV1m0g,HAS_FRIEND,u-GMZRlfTGiX33Uhyzi8YVEw
u-_t3BJzyGaqr9mcDazYiYAQ,HAS_FRIEND,u-RAOZ3SzKlmxY3iDIlBb0dw
u-bPOkadudoV70axEAFkWQLQ,HAS_FRIEND,u-rR177wis4wxhd2Asqv_EpQ
u-7hJULn2o6Zv1Lwd860YCGQ,HAS_FRIEND,u-BGzavA_ddMr-jGmhArv7fg
u-wc3pB0DseSKRcb9Ot0DhBg,HAS_FRIEND,u-HAv4iHgSyMS4HKwl5hb98w
u-ZzA0SBWKSRJA8y5tlszrjQ,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-Vx_JbcqF773BIShr_Ux2Hw,HAS_FRIEND,u-bPQMtrXUy8dMCJu6SHxxaA
u-iJCtRAlSvxiUuKlVAnsq0A,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-rR177wis4wxhd2Asqv_EpQ,HAS_FRIEND,u-xCAwgus9fWEIrv5GvwykEQ
u-eUiAbOh5AbbRAlBHlCTAYw,HAS_FRIEND,u-JnPIjvC0cmooNDfsa9BmXg
u-zK3LpTaaz_uYjee97qu4hA,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-bPu0FHiJ9FH5d5PLXo7VEw,HAS_FRIEND,u-bXYCFQxstmBU2QxrK9KHcg
u-LOtvSPSXXJ1WyrbPCX5fSg,HAS_FRIEND,u-uOCeUWDvxDt1g_6aX3MMbQ
u-uOCeUWDvxDt1g_6aX3MMbQ,HAS_FRIEND,u-LOtvSPSXXJ1WyrbPCX5fSg
u-fqJmWGfJy19cEynxRSGo4Q,HAS_FRIEND,u-fi38ETFUNBBndrkKqLqUtA
u-3djzzKLhsa2oRq6RZRSEzQ,HAS_FRIEND,u-Nlgl2CCKf83BhwEwCbmO3Q
u-2e5V6M4GNufEnbGJpVdCjw,HAS_FRIEND,u-mOVyk3O18VY5nrUMTZgM1w
u-j6wLUT0ZXi-x0otelYIFpA,HAS_FRIEND,u-rK4I1CJLXCQSZIhigdJcnQ
u-BfdVxHlKpNvW8iVzEwVQAg,HAS_FRIEND,u-4KbUaerUBoiUwZGMHKVFxQ
u-MQq_1AlcDWsyNs7Ot8J4OQ,HAS_FRIEND,u-sMhvlIPGLUlRA7QsWlqBOg
u-0LMHrFTQtUoY42AZl1MH6g,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-bv-_iTWHzZucGb8mS_OAJg,HAS_FRIEND,u-BpNAPKjA2O6rTu5APobHjQ
u-qBwHmwKoJPr_Mhrov4hbXw,HAS_FRIEND,u-4oqy291FDdAorqkZfrGC8w
u-Tsl3_AGTcGMQVJxGqXgyRQ,HAS_FRIEND,u-HhshgpOwUGDk0_yI-Sa42w
u-u-NbxbNdh7GZGnwxXUitYg,HAS_FRIEND,u-C5QsUsQg5I3dMdLM02SXGA
u-wsG5qmqhGcXLZALRDNPD3g,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-TaJ3hRYUW9Z82HF0qc4hFQ,HAS_FRIEND,u-JnPIjvC0cmooNDfsa9BmXg
u-UkB9kdjwXHqdWC59qteUjg,HAS_FRIEND,u-t2O6rs4fZeY9o6ZY52RyJA
u-oCXlO9gzXBG5R_68fnV8Fw,HAS_FRIEND,u-LGXlkLvjylax593u-evS7w
u-JI4plEaLm5N8rxt8zpcJwA,HAS_FRIEND,u-AhoxHm569hH_PRkoegDwcA
u-8Pfib70vxqJuaDQwFNL1tQ,HAS_FRIEND,u-0AnezUtzwmaeAYSMvDdLmg
u-0AnezUtzwmaeAYSMvDdLmg,HAS_FRIEND,u-RUEFu7mB6ZMQK550xhnbdw
u-khRG2oMmAOXA7C1U7P1j4w,HAS_FRIEND,u-hG0FxhGxIz5mv1ezaKcQiw
u-6H-tSPWGxX2Ehfe86yYWWw,HAS_FRIEND,u-S14MK30NQdqgrO7ygTCQlA
u-Vqx_NN9MCo-L9n_8gvAXUQ,HAS_FRIEND,u-BpNAPKjA2O6rTu5APobHjQ
u-1CLaXpJSM0xVxAWSgrzOIg,HAS_FRIEND,u-Wx7cbLDqYEL3_aVZwh82Ww
u-TWkZAEsuxaidX4HOMRnRAQ,HAS_FRIEND,u-JUT0U3HTSB3kz9Wh7N0GqA
u-eSAE6NS-wEbOtSh8SFP6lQ,HAS_FRIEND,u-jxr4c-TH10Rgz3IqG6rgPQ
u-xyHU7n4HtQ9ImkK2GpkE_g,HAS_FRIEND,u-4xxsMQTIV0QVnItrbaux4g
u-n3bXNZtYZOJjrag6LMLQCQ,HAS_FRIEND,u-xCAwgus9fWEIrv5GvwykEQ
u-VqduZMMsH4mvyH1nwHAiCw,HAS_FRIEND,u-wTivTcCqZNtsd6VgfEUCiw
u-z6qIyc-_oIbgDWAembZ04w,HAS_FRIEND,u-Q9mA60HnY87C1TW5kjAZ6Q
u-s8IEQn1yff8TYAkiJ0Y-nQ,HAS_FRIEND,u-pn_flI3EBNugBEYFp9okxQ
u-Z7FpUY7YW5LFP1OYws358A,HAS_FRIEND,u-PiSCokd01nxdMkVQRV_R7A
u-mLh2C1ehZPOI0fcfAwIFBQ,HAS_FRIEND,u-gZUVSBm-BWntWeQTYH04UQ
u-w5CJX1zu8sQFIspQIIjaYQ,HAS_FRIEND,u-D5-LpBYZrFva9Yql1IC_xQ
u--E8l8M-ukteuWVchiTQ2-A,HAS_FRIEND,u-I_hZOak13ydnfXV1nJPDTg
u--nxh-PAw8TcDR2CwPOIdwA,HAS_FRIEND,u-GQEE5zo9IFo1_r4k_uIKDQ
u-GQEE5zo9IFo1_r4k_uIKDQ,HAS_FRIEND,u--nxh-PAw8TcDR2CwPOIdwA
u-oaYB_b62fqtJCbeKFWg8Sg,HAS_FRIEND,u-Wx7cbLDqYEL3_aVZwh82Ww
u-V5NaQCpO1w9u7LaqLwasvQ,HAS_FRIEND,u-m_H93eDKdiBlRv8K7Ffgsg
u-Gr2pGmK0ntRIVtzDH9kixQ,HAS_FRIEND,u-qewG3X2O4X6JKskxyyqFwQ
u-obxrjNKD6Y1ic7iyXQU7ug,HAS_FRIEND,u-9IRuYmy5YmhtNQ6ei1p-uQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_CATEGORY,Indian
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r--wnPnJmFAC_G3peJb_8pIQ
u-lZXCUgpBBsnbN7926Y3g0A,WRITE_REVIEW{date:2017-09-21 19:06:48},r--wnPnJmFAC_G3peJb_8pIQ
u-lZXCUgpBBsnbN7926Y3g0A,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-lZXCUgpBBsnbN7926Y3g0A,RATE{star:2.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-YI61IO2zA7yGxw37gVeiXg
u-GUMxq_mi_XFoUMlYDoQYeg,WRITE_REVIEW{date:2014-09-26 23:53:57},r-YI61IO2zA7yGxw37gVeiXg
u-GUMxq_mi_XFoUMlYDoQYeg,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-GUMxq_mi_XFoUMlYDoQYeg,RATE{star:4.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-ENAWRIytS-Qht2PR9JFJYQ
u-BP0Qe_iFslyq7t6Xugvzrg,WRITE_REVIEW{date:2016-10-07 04:39:44},r-ENAWRIytS-Qht2PR9JFJYQ
u-BP0Qe_iFslyq7t6Xugvzrg,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-BP0Qe_iFslyq7t6Xugvzrg,RATE{star:3.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-n5SfVUQ32nlu-mi7oS1t-A
u-gyS1Ef3KamhVeyFhk4nqeQ,WRITE_REVIEW{date:2016-03-13 00:07:37},r-n5SfVUQ32nlu-mi7oS1t-A
u-gyS1Ef3KamhVeyFhk4nqeQ,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-gyS1Ef3KamhVeyFhk4nqeQ,RATE{star:1.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-7ryDYfG9ZcBOONb-jEaXhA
u-bgjERvfhhgeDurSi9Ni5gg,WRITE_REVIEW{date:2017-11-17 21:36:31},r-7ryDYfG9ZcBOONb-jEaXhA
u-bgjERvfhhgeDurSi9Ni5gg,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-bgjERvfhhgeDurSi9Ni5gg,RATE{star:4.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-ctbb9UOv34bDd2MGdUHLvQ
u-pZsVUkMb4yGMGoTRzNS7Ew,WRITE_REVIEW{date:2014-01-27 20:03:41},r-ctbb9UOv34bDd2MGdUHLvQ
u-pZsVUkMb4yGMGoTRzNS7Ew,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-pZsVUkMb4yGMGoTRzNS7Ew,RATE{star:4.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-pNQ7XJIz4giOor6-fGNGSw
u--dEAguztpqPvzftWb_YNdA,WRITE_REVIEW{date:2018-06-08 16:47:32},r-pNQ7XJIz4giOor6-fGNGSw
u--dEAguztpqPvzftWb_YNdA,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u--dEAguztpqPvzftWb_YNdA,RATE{star:5.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-UlyZEhpYQ0ZJzFBQ1xnoKQ
u-71tacONUReSQ1tv2Edz4OQ,WRITE_REVIEW{date:2019-02-08 23:20:41},r-UlyZEhpYQ0ZJzFBQ1xnoKQ
u-71tacONUReSQ1tv2Edz4OQ,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-71tacONUReSQ1tv2Edz4OQ,RATE{star:4.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-NLaGpX4hCMraZ9OukN0AnQ
u-Uaqawx2iD0mT5YP_akJrJw,WRITE_REVIEW{date:2014-06-27 00:28:47},r-NLaGpX4hCMraZ9OukN0AnQ
u-Uaqawx2iD0mT5YP_akJrJw,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-Uaqawx2iD0mT5YP_akJrJw,RATE{star:2.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-ZAmkMWTSbWQRO-uEzYmR8g
u-pj7M1RIWV0caCp7Kj91JxA,WRITE_REVIEW{date:2014-12-17 03:39:34},r-ZAmkMWTSbWQRO-uEzYmR8g
u-pj7M1RIWV0caCp7Kj91JxA,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-pj7M1RIWV0caCp7Kj91JxA,RATE{star:3.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-rY0iMxE_9OzIWhgeOga5-g
u-TMV_sdcRAzmgByr2ez6dAw,WRITE_REVIEW{date:2017-03-07 01:29:27},r-rY0iMxE_9OzIWhgeOga5-g
u-TMV_sdcRAzmgByr2ez6dAw,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-TMV_sdcRAzmgByr2ez6dAw,RATE{star:1.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r-Vegxib_Z9a6vbmnL--81bw
u-zSaIbSCTB9ug09pOqf8_vw,WRITE_REVIEW{date:2017-03-11 22:25:20},r-Vegxib_Z9a6vbmnL--81bw
u-zSaIbSCTB9ug09pOqf8_vw,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-zSaIbSCTB9ug09pOqf8_vw,RATE{star:1.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r--klUXTBlNms5DOP2oOfvkQ
u-BSu2hEtBYvtADAEKiQrmiQ,WRITE_REVIEW{date:2013-12-14 20:19:21},r--klUXTBlNms5DOP2oOfvkQ
u-BSu2hEtBYvtADAEKiQrmiQ,VISIT{count:1},b-mOsKIonnlHllP9gfbXdgnQ
u-BSu2hEtBYvtADAEKiQrmiQ,RATE{star:1.0},b-mOsKIonnlHllP9gfbXdgnQ
b-mOsKIonnlHllP9gfbXdgnQ,LOCATED_IN,Pickering-Canada
Pickering-Canada,LOCATED_IN,Canada
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_CATEGORY,Indian
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-4wcR1uCjKLAI1jMiBrRzIg
u-hTmPK8GhGXOKgFig4pMNmA,WRITE_REVIEW{date:2015-07-29 00:35:30},r-4wcR1uCjKLAI1jMiBrRzIg
u-hTmPK8GhGXOKgFig4pMNmA,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-hTmPK8GhGXOKgFig4pMNmA,RATE{star:4.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-CiaURIFFOJnSshnMNpvRJA
u-ZsisQjLoliFocSnktH3lsw,WRITE_REVIEW{date:2016-01-04 20:58:51},r-CiaURIFFOJnSshnMNpvRJA
u-ZsisQjLoliFocSnktH3lsw,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-ZsisQjLoliFocSnktH3lsw,RATE{star:5.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-DFlGyUV4IKy6A3bpTzYgJw
u-W37KqgMymarQaqYGOWS70w,WRITE_REVIEW{date:2013-10-26 19:48:51},r-DFlGyUV4IKy6A3bpTzYgJw
u-W37KqgMymarQaqYGOWS70w,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-W37KqgMymarQaqYGOWS70w,RATE{star:4.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-0yxUoy57b-8cHJEwlqjhXg
u-xCAwgus9fWEIrv5GvwykEQ,WRITE_REVIEW{date:2013-10-27 14:21:18},r-0yxUoy57b-8cHJEwlqjhXg
u-xCAwgus9fWEIrv5GvwykEQ,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-xCAwgus9fWEIrv5GvwykEQ,RATE{star:4.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-1tD4UxWf_1YOA-fnyayI4g
u-AJpmz9nHVf-Prm5l0U0bNw,WRITE_REVIEW{date:2016-08-05 17:34:04},r-1tD4UxWf_1YOA-fnyayI4g
u-AJpmz9nHVf-Prm5l0U0bNw,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-AJpmz9nHVf-Prm5l0U0bNw,RATE{star:1.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-wEJplbg9-MDkKcsR309ddA
u-fNqVLJ6l19eqJaMV-hk-xw,WRITE_REVIEW{date:2017-10-08 21:36:28},r-wEJplbg9-MDkKcsR309ddA
u-fNqVLJ6l19eqJaMV-hk-xw,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-fNqVLJ6l19eqJaMV-hk-xw,RATE{star:1.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-bGI8md-K2mh3SW32pURjFA
u-6T2wUKXuQkbk8vTwTC6OVQ,WRITE_REVIEW{date:2014-08-16 14:19:22},r-bGI8md-K2mh3SW32pURjFA
u-6T2wUKXuQkbk8vTwTC6OVQ,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-6T2wUKXuQkbk8vTwTC6OVQ,RATE{star:1.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-3ELV5TTRzDrLTO3HT7xGmQ
u-ZDAjNnzMh_k_NPxYA0AwiQ,WRITE_REVIEW{date:2017-02-18 21:53:00},r-3ELV5TTRzDrLTO3HT7xGmQ
u-ZDAjNnzMh_k_NPxYA0AwiQ,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-ZDAjNnzMh_k_NPxYA0AwiQ,RATE{star:1.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-W9Oob2tebE8xjwekydJVkg
u-dzkWjkKZEFwibAx8aGNLqA,WRITE_REVIEW{date:2014-04-26 23:07:24},r-W9Oob2tebE8xjwekydJVkg
u-dzkWjkKZEFwibAx8aGNLqA,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-dzkWjkKZEFwibAx8aGNLqA,RATE{star:2.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-ZqFcDjDsQpTKp1auvlZuIg
u-a0m28ex8jW6PvnyojchLyw,WRITE_REVIEW{date:2015-07-01 12:36:54},r-ZqFcDjDsQpTKp1auvlZuIg
u-a0m28ex8jW6PvnyojchLyw,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-a0m28ex8jW6PvnyojchLyw,RATE{star:4.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-Foa1D-w1HSelnOYfntHNTQ
u-V_pw1PPGe6YbRl4-JpXfYQ,WRITE_REVIEW{date:2019-03-03 05:43:12},r-Foa1D-w1HSelnOYfntHNTQ
u-V_pw1PPGe6YbRl4-JpXfYQ,VISIT{count:1},b-nbf4o8gUP2y9JKFE2wBO2A
u-V_pw1PPGe6YbRl4-JpXfYQ,RATE{star:1.0},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-LNIPQUh7DpzCMmNUa1qc9g
u-n4DeNymCmaulmpoThjjEQg,WRITE_REVIEW{date:2018-09-08 17:08:32},r-LNIPQUh7DpzCMmNUa1qc9g
u-n4DeNymCmaulmpoThjjEQg,VISIT{count:2},b-nbf4o8gUP2y9JKFE2wBO2A
u-n4DeNymCmaulmpoThjjEQg,RATE{star:1.5},b-nbf4o8gUP2y9JKFE2wBO2A
b-nbf4o8gUP2y9JKFE2wBO2A,HAS_REVIEW,r-PdAoT3shlwxnjT7J4lY2Zg
