,u_id,user_id,user_name,gender,age,fans,review_count,average_stars,friends,u_menus,r_id,rest_id,rest_name,postal_code,city,state,country,rest_rating,category,menus,aspects,rating,timestamp
22,22,u-a0m28ex8jW6PvnyojchLyw,Muneeb,1,56,1,5,2.17,[],['naan'],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",4.0,1435721814
23,23,u-V_pw1PPGe6YbRl4-JpXfYQ,Aneesa,0,56,0,1,1.0,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",1.0,1551559392
24,24,u-n4DeNymCmaulmpoThjjEQg,Yelp,1,18,0,18,3.0,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",2.0,1536394112
25,24,u-n4DeNymCmaulmpoThjjEQg,Yelp,1,18,0,18,3.0,[],[],1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,['Indian'],"['dinner', 'butter chicken', 'sauce', 'Naan', 'Biryani', 'biryani', 'naan', 'nihari']","['Food', 'Staff', 'Service', 'Customer_Service']",1.0,1565328327
26,25,u-Jai6ZKPwMwIOEh8mqI8JoQ,Stanley,0,45,0,1,4.0,[],['chicken biryani'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1522823792
27,26,u-2p7wg_4xvgs8nWLkrU-puQ,Alex,0,1,0,2,1.0,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",1.0,1525130336
28,27,u-RRhco4irDXPk5EJmvuwr2w,Ish,1,25,0,32,3.06,[],['butter chicken'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",2.0,1446228164
29,28,u-JT9Ux1QWW2x1tDyFNaSp1A,YC,1,35,0,31,3.29,[],"['goat biryani', 'butter chicken', 'naan', 'chicken biryani']",2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",3.0,1459678565
30,29,u-77bSr4yTJrt__livHS3CKA,Sriram,1,25,0,6,1.67,[],['Biryani'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",1.0,1516377076
31,30,u-xW6g0EMGxUqouRTzd0PItA,Jay,0,1,0,16,2.75,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",2.0,1527111066
32,31,u-ulM0B0JOkRDNLdZW3-rvFA,Ali,0,35,9,119,3.46,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",3.0,1521366847
33,32,u-O4Dim1eKErdBdKWUGpMxvQ,David,0,45,2,129,3.5,[],['raita'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",1.0,1443873291
34,33,u-8h6eKv00bmef5fExt7EWgg,Louis,0,45,0,5,3.0,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",1.0,1543760967
35,34,u-3W0lgVuuBCYpQqzy563WLQ,Abu,0,35,0,2,1.0,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",1.0,1574684901
36,35,u-CvJG4MAs3aVY8O2BuVKARg,Kavi,1,35,5,66,3.73,[],"['yogurt', 'Butter Chicken']",2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1522671206
37,36,u-1ho5Y8iaj73Ak3i1fUCePg,Andrew,0,18,0,1,3.0,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",3.0,1561925708
38,37,u-P41ptyME4S7rLnejVGJmUA,Kimon,1,45,0,6,3.0,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1499542767
39,38,u-JrXC_MDp38BWwLn2SFdNsA,Phillip,0,35,33,743,3.77,['u-Q9mA60HnY87C1TW5kjAZ6Q'],['Naan'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1513064611
40,39,u-m66JEwIVUq_uQU06nWFHYA,Kevin,0,45,0,16,3.75,[],"['biryani', 'curry']",2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",2.0,1548578686
41,40,u-Ul42L3SbNiV0aB1eocj-KQ,Utpala,1,35,0,13,4.69,['u-cZm0eIvfPC7zxOwbKsjMLg'],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1548785293
42,41,u-efK-KZ_2IuqtS1RoiWdy5w,Gautram,1,1,0,28,4.0,[],"['Biryani', 'chicken qourma']",2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1533033274
43,42,u--P4MdxIwar7DCEiOpD_GkQ,Khadija,1,18,2,47,3.67,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1557573305
44,43,u-pv8KCVEQ-nP9qyDP7YtXcw,Julie,1,25,2,45,3.83,[],['chicken biryani'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",3.0,1501949864
45,44,u-auxU8_xmF9Bi-sRD962_cA,I.T.,1,45,1,20,3.4,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1456312893
46,45,u-JYxejNDBlyiQJQDVi4HCWA,James,0,25,0,19,1.19,[],['biryani'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",1.0,1533519619
47,46,u-S3h-0vC4OwyahD0idAIdRQ,Elwood,0,25,3,19,3.16,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",3.0,1484254236
48,47,u-LwYZnGzCfpejTbjqcxj2Rw,John,0,25,0,12,4.31,[],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1518332114
49,48,u-F0OeMvB1YTr0IJf-5CexZQ,Sunny,0,56,0,16,4.06,[],['butter chicken'],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",4.0,1551430902
50,49,u-cZm0eIvfPC7zxOwbKsjMLg,Umakant,1,35,0,5,4.6,['u-Ul42L3SbNiV0aB1eocj-KQ'],[],2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,"['Indian', 'Pakistani']","['butter chicken', 'Naan', 'yogurt', 'chicken qourma', 'curry', 'Biryani', 'goat biryani', 'chicken biryani', 'biryani', 'raita', 'naan', 'Butter Chicken']","['Staff', 'Service', 'Customer_Service', 'Food', 'Decor', 'Taste', 'Price']",5.0,1543511917
51,50,u-l6kkFLWO6FuEzRro6bcMwQ,Anmol,1,56,1,128,3.68,[],"['dinner', 'chicken', 'naan']",3,b-P4h8kgy_48oE9vCHJc4BCQ,Silver Spoon,L5V 0A6,Mississauga,ON,Canada,2.5,"['Indian', 'Pakistani', 'Asian Fusion']","['Channa Masala', 'Naan', 'cake', 'lollipop chicken', 'chicken biryani', 'biryani', 'roll', 'Butter chicken', 'seekh kebab Masala', 'bread', 'Chicken', 'curry', 'Biryani', 'fish', 'chicken', 'Curry Dish', 'Palak Paneer', 'Achari Chicken', 'Haleem', 'chicken malai boti', 'Chicken Dish', 'naan', 'dinner', 'Chicken pieces', 'lamb', 'karahi chicken', 'Beef Samosa']","['Staff', 'Service', 'Customer_Service', 'Food', 'Menu', 'Taste', 'Price', 'Parking']",3.0,1462555441
52,51,u-lGe6PJ4T3IrgmYkM4SFMRQ,Dip,0,45,0,1,5.0,[],[],3,b-P4h8kgy_48oE9vCHJc4BCQ,Silver Spoon,L5V 0A6,Mississauga,ON,Canada,2.5,"['Indian', 'Pakistani', 'Asian Fusion']","['Channa Masala', 'Naan', 'cake', 'lollipop chicken', 'chicken biryani', 'biryani', 'roll', 'Butter chicken', 'seekh kebab Masala', 'bread', 'Chicken', 'curry', 'Biryani', 'fish', 'chicken', 'Curry Dish', 'Palak Paneer', 'Achari Chicken', 'Haleem', 'chicken malai boti', 'Chicken Dish', 'naan', 'dinner', 'Chicken pieces', 'lamb', 'karahi chicken', 'Beef Samosa']","['Staff', 'Service', 'Customer_Service', 'Food', 'Menu', 'Taste', 'Price', 'Parking']",5.0,1386428613
53,52,u-FRnNgOvEWJvxo7h9np3RSw,Ainy,1,56,1,8,3.22,[],['roll'],3,b-P4h8kgy_48oE9vCHJc4BCQ,Silver Spoon,L5V 0A6,Mississauga,ON,Canada,2.5,"['Indian', 'Pakistani', 'Asian Fusion']","['Channa Masala', 'Naan', 'cake', 'lollipop chicken', 'chicken biryani', 'biryani', 'roll', 'Butter chicken', 'seekh kebab Masala', 'bread', 'Chicken', 'curry', 'Biryani', 'fish', 'chicken', 'Curry Dish', 'Palak Paneer', 'Achari Chicken', 'Haleem', 'chicken malai boti', 'Chicken Dish', 'naan', 'dinner', 'Chicken pieces', 'lamb', 'karahi chicken', 'Beef Samosa']","['Staff', 'Service', 'Customer_Service', 'Food', 'Menu', 'Taste', 'Price', 'Parking']",2.0,1434888535
